elapsed_s,robot,selected_event,uncontrollable_events,raw_zone,front_distance_m,left_distance_m,right_distance_m
1.170,robot_0,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
1.456,robot_0,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
1.757,robot_0,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
2.049,robot_0,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
2.362,robot_0,EV_move_forward,EV_obstacle_right,RIGHT,inf,inf,inf
3.547,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR,inf,inf,inf
5.744,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
5.955,robot_0,EV_move_forward,EV_obstacle_left,LEFT,inf,inf,inf
6.247,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.547,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
6.846,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.055,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.351,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.564,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
7.861,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.145,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR,inf,inf,inf
8.354,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.654,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
8.960,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.261,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.550,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
9.753,robot_0,EV_move_backward,EV_path_clear,CLEAR,inf,inf,inf
10.053,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.349,robot_0,EV_rotate_clockwise,EV_path_clear,CLEAR,inf,inf,inf
10.547,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
10.845,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.049,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.349,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.655,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
11.949,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.257,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.549,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
12.762,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.053,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.356,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.563,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
13.855,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
14.157,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
14.457,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
14.746,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
15.049,robot_0,EV_move_forward,EV_path_clear,CLEAR,inf,inf,inf
