stamp_sec,key,entity_a_bump_direction,entity_b_bump_direction,entity_a_event,entity_b_event
943,"('robot_0', 'south_wall::link::collision')",back,,,
943,"('robot_1', 'west_wall::link::collision')",right,,,
943,"('robot_2', 'east_wall::link::collision')",left,,,
955,"('robot_1', 'north_wall::link::collision')",front,,EV_move_forward,
957,"('robot_1', 'west_wall::link::collision')",right,,EV_move_forward,
958,"('robot_1', 'north_wall::link::collision')",right,,CONTACT_RECOVERY,
963,"('robot_0', 'east_wall::link::collision')",front,,CONTACT_RECOVERY,
964,"('robot_1', 'north_wall::link::collision')",front,,EV_move_forward,
967,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
974,"('robot_0', 'east_wall::link::collision')",left,,EV_move_forward,
976,"('robot_0', 'east_wall::link::collision')",right,,ZONE_ESCAPE_REVERSE,
979,"('robot_1', 'west_wall::link::collision')",right,,EV_move_forward,
984,"('robot_1', 'west_wall::link::collision')",back,,EV_move_forward,
985,"('robot_0', 'east_wall::link::collision')",right,,EV_move_forward,
994,"('robot_2', 'south_wall::link::collision')",back,,EV_move_forward,
1003,"('robot_0', 'robot_2')",left,front,EV_move_forward,EV_move_forward
1007,"('robot_1', 'north_wall::link::collision')",front,,EV_move_forward,
1013,"('robot_2', 'south_wall::link::collision')",right,,EV_move_forward,
1014,"('robot_0', 'south_wall::link::collision')",front,,EV_move_forward,
1018,"('robot_0', 'east_wall::link::collision')",back,,EV_move_forward,
1024,"('robot_2', 'south_wall::link::collision')",back,,EV_move_forward,
1024,"('robot_0', 'east_wall::link::collision')",right,,EV_move_forward,
1027,"('robot_0', 'east_wall::link::collision')",front,,EV_move_forward,
