elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.152,robot_1,EV_move_forward,EV_path_clear,CLEAR
0.354,robot_1,EV_move_forward,EV_path_clear,CLEAR
0.557,robot_1,EV_move_forward,EV_path_clear,CLEAR
0.854,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.157,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.457,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.661,robot_1,EV_move_forward,EV_path_clear,CLEAR
1.959,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.162,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.466,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.752,robot_1,EV_move_forward,EV_path_clear,CLEAR
2.954,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.250,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.550,robot_1,EV_move_forward,EV_path_clear,CLEAR
3.850,robot_1,EV_move_forward,EV_path_clear,CLEAR
4.150,robot_1,EV_move_forward,EV_path_clear,CLEAR
4.450,robot_1,EV_move_forward,EV_path_clear,CLEAR
4.750,robot_1,EV_move_forward,EV_path_clear,CLEAR
5.050,robot_1,EV_move_forward,EV_path_clear,CLEAR
5.350,robot_1,EV_move_forward,EV_path_clear,CLEAR
5.650,robot_1,EV_move_forward,EV_path_clear,CLEAR
5.853,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible|EV_green_not_visible,CLEAR
6.057,robot_1,EV_move_forward,EV_path_clear,CLEAR
6.354,robot_1,EV_move_forward,EV_path_clear,CLEAR
6.656,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible|EV_green_reached,CLEAR
6.950,robot_1,EV_move_forward,EV_path_clear,CLEAR
7.153,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible|EV_green_reached,CLEAR
7.467,robot_1,EV_move_forward,EV_path_clear,CLEAR
7.757,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_red_not_visible|EV_green_reached,CLEAR
7.959,robot_1,EV_move_forward,EV_path_clear,CLEAR
8.252,robot_1,EV_rotate_clockwise,EV_blue_not_visible|EV_red_not_visible|EV_green_reached|EV_obstacle_left,LEFT
11.063,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_visible,CLEAR
11.360,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_visible,CLEAR
11.652,robot_1,EV_move_forward,EV_path_clear,CLEAR
11.962,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
12.255,robot_1,EV_move_forward,EV_path_clear,CLEAR
12.456,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
12.754,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
13.066,robot_1,EV_move_forward,EV_path_clear,CLEAR
13.356,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
13.658,robot_1,EV_move_forward,EV_path_clear,CLEAR
13.952,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
14.155,robot_1,EV_move_forward,EV_path_clear,CLEAR
14.457,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
14.751,robot_1,EV_move_forward,EV_path_clear,CLEAR
14.953,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
15.253,robot_1,EV_move_forward,EV_path_clear,CLEAR
15.456,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
15.755,robot_1,EV_move_forward,EV_path_clear,CLEAR
15.956,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
16.255,robot_1,EV_move_forward,EV_path_clear,CLEAR
16.552,robot_1,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_not_visible|EV_red_visible,CLEAR
16.862,robot_1,EV_move_forward,EV_path_clear,CLEAR
