elapsed_s,robot,selected_event,uncontrollable_events,raw_zone
0.161,robot_2,EV_move_forward,EV_path_clear,CLEAR
0.371,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
0.562,robot_2,EV_search_color,EV_path_clear,CLEAR
0.760,robot_2,EV_rotate_counterclockwise,EV_path_clear,CLEAR
0.867,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
0.970,robot_2,EV_search_color,EV_path_clear,CLEAR
1.157,robot_2,EV_approach_color,EV_path_clear,CLEAR
1.373,robot_2,EV_move_forward,EV_path_clear,CLEAR
1.578,robot_2,EV_move_backward,EV_path_clear,CLEAR
1.863,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
4.557,robot_2,EV_u_turn,EV_path_clear,CLEAR
8.366,robot_2,EV_search_color,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_not_visible,CLEAR
8.570,robot_2,EV_approach_color,EV_blue_not_visible|EV_green_reached|EV_obstacle_left|EV_red_visible,LEFT
8.760,robot_2,EV_u_turn,EV_obstacle_left,LEFT
8.864,robot_2,EV_move_forward,EV_obstacle_left,LEFT
9.065,robot_2,EV_move_backward,EV_obstacle_left,LEFT
9.365,robot_2,EV_search_color,EV_blue_not_visible|EV_green_reached|EV_obstacle_left|EV_red_visible,LEFT
9.577,robot_2,EV_approach_color,EV_obstacle_left,LEFT
9.764,robot_2,EV_rotate_clockwise,EV_blue_not_visible|EV_green_reached|EV_obstacle_left|EV_red_visible,LEFT
9.966,robot_2,EV_rotate_counterclockwise,EV_obstacle_left,LEFT
10.068,robot_2,EV_u_turn,EV_obstacle_left,LEFT
10.170,robot_2,EV_rotate_clockwise,EV_obstacle_left,LEFT
10.368,robot_2,EV_move_forward,EV_blue_not_visible|EV_green_reached|EV_obstacle_left|EV_red_visible,LEFT
10.663,robot_2,EV_rotate_clockwise,EV_obstacle_left,LEFT
10.768,robot_2,EV_move_forward,EV_obstacle_left,LEFT
11.060,robot_2,EV_rotate_clockwise,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_visible,CLEAR
11.259,robot_2,EV_move_forward,EV_path_clear,CLEAR
11.557,robot_2,EV_move_backward,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_visible,CLEAR
11.864,robot_2,EV_u_turn,EV_path_clear,CLEAR
15.762,robot_2,EV_u_turn,EV_path_clear|EV_green_reached|EV_red_visible|EV_blue_visible,CLEAR
15.873,robot_2,EV_move_backward,EV_path_clear|EV_green_reached|EV_red_visible|EV_blue_visible,CLEAR
16.161,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
16.263,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
16.364,robot_2,EV_move_forward,EV_path_clear,CLEAR
16.565,robot_2,EV_u_turn,EV_path_clear|EV_green_reached|EV_red_visible|EV_blue_visible,CLEAR
16.662,robot_2,EV_move_forward,EV_path_clear,CLEAR
16.867,robot_2,EV_u_turn,EV_path_clear,CLEAR
16.974,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
17.077,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
17.266,robot_2,EV_approach_color,EV_path_clear|EV_green_reached|EV_red_visible|EV_blue_visible,CLEAR
17.559,robot_2,EV_rotate_counterclockwise,EV_path_clear,CLEAR
17.763,robot_2,EV_rotate_clockwise,EV_path_clear,CLEAR
17.868,robot_2,EV_u_turn,EV_path_clear|EV_green_reached|EV_red_not_visible|EV_blue_visible,CLEAR
21.662,robot_2,EV_rotate_counterclockwise,EV_green_reached|EV_red_not_visible|EV_obstacle_left|EV_blue_visible,LEFT
24.460,robot_2,EV_rotate_counterclockwise,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_not_visible,CLEAR
24.563,robot_2,EV_rotate_counterclockwise,EV_path_clear,CLEAR
24.762,robot_2,EV_move_forward,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_not_visible,CLEAR
25.065,robot_2,EV_move_forward,EV_path_clear,CLEAR
25.270,robot_2,EV_rotate_counterclockwise,EV_path_clear,CLEAR
25.458,robot_2,EV_rotate_clockwise,EV_blue_not_visible|EV_path_clear|EV_green_reached|EV_red_not_visible,CLEAR
