stamp_sec,stamp_nsec,robot,x,y,elapsed_s
0,0,robot_0,3.743053,2.505756,0.0
0,0,robot_1,2.801033,2.218279,0.0
0,0,robot_2,2.474809,1.343956,0.0
0,200000000,robot_0,3.742251,2.50574,0.2
0,200000000,robot_1,2.801015,2.218393,0.2
0,200000000,robot_2,2.474791,1.343941,0.2
0,400000000,robot_0,3.742623,2.505573,0.4
0,400000000,robot_1,2.801096,2.218553,0.4
0,400000000,robot_2,2.474842,1.343906,0.4
0,600000000,robot_0,3.742561,2.505377,0.6
0,600000000,robot_1,2.801049,2.218426,0.6
0,600000000,robot_2,2.474844,1.343884,0.6
0,800000000,robot_0,3.74251,2.505197,0.8
0,800000000,robot_1,2.801112,2.218283,0.8
0,800000000,robot_2,2.474802,1.343966,0.8
1,0,robot_0,3.742466,2.50521,1.0
1,0,robot_1,2.800973,2.218448,1.0
1,0,robot_2,2.474818,1.343938,1.0
1,200000000,robot_0,3.742455,2.505471,1.2
1,200000000,robot_1,2.801236,2.218574,1.2
1,200000000,robot_2,2.474783,1.343918,1.2
1,400000000,robot_0,3.74365,2.505267,1.4
1,400000000,robot_1,2.801228,2.21849,1.4
1,400000000,robot_2,2.474783,1.343995,1.4
1,600000000,robot_0,3.742685,2.505179,1.6
1,600000000,robot_1,2.801354,2.218917,1.6
1,600000000,robot_2,2.474728,1.343999,1.6
1,800000000,robot_0,3.742218,2.505287,1.8
1,800000000,robot_1,2.801237,2.218726,1.8
1,800000000,robot_2,2.474555,1.344529,1.8
2,0,robot_0,3.742494,2.5054,2.0
2,0,robot_1,2.80156,2.218624,2.0
2,0,robot_2,2.444559,1.343692,2.0
2,200000000,robot_0,3.742343,2.505517,2.2
2,200000000,robot_1,2.80152,2.218729,2.2
2,200000000,robot_2,2.369476,1.3414,2.2
2,400000000,robot_0,3.742435,2.505348,2.4
2,400000000,robot_1,2.802143,2.218884,2.4
2,400000000,robot_2,2.308815,1.340334,2.4
2,600000000,robot_0,3.742234,2.504175,2.6
2,600000000,robot_1,2.801995,2.218867,2.6
2,600000000,robot_2,2.223023,1.338641,2.6
2,800000000,robot_0,3.742962,2.505866,2.8
2,800000000,robot_1,2.801893,2.218814,2.8
2,800000000,robot_2,2.154444,1.336854,2.8
3,0,robot_0,3.742183,2.50552,3.0
3,0,robot_1,2.801893,2.218786,3.0
3,0,robot_2,2.093229,1.336407,3.0
3,200000000,robot_0,3.741946,2.505554,3.2
3,200000000,robot_1,2.801836,2.218788,3.2
3,200000000,robot_2,2.007366,1.334544,3.2
3,400000000,robot_0,3.742152,2.505537,3.4
3,400000000,robot_1,2.801811,2.219028,3.4
3,400000000,robot_2,1.937577,1.333896,3.4
3,600000000,robot_0,3.74193,2.505351,3.6
3,600000000,robot_1,2.801989,2.218963,3.6
3,600000000,robot_2,1.867246,1.333538,3.6
3,800000000,robot_0,3.742952,2.503198,3.8
3,800000000,robot_1,2.801791,2.219005,3.8
3,800000000,robot_2,1.795124,1.334487,3.8
4,0,robot_0,3.742432,2.505386,4.0
4,0,robot_1,2.801264,2.21902,4.0
4,0,robot_2,1.736205,1.331016,4.0
