stamp_sec,stamp_nsec,robot,x,y,elapsed_s
0,0,robot_0,2.034309,1.399839,0.0
0,0,robot_1,0.335106,2.018727,0.0
0,0,robot_2,1.793476,2.643538,0.0
0,200000000,robot_0,2.01662,1.366299,0.2
0,200000000,robot_1,0.346869,2.00386,0.2
0,200000000,robot_2,1.791136,2.635097,0.2
0,400000000,robot_0,2.015596,1.349412,0.4
0,400000000,robot_1,0.372971,1.969101,0.4
0,400000000,robot_2,1.791164,2.626298,0.4
0,600000000,robot_0,2.022335,1.344504,0.6
0,600000000,robot_1,0.394164,1.940572,0.6
0,600000000,robot_2,1.791349,2.621971,0.6
0,800000000,robot_0,2.03221,1.342632,0.8
0,800000000,robot_1,0.424635,1.916332,0.8
0,800000000,robot_2,1.791945,2.622527,0.8
1,0,robot_0,2.037462,1.338195,1.0
1,0,robot_1,0.456271,1.879713,1.0
1,0,robot_2,1.772857,2.610917,1.0
1,200000000,robot_0,2.051777,1.302095,1.2
1,200000000,robot_1,0.478848,1.872881,1.2
1,200000000,robot_2,1.71634,2.59054,1.2
1,400000000,robot_0,2.065511,1.245198,1.4
1,400000000,robot_1,0.48938,1.874574,1.4
1,400000000,robot_2,1.654868,2.563786,1.4
1,600000000,robot_0,2.078372,1.186131,1.6
1,600000000,robot_1,0.496977,1.882716,1.6
1,600000000,robot_2,1.610442,2.544264,1.6
1,800000000,robot_0,2.091192,1.156572,1.8
1,800000000,robot_1,0.49725,1.897146,1.8
1,800000000,robot_2,1.583422,2.522047,1.8
2,0,robot_0,2.110457,1.11762,2.0
2,0,robot_1,0.509351,1.91225,2.0
2,0,robot_2,1.539468,2.492427,2.0
2,200000000,robot_0,2.133827,1.059858,2.2
2,200000000,robot_1,0.550519,1.920225,2.2
2,200000000,robot_2,1.517329,2.470328,2.2
2,400000000,robot_0,2.156062,1.002263,2.4
2,400000000,robot_1,0.611754,1.927285,2.4
2,400000000,robot_2,1.487405,2.432839,2.4
2,600000000,robot_0,2.171685,0.97736,2.6
2,600000000,robot_1,0.671251,1.935406,2.6
2,600000000,robot_2,1.440717,2.387213,2.6
2,800000000,robot_0,2.201536,0.939777,2.8
2,800000000,robot_1,0.690386,1.94331,2.8
2,800000000,robot_2,1.407957,2.350192,2.8
3,0,robot_0,2.22417,0.905765,3.0
3,0,robot_1,0.703448,1.948924,3.0
3,0,robot_2,1.401062,2.327179,3.0
3,200000000,robot_0,2.237536,0.895158,3.2
3,200000000,robot_1,0.708422,1.944876,3.2
3,200000000,robot_2,1.405591,2.314757,3.2
3,400000000,robot_0,2.246061,0.898462,3.4
3,400000000,robot_1,0.702111,1.941735,3.4
3,400000000,robot_2,1.415968,2.307293,3.4
3,600000000,robot_0,2.253104,0.906284,3.6
3,600000000,robot_1,0.698348,1.951757,3.6
3,600000000,robot_2,1.421999,2.302875,3.6
3,800000000,robot_0,2.277289,0.903343,3.8
3,800000000,robot_1,0.694705,1.9629,3.8
3,800000000,robot_2,1.431153,2.300498,3.8
4,0,robot_0,2.317147,0.892912,4.0
4,0,robot_1,0.693363,1.96911,4.0
4,0,robot_2,1.441876,2.298907,4.0
4,200000000,robot_0,2.345914,0.893708,4.2
4,200000000,robot_1,0.684703,1.980715,4.2
4,200000000,robot_2,1.456341,2.300641,4.2
4,400000000,robot_0,2.386976,0.890594,4.4
4,400000000,robot_1,0.679961,1.984205,4.4
4,400000000,robot_2,1.469728,2.305119,4.4
4,600000000,robot_0,2.429031,0.887159,4.6
4,600000000,robot_1,0.67013,1.99232,4.6
