stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
0,0,robot_0,4,1.0,1.0,1.5,1.5
0,0,robot_0,7,2.0,1.0,2.5,1.5
0,0,robot_1,2,0.0,2.0,0.5,2.5
0,0,robot_2,5,1.0,2.0,1.5,2.5
3,600000000,robot_0,3,1.0,0.0,1.5,0.5
3,800000000,robot_0,6,2.0,0.0,2.5,0.5
4,400000000,robot_1,1,0.0,1.0,0.5,1.5
19,800000000,robot_2,8,2.0,2.0,2.5,2.5
22,800000000,robot_0,9,3.0,0.0,3.5,0.5
23,800000000,robot_0,10,3.0,1.0,3.5,1.5
29,200000000,robot_0,11,3.0,2.0,3.5,2.5
42,400000000,robot_1,0,0.0,0.0,0.5,0.5
