stamp_sec,stamp_nsec,robot,x,y,elapsed_s
0,0,robot_0,1.646604,1.066878,0.0
0,0,robot_1,2.114501,2.605812,0.0
0,0,robot_2,3.33168,1.934904,0.0
0,200000000,robot_0,1.658949,1.108944,0.2
0,200000000,robot_1,2.108182,2.607694,0.2
0,200000000,robot_2,3.319584,1.952369,0.2
0,400000000,robot_0,1.67303,1.171386,0.4
0,400000000,robot_1,2.098041,2.605859,0.4
0,400000000,robot_2,3.314699,2.002306,0.4
0,600000000,robot_0,1.685548,1.241196,0.6
0,600000000,robot_1,2.086983,2.602813,0.6
0,600000000,robot_2,3.313734,2.067533,0.6
0,800000000,robot_0,1.699455,1.311386,0.8
0,800000000,robot_1,2.080469,2.600729,0.8
0,800000000,robot_2,3.308494,2.131184,0.8
1,0,robot_0,1.715576,1.360322,1.0
1,0,robot_1,2.073442,2.595801,1.0
1,0,robot_2,3.301534,2.165139,1.0
1,200000000,robot_0,1.73396,1.413322,1.2
1,200000000,robot_1,2.064149,2.590354,1.2
1,200000000,robot_2,3.293305,2.220077,1.2
1,400000000,robot_0,1.752266,1.47983,1.4
1,400000000,robot_1,2.059082,2.582494,1.4
1,400000000,robot_2,3.279984,2.288269,1.4
1,600000000,robot_0,1.775306,1.529371,1.6
1,600000000,robot_1,2.053235,2.573995,1.6
1,600000000,robot_2,3.269623,2.346214,1.6
1,800000000,robot_0,1.798937,1.579523,1.8
1,800000000,robot_1,2.049652,2.564455,1.8
1,800000000,robot_2,3.259377,2.368882,1.8
2,0,robot_0,1.828952,1.640729,2.0
2,0,robot_1,2.049021,2.552964,2.0
2,0,robot_2,3.261216,2.372265,2.0
2,200000000,robot_0,1.861367,1.705069,2.2
2,200000000,robot_1,2.05002,2.545612,2.2
2,200000000,robot_2,3.264287,2.370531,2.2
2,400000000,robot_0,1.885517,1.752347,2.4
2,400000000,robot_1,2.047046,2.542087,2.4
2,400000000,robot_2,3.264462,2.367948,2.4
