candidate_id,task,condition,video,elapsed_s,contact_type,robot,other,distance_m,review_status,review_reason,review_png
1,exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,64.4,wall,1,right,0.1488290000000001,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
2,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,11.0,wall,1,right,0.14836099999999997,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
3,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,17.2,wall,2,right,0.14952299999999985,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
4,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,23.4,wall,2,right,0.1435719999999998,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
5,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,25.6,wall,2,right,0.050727999999999884,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
6,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,38.6,wall,0,left,0.148932,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
7,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,45.8,wall,0,left,0.147434,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
8,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,51.6,wall,1,right,0.1437590000000002,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
9,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,54.6,wall,0,top,0.13573600000000008,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_01.jpg
10,exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,57.8,wall,0,top,0.1412049999999998,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
11,exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,3.8,wall,2,right,0.13233400000000017,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
12,exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,16.2,wall,1,right,0.14785799999999982,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
13,exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,24.0,wall,1,right,0.14264600000000005,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
14,exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,30.2,wall,1,right,0.14800600000000008,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
15,exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,31.8,wall,1,right,0.13323099999999988,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
16,exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,40.0,wall,1,right,0.14614800000000017,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
17,exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,8.8,wall,2,left,0.144528,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
18,exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,57.6,wall,1,right,0.10295999999999994,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_02.jpg
19,exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,63.4,wall,1,right,0.1479680000000001,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
20,exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,30.2,wall,2,right,0.11668700000000021,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
21,exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0.0,wall,0,left,0.05322,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
22,exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,8.4,wall,0,left,0.149519,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
23,exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,49.2,wall,2,right,0.14609899999999998,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
24,exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,29.4,wall,0,right,0.1493000000000002,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
25,exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,61.6,wall,1,right,0.11843100000000018,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
26,exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0.0,wall,2,right,0.1252559999999998,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
27,exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,5.4,wall,2,right,0.1479569999999999,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_03.jpg
28,exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,45.0,wall,1,right,0.12936499999999995,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
29,exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,10.8,wall,2,right,0.1489410000000002,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
30,exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,14.0,wall,2,right,0.1464859999999999,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
31,exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,60.0,wall,2,right,0.1358579999999998,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
32,exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,8.4,wall,1,right,0.13091600000000003,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
33,exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,7.6,wall,1,right,0.14196700000000018,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
34,exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,49.6,wall,0,left,0.149169,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_04.jpg
35,patrolling,baseline,2026-09-13 12-25-28_base.mp4,57.8,wall,0,bottom,0.14973,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_04.jpg
36,patrolling,baseline,2026-09-13 12-25-28_base.mp4,130.0,wall,1,bottom,0.071818,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_04.jpg
37,patrolling,llm,2026-09-13 12-36-00_llm.mp4,53.6,wall,0,right,0.1148889999999998,rejected,User rejected all seven events in the example: no collision.,collision_review/candidate_review_05.jpg
38,patrolling,llm,2026-09-13 12-36-00_llm.mp4,57.2,wall,0,right,0.11403499999999989,rejected,User rejected all seven events in the example: no collision.,collision_review/candidate_review_05.jpg
39,patrolling,llm,2026-09-13 12-36-00_llm.mp4,63.0,wall,0,right,0.12022399999999989,rejected,User rejected all seven events in the example: no collision.,collision_review/candidate_review_05.jpg
40,patrolling,llm,2026-09-13 12-36-00_llm.mp4,72.0,wall,0,right,0.14790599999999987,rejected,User rejected all seven events in the example: no collision.,collision_review/candidate_review_05.jpg
41,patrolling,llm,2026-09-13 12-36-00_llm.mp4,81.8,wall,0,right,0.13510100000000014,rejected,User rejected all seven events in the example: no collision.,collision_review/candidate_review_05.jpg
42,patrolling,llm,2026-09-13 12-36-00_llm.mp4,117.4,wall,2,bottom,0.106551,rejected,Completed robot being handled/removed; excluded.,collision_review/candidate_review_05.jpg
43,patrolling,llm,2026-09-13 12-36-00_llm.mp4,179.6,wall,0,bottom,0.143919,rejected,Completed robot being handled/removed; excluded.,collision_review/candidate_review_05.jpg
44,patrolling,baseline,2026-09-13 12-41-54_base.mp4,51.0,wall,0,bottom,0.149835,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_05.jpg
45,patrolling,baseline,2026-09-13 12-41-54_base.mp4,86.6,wall,2,bottom,0.122024,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_05.jpg
46,patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,27.6,wall,1,right,0.12958800000000004,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_06.jpg
47,patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,41.6,wall,1,right,0.14934199999999986,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_06.jpg
