task,condition,video,elapsed_s,contact_type,robot,other,distance_m,threshold_m,wall_nearest_x_m,wall_nearest_y_m
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,6.6,robot,1,robot_2,0.592318795725748,0.6,,
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,37.2,robot,1,robot_2,0.5887191467525071,0.6,,
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,36.8,robot,0,robot_1,0.5773127022628205,0.6,,
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,20.8,robot,0,robot_1,0.5910680956514234,0.6,,
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,11.4,robot,0,robot_1,0.5930846947553106,0.6,,
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,54.8,robot,1,robot_2,0.5992934645071646,0.6,,
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,55.8,robot,1,robot_2,0.5948890152927688,0.6,,
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,58.6,robot,1,robot_2,0.5978417007009462,0.6,,
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,25.6,wall,2,right,0.08101011282666246,0.1,4.0302791390740165,1.4243041175920212
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,27.0,wall,2,right,0.09370226322999917,0.1,4.029735823568659,1.4877118675316043
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,46.8,wall,0,left,0.09916055950599827,0.1,-0.04054508775670848,2.7835562354845886
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,55.8,wall,0,top,0.09842130860014761,0.1,0.26394797636451794,3.0117393061466107
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,57.8,wall,1,right,0.08698998398876184,0.1,4.025636790724538,1.966090354821878
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,65.0,wall,1,right,0.08886138925225781,0.1,4.0261911272917175,1.901396389552233
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,61.2,robot,0,robot_2,0.5772182616697086,0.6,,
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,37.2,robot,1,robot_2,0.5988918261497648,0.6,,
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,11.2,wall,0,left,0.08513721863817811,0.1,-0.0383912378655825,2.5261705812387634
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,20.2,wall,0,left,0.09094714049181121,0.1,-0.03849895630575999,2.5390429644599206
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,8.6,wall,2,right,0.09854607625621789,0.1,4.024124458786191,2.142587370693576
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,12.6,robot,0,robot_2,0.5986739510259318,0.6,,
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,48.6,robot,0,robot_2,0.5912781801571914,0.6,,
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,47.4,robot,1,robot_2,0.553901739333792,0.6,,
patrolling,llm,2026-09-13 12-36-00_llm.mp4,83.0,robot,1,robot_2,0.5944777725441047,0.6,,
patrolling,baseline,2026-09-13 12-53-56_base.mp4,72.2,robot,0,robot_2,0.5993071318447662,0.6,,
patrolling,llm,2026-09-13 13-22-01_llm.mp4,34.8,robot,1,robot_2,0.5962457086956685,0.6,,
patrolling,llm,2026-09-13 13-22-01_llm.mp4,220.0,robot,1,robot_2,0.5964028789878533,0.6,,
patrolling,llm,2026-09-13 16-49-26_llm.mp4,67.2,robot,0,robot_1,0.5882817329222454,0.6,,
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,35.8,robot,0,robot_2,0.5996696693563879,0.6,,
patrolling,llm,2026-09-13 17-17-42_llm.mp4,133.6,robot,1,robot_2,0.5936322589701476,0.6,,
patrolling,llm,2026-09-13 17-30-52_llm.mp4,59.0,wall,0,right,0.0986623601506098,0.1,4.021738738411986,2.4210133670469194
