task,condition,video,robot,color,elapsed_s,distance_m,points
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0,red,2.8,0.9783317061538995,1
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0,green,28.8,0.9689499534573497,2
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0,blue,34.8,0.9937411115602495,3
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,red,43.0,0.9484325263006327,1
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,green,68.8,0.9480861616693917,2
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2,red,89.6,0.9756439910387396,1
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2,green,133.2,0.9931594486209151,2
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2,blue,138.8,0.9502124441407828,3
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,red,4.0,0.9633742728161264,1
patrolling,llm,2026-09-13 12-36-00_llm.mp4,2,red,20.0,0.9393588250035235,1
patrolling,llm,2026-09-13 12-36-00_llm.mp4,2,green,35.6,0.9750841284453359,2
patrolling,llm,2026-09-13 12-36-00_llm.mp4,2,blue,100.8,0.9631173352323174,3
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,green,106.0,0.9847724522289402,2
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,red,131.8,0.9958919476619943,1
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,blue,165.8,0.9980387514610843,3
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,green,166.8,0.9697726604117072,2
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,blue,211.6,0.9774825911232384,3
patrolling,baseline,2026-09-13 12-41-54_base.mp4,0,red,11.4,0.9915945657394462,1
patrolling,baseline,2026-09-13 12-41-54_base.mp4,1,red,17.6,0.9838527848418179,1
patrolling,baseline,2026-09-13 12-41-54_base.mp4,1,green,25.2,0.9854457614628008,2
patrolling,baseline,2026-09-13 12-41-54_base.mp4,0,green,31.8,0.9880168989293653,2
patrolling,baseline,2026-09-13 12-41-54_base.mp4,2,red,44.8,0.9584160492839217,1
patrolling,baseline,2026-09-13 12-41-54_base.mp4,2,green,56.0,0.9932230279499159,2
patrolling,baseline,2026-09-13 12-41-54_base.mp4,1,blue,114.0,0.9874272531675434,3
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,red,5.8,0.9578129108615104,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,green,14.6,0.9995648101313893,2
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,red,32.4,0.9901262849000625,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,green,50.2,0.9938087573517354,2
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,red,56.8,0.9548860176052429,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,green,107.8,0.9997902896512848,2
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,blue,122.8,0.9930042441082515,3
patrolling,baseline,2026-09-13 12-53-56_base.mp4,2,red,9.0,0.9929968051434002,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,red,31.4,0.9559010609105943,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,red,36.4,0.9686606735322745,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,green,40.2,0.9843195414264618,2
patrolling,baseline,2026-09-13 12-53-56_base.mp4,2,green,70.6,0.96327393883412,2
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,green,71.6,0.9934705954793025,2
