task,condition,video,robot,first_clear_motion_s,exclude_at_s,exclude_reason
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,0,4.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,1,4.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,2,1.2,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,5.4,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,1,5.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,2,1.8,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,0,6.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,1,6.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,2,2.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,0,7.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,1,3.8,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,2,2.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,0,4.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,1,3.6,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,2,1.4,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,0,4.6,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,1,6.8,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,2,2.4,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,0,6.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,1,4.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,2,10.8,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,0,5.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,1,2.8,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,2,2.6,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,0,5.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,1,5.8,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,2,2.2,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,0,5.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,1,5.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,2,1.8,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,0,3.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,1,5.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,2,0.6,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0,6.6,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,1,6.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,2,2.4,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,0,3.4,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,1,3.6,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,2,1.2,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,0,3.4,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,1,4.8,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,2,0.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,2.2,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,1,3.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,2,1.4,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,0,4.2,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,1,5.0,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,2,0.8,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,0,5.6,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,1,5.0,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,2,1.8,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,5.6,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,1,5.6,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,2,3.4,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,0,2.4,,No verified completion/handling cutoff available
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,1,4.0,,No verified completion/handling cutoff available
