stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1786467092,329853634,robot_1,33,-2.000,-2.000,-1.500,-1.500
1786467092,329890208,robot_0,97,4.000,2.000,4.500,2.500
1786467092,329918556,robot_2,14,-4.000,-1.000,-3.500,-0.500
1786467098,368525751,robot_2,13,-4.000,-2.000,-3.500,-1.500
1786467099,8954738,robot_0,87,3.000,2.000,3.500,2.500
1786467100,87997865,robot_0,86,3.000,1.000,3.500,1.500
1786467100,947670046,robot_1,23,-3.000,-2.000,-2.500,-1.500
1786467103,948599533,robot_2,12,-4.000,-3.000,-3.500,-2.500
1786467105,207928579,robot_0,85,3.000,0.000,3.500,0.500
1786467106,467017647,robot_0,75,2.000,0.000,2.500,0.500
1786467106,668526076,robot_2,22,-3.000,-3.000,-2.500,-2.500
1786467108,167908385,robot_1,32,-2.000,-3.000,-1.500,-2.500
1786467109,827834698,robot_0,74,2.000,-1.000,2.500,-0.500
1786467113,427797784,robot_0,64,1.000,-1.000,1.500,-0.500
1786467114,487666108,robot_0,63,1.000,-2.000,1.500,-1.500
1786467118,368163926,robot_2,21,-3.000,-4.000,-2.500,-3.500
1786467119,247658018,robot_0,62,1.000,-3.000,1.500,-2.500
1786467120,307616692,robot_0,52,0.000,-3.000,0.500,-2.500
1786467121,588354052,robot_1,42,-1.000,-3.000,-0.500,-2.500
1786467122,868123693,robot_1,43,-1.000,-2.000,-0.500,-1.500
1786467128,107550926,robot_1,44,-1.000,-1.000,-0.500,-0.500
1786467128,327254530,robot_1,54,0.000,-1.000,0.500,-0.500
1786467132,966840934,robot_1,55,0.000,0.000,0.500,0.500
1786467133,987563950,robot_0,53,0.000,-2.000,0.500,-1.500
1786467135,29320477,robot_1,65,1.000,0.000,1.500,0.500
1786467137,767669678,robot_1,66,1.000,1.000,1.500,1.500
1786467141,348216687,robot_1,76,2.000,1.000,2.500,1.500
1786467142,607849975,robot_1,77,2.000,2.000,2.500,2.500
1786467143,228663544,robot_0,45,-1.000,0.000,-0.500,0.500
1786467147,267711804,robot_2,24,-3.000,-1.000,-2.500,-0.500
1786467147,907891521,robot_0,46,-1.000,1.000,-0.500,1.500
1786467148,347049280,robot_0,36,-2.000,1.000,-1.500,1.500
1786467151,68368963,robot_2,25,-3.000,0.000,-2.500,0.500
1786467155,127219432,robot_2,26,-3.000,1.000,-2.500,1.500
1786467156,847867223,robot_1,78,2.000,3.000,2.500,3.500
1786467157,927054941,robot_2,16,-4.000,1.000,-3.500,1.500
1786467158,967842436,robot_2,17,-4.000,2.000,-3.500,2.500
1786467174,926833113,robot_2,15,-4.000,0.000,-3.500,0.500
1786467178,487040752,robot_1,68,1.000,3.000,1.500,3.500
1786467181,427625894,robot_1,69,1.000,4.000,1.500,4.500
1786467190,248852039,robot_1,67,1.000,2.000,1.500,2.500
1786467206,288352220,robot_1,73,2.000,-2.000,2.500,-1.500
