stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1786462218,321251042,2.207,robot_2,-1.889,2.435
1786462218,321328575,2.207,robot_1,0.265,2.936
1786462218,321367593,2.207,robot_0,-3.313,1.900
1786462218,681262042,2.567,robot_2,-1.889,2.435
1786462218,681313390,2.567,robot_1,0.265,2.936
1786462218,681339841,2.567,robot_0,-3.313,1.900
1786462222,736445075,6.622,robot_2,-1.889,2.435
1786462222,736494221,6.623,robot_1,0.265,2.936
1786462222,736517761,6.623,robot_0,-3.313,1.900
1786462222,936950963,6.823,robot_2,-1.889,2.435
1786462222,936998799,6.823,robot_1,0.265,2.936
1786462222,937020147,6.823,robot_0,-3.313,1.900
1786462223,155436454,7.041,robot_2,-1.906,2.436
1786462223,155485097,7.041,robot_1,0.265,2.936
1786462223,155509137,7.042,robot_0,-3.326,1.910
1786462223,355563390,7.242,robot_2,-1.966,2.439
1786462223,355612128,7.242,robot_1,0.265,2.936
1786462223,355635755,7.242,robot_0,-3.375,1.944
1786462223,556236093,7.442,robot_2,-2.025,2.442
1786462223,556382004,7.442,robot_1,0.266,2.962
1786462223,556431821,7.442,robot_0,-3.386,1.952
1786462223,775291488,7.661,robot_2,-2.091,2.445
1786462223,775338490,7.661,robot_1,0.267,3.028
1786462223,775381881,7.661,robot_0,-3.386,1.953
1786462223,994921965,7.881,robot_2,-2.157,2.448
1786462223,994964269,7.881,robot_1,0.268,3.094
1786462223,994984380,7.881,robot_0,-3.389,1.954
1786462224,196825105,8.083,robot_2,-2.217,2.450
1786462224,196869925,8.083,robot_1,0.269,3.117
1786462224,196890865,8.083,robot_0,-3.441,1.962
1786462224,397080822,8.283,robot_2,-2.249,2.452
1786462224,397123834,8.283,robot_1,0.270,3.125
1786462224,397144771,8.283,robot_0,-3.501,1.967
1786462224,615088636,8.501,robot_2,-2.256,2.452
1786462224,615133589,8.501,robot_1,0.278,3.189
1786462224,615153889,8.501,robot_0,-3.560,1.971
1786462224,834870049,8.721,robot_2,-2.319,2.455
1786462224,834910664,8.721,robot_1,0.287,3.255
1786462224,834928551,8.721,robot_0,-3.563,1.971
1786462225,55369393,8.941,robot_2,-2.385,2.458
1786462225,55417385,8.941,robot_1,0.295,3.320
1786462225,55441670,8.941,robot_0,-3.578,1.969
1786462225,274105665,9.160,robot_2,-2.441,2.461
1786462225,274143172,9.160,robot_1,0.303,3.381
