stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1786095009,513389212,robot_0,82,3.000,-3.000,3.500,-2.500
1786095009,513414869,robot_1,53,0.000,-2.000,0.500,-1.500
1786095009,513434263,robot_2,27,-3.000,2.000,-2.500,2.500
1786095012,539722524,robot_1,52,0.000,-3.000,0.500,-2.500
1786095013,179691724,robot_0,92,4.000,-3.000,4.500,-2.500
1786095014,459687653,robot_1,62,1.000,-3.000,1.500,-2.500
1786095017,640335374,robot_1,61,1.000,-4.000,1.500,-3.500
1786095018,720240607,robot_2,17,-4.000,2.000,-3.500,2.500
1786095020,420664537,robot_0,83,3.000,-2.000,3.500,-1.500
1786095021,260464683,robot_1,71,2.000,-4.000,2.500,-3.500
1786095021,699788234,robot_1,70,2.000,-5.000,2.500,-4.500
1786095021,900684663,robot_2,18,-4.000,3.000,-3.500,3.500
1786095033,420415939,robot_2,37,-2.000,2.000,-1.500,2.500
1786095034,480526793,robot_1,63,1.000,-2.000,1.500,-1.500
1786095036,200017963,robot_0,93,4.000,-2.000,4.500,-1.500
1786095036,859559712,robot_2,47,-1.000,2.000,-0.500,2.500
1786095037,899895519,robot_1,64,1.000,-1.000,1.500,-0.500
1786095042,140000952,robot_1,65,1.000,0.000,1.500,0.500
1786095045,720303317,robot_1,66,1.000,1.000,1.500,1.500
1786095045,920574914,robot_2,28,-3.000,3.000,-2.500,3.500
1786095047,399973331,robot_1,56,0.000,1.000,0.500,1.500
1786095049,720104314,robot_1,57,0.000,2.000,0.500,2.500
1786095061,339602132,robot_2,38,-2.000,3.000,-1.500,3.500
1786095071,420463831,robot_2,39,-2.000,4.000,-1.500,4.500
1786095077,360606229,robot_0,72,2.000,-3.000,2.500,-2.500
1786095088,260833225,robot_1,46,-1.000,1.000,-0.500,1.500
1786095102,421179268,robot_2,55,0.000,0.000,0.500,0.500
1786095106,200357347,robot_2,54,0.000,-1.000,0.500,-0.500
1786095115,60512888,robot_1,67,1.000,2.000,1.500,2.500
1786095119,80525358,robot_1,68,1.000,3.000,1.500,3.500
1786095119,700535034,robot_1,78,2.000,3.000,2.500,3.500
1786095122,820217451,robot_1,79,2.000,4.000,2.500,4.500
1786095123,40025131,robot_0,60,1.000,-5.000,1.500,-4.500
1786095169,740828060,robot_1,44,-1.000,-1.000,-0.500,-0.500
1786095170,600974483,robot_1,43,-1.000,-2.000,-0.500,-1.500
1786095173,361529055,robot_0,73,2.000,-2.000,2.500,-1.500
1786095193,260033910,robot_2,45,-1.000,0.000,-0.500,0.500
1786095195,179952034,robot_1,34,-2.000,-1.000,-1.500,-0.500
1786095268,860719433,robot_1,35,-2.000,0.000,-1.500,0.500
1786095269,699840308,robot_0,33,-2.000,-2.000,-1.500,-1.500
1786095273,120496479,robot_0,23,-3.000,-2.000,-2.500,-1.500
1786095276,660661748,robot_0,13,-4.000,-2.000,-3.500,-1.500
1786095280,440475783,robot_0,3,-5.000,-2.000,-4.500,-1.500
1786095288,580026929,robot_0,4,-5.000,-1.000,-4.500,-0.500
1786095292,340435982,robot_0,5,-5.000,0.000,-4.500,0.500
1786095293,640515725,robot_2,69,1.000,4.000,1.500,4.500
1786095294,300320681,robot_0,15,-4.000,0.000,-3.500,0.500
1786095296,420168786,robot_0,16,-4.000,1.000,-3.500,1.500
