stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1786098046,116251069,2.194,robot_0,3.639,-2.330
1786098046,116364531,2.194,robot_2,-2.233,2.280
1786098046,116428755,2.194,robot_1,0.351,-1.850
1786098048,823746699,4.902,robot_0,3.639,-2.330
1786098048,823798853,4.902,robot_2,-2.233,2.280
1786098048,823822320,4.902,robot_1,0.351,-1.850
1786098049,42427817,5.120,robot_0,3.671,-2.348
1786098049,42476329,5.120,robot_2,-2.233,2.279
1786098049,42497339,5.120,robot_1,0.378,-1.873
1786098049,262693843,5.341,robot_0,3.728,-2.381
1786098049,262742229,5.341,robot_2,-2.233,2.279
1786098049,262764151,5.341,robot_1,0.428,-1.916
1786098049,483070724,5.561,robot_0,3.785,-2.414
1786098049,483112616,5.561,robot_2,-2.233,2.279
1786098049,483130764,5.561,robot_1,0.478,-1.959
1786098049,683572473,5.762,robot_0,3.837,-2.444
1786098049,683627056,5.762,robot_2,-2.233,2.278
1786098049,683649134,5.762,robot_1,0.524,-1.998
1786098049,901983976,5.980,robot_0,3.894,-2.477
1786098049,902026547,5.980,robot_2,-2.233,2.278
1786098049,902046683,5.980,robot_1,0.574,-2.041
1786098050,102004772,6.180,robot_0,3.946,-2.506
1786098050,102043282,6.180,robot_2,-2.233,2.277
1786098050,102060997,6.180,robot_1,0.620,-2.080
1786098050,302880483,6.381,robot_0,3.998,-2.536
1786098050,302920043,6.381,robot_2,-2.233,2.277
1786098050,302937962,6.381,robot_1,0.665,-2.119
1786098050,521891178,6.600,robot_0,4.049,-2.566
1786098050,521943624,6.600,robot_2,-2.232,2.277
1786098050,521956931,6.600,robot_1,0.715,-2.162
1786098050,741743014,6.820,robot_0,4.051,-2.564
1786098050,741797596,6.820,robot_2,-2.232,2.276
1786098050,741824629,6.820,robot_1,0.765,-2.205
1786098050,962190466,7.040,robot_0,4.049,-2.556
1786098050,962227732,7.040,robot_2,-2.232,2.276
1786098050,962243118,7.040,robot_1,0.815,-2.248
1786098051,181666547,7.260,robot_0,4.045,-2.548
1786098051,181701995,7.260,robot_2,-2.231,2.276
1786098051,181719286,7.260,robot_1,0.865,-2.291
1786098051,401492325,7.479,robot_0,4.039,-2.539
1786098051,401527622,7.480,robot_2,-2.231,2.276
1786098051,401543826,7.480,robot_1,0.882,-2.305
1786098051,621269694,7.699,robot_0,4.032,-2.531
1786098051,621302746,7.699,robot_2,-2.230,2.276
1786098051,621319276,7.699,robot_1,0.923,-2.331
1786098051,841081435,7.919,robot_0,4.022,-2.524
1786098051,841107268,7.919,robot_2,-2.230,2.276
1786098051,841131639,7.919,robot_1,0.978,-2.368
1786098052,41360906,8.119,robot_0,4.018,-2.522
1786098052,41387897,8.119,robot_2,-2.229,2.276
1786098052,41399486,8.119,robot_1,1.027,-2.402
1786098052,241628354,8.320,robot_0,4.018,-2.522
1786098052,241667430,8.320,robot_2,-2.229,2.277
1786098052,241684531,8.320,robot_1,1.077,-2.435
1786098052,461455008,8.539,robot_0,4.019,-2.522
1786098052,461495892,8.539,robot_2,-2.229,2.277
1786098052,461513083,8.539,robot_1,1.132,-2.472
1786098052,682401998,8.760,robot_0,4.019,-2.522
1786098052,682431668,8.760,robot_2,-2.228,2.277
1786098052,682442513,8.760,robot_1,1.187,-2.509
1786098052,901387530,8.979,robot_0,4.019,-2.522
1786098052,901422661,8.979,robot_2,-2.233,2.280
1786098052,901439869,8.979,robot_1,1.241,-2.546
1786098053,120545219,9.199,robot_0,4.020,-2.522
1786098053,120572279,9.199,robot_2,-2.287,2.311
1786098053,120582186,9.199,robot_1,1.256,-2.555
1786098053,320624520,9.399,robot_0,4.020,-2.522
1786098053,320651709,9.399,robot_2,-2.339,2.341
1786098053,320662183,9.399,robot_1,1.298,-2.578
1786098053,540449081,9.618,robot_0,4.020,-2.522
1786098053,540471491,9.618,robot_2,-2.396,2.374
1786098053,540480741,9.618,robot_1,1.357,-2.609
1786098053,740941392,9.819,robot_0,4.020,-2.522
1786098053,740968386,9.819,robot_2,-2.448,2.404
1786098053,740980044,9.819,robot_1,1.410,-2.636
1786098053,941023973,10.019,robot_0,4.021,-2.521
1786098053,941060018,10.019,robot_2,-2.500,2.434
1786098053,941076503,10.019,robot_1,1.463,-2.664
1786098054,141115294,10.219,robot_0,4.021,-2.521
1786098054,141146778,10.219,robot_2,-2.552,2.464
1786098054,141160223,10.219,robot_1,1.517,-2.691
1786098054,360740785,10.439,robot_0,3.980,-2.500
1786098054,360772329,10.439,robot_2,-2.609,2.497
1786098054,360784438,10.439,robot_1,1.575,-2.722
1786098054,561045486,10.639,robot_0,3.926,-2.472
1786098054,561080955,10.639,robot_2,-2.661,2.528
1786098054,561098096,10.639,robot_1,1.629,-2.749
1786098054,761520514,10.840,robot_0,3.873,-2.444
1786098054,761559694,10.840,robot_2,-2.713,2.558
1786098054,761577236,10.840,robot_1,1.682,-2.777
1786098054,981604818,11.060,robot_0,3.815,-2.414
1786098054,981642183,11.060,robot_2,-2.770,2.591
1786098054,981658110,11.060,robot_1,1.741,-2.807
1786098055,182290158,11.260,robot_0,3.761,-2.386
1786098055,182325896,11.260,robot_2,-2.822,2.621
1786098055,182342463,11.260,robot_1,1.794,-2.835
1786098055,401033238,11.479,robot_0,3.703,-2.356
1786098055,401055187,11.479,robot_2,-2.879,2.654
1786098055,401064024,11.479,robot_1,1.814,-2.845
1786098055,620620141,11.699,robot_0,3.644,-2.325
1786098055,620647728,11.699,robot_2,-2.936,2.687
1786098055,620658719,11.699,robot_1,1.859,-2.863
1786098055,820780720,11.899,robot_0,3.591,-2.298
1786098055,820805278,11.899,robot_2,-2.988,2.717
1786098055,820816154,11.899,robot_1,1.915,-2.885
1786098056,21722993,12.100,robot_0,3.538,-2.270
1786098056,21759954,12.100,robot_2,-3.040,2.747
1786098056,21792903,12.100,robot_1,1.972,-2.906
1786098056,241054131,12.319,robot_0,3.479,-2.240
