stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1786446082,133294659,robot_2,17,-4.000,2.000,-3.500,2.500
1786446082,133338809,robot_1,80,3.000,-5.000,3.500,-4.500
1786446082,133376600,robot_0,28,-3.000,3.000,-2.500,3.500
1786446086,929195617,robot_1,81,3.000,-4.000,3.500,-3.500
1786446088,608389142,robot_2,18,-4.000,3.000,-3.500,3.500
1786446091,767812153,robot_1,91,4.000,-4.000,4.500,-3.500
1786446099,588086846,robot_1,92,4.000,-3.000,4.500,-2.500
1786446099,988722958,robot_2,16,-4.000,1.000,-3.500,1.500
1786446104,247034528,robot_2,15,-4.000,0.000,-3.500,0.500
1786446104,448204289,robot_0,29,-3.000,4.000,-2.500,4.500
1786446108,68055843,robot_2,14,-4.000,-1.000,-3.500,-0.500
1786446122,467823916,robot_2,25,-3.000,0.000,-2.500,0.500
1786446123,747149120,robot_2,26,-3.000,1.000,-2.500,1.500
1786446125,7639810,robot_1,90,4.000,-5.000,4.500,-4.500
1786446135,206785852,robot_2,36,-2.000,1.000,-1.500,1.500
1786446136,867630694,robot_2,35,-2.000,0.000,-1.500,0.500
1786446138,127900115,robot_0,38,-2.000,3.000,-1.500,3.500
1786446140,647774244,robot_2,45,-1.000,0.000,-0.500,0.500
1786446142,748087030,robot_2,44,-1.000,-1.000,-0.500,-0.500
1786446146,148071214,robot_2,54,0.000,-1.000,0.500,-0.500
1786446148,887564734,robot_2,53,0.000,-2.000,0.500,-1.500
1786446151,828316624,robot_2,63,1.000,-2.000,1.500,-1.500
1786446152,868597450,robot_1,71,2.000,-4.000,2.500,-3.500
1786446153,927640550,robot_0,27,-3.000,2.000,-2.500,2.500
1786446155,207050038,robot_2,62,1.000,-3.000,1.500,-2.500
1786446166,528870840,robot_0,24,-3.000,-1.000,-2.500,-0.500
1786446185,789903050,robot_1,82,3.000,-3.000,3.500,-2.500
1786446196,820218311,robot_1,61,1.000,-4.000,1.500,-3.500
1786446200,879663601,robot_1,51,0.000,-4.000,0.500,-3.500
1786446201,500114607,robot_1,52,0.000,-3.000,0.500,-2.500
1786446205,101632639,robot_1,42,-1.000,-3.000,-0.500,-2.500
1786446209,342478625,robot_1,32,-2.000,-3.000,-1.500,-2.500
1786446212,319325077,robot_1,33,-2.000,-2.000,-1.500,-1.500
1786446213,360107513,robot_1,23,-3.000,-2.000,-2.500,-1.500
1786446221,423565284,robot_1,22,-3.000,-3.000,-2.500,-2.500
1786446244,79828674,robot_1,12,-4.000,-3.000,-3.500,-2.500
1786446343,910684116,robot_1,37,-2.000,2.000,-1.500,2.500
1786446345,572509874,robot_1,47,-1.000,2.000,-0.500,2.500
1786446348,570251107,robot_1,46,-1.000,1.000,-0.500,1.500
1786446352,970728138,robot_1,56,0.000,1.000,0.500,1.500
1786446353,390030192,robot_1,55,0.000,0.000,0.500,0.500
1786446360,149797546,robot_1,64,1.000,-1.000,1.500,-0.500
