stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1786025435,89789733,2.108,robot_1,0.351,-1.850
1786025435,89846571,2.108,robot_0,3.639,-2.330
1786025435,89874723,2.108,robot_2,-2.233,2.280
1786025436,590275345,3.609,robot_1,0.351,-1.850
1786025436,590316876,3.609,robot_0,3.639,-2.330
1786025436,590336328,3.609,robot_2,-2.233,2.280
1786025436,809370274,3.828,robot_1,0.378,-1.873
1786025436,809397250,3.828,robot_0,3.671,-2.348
1786025436,809409406,3.828,robot_2,-2.233,2.279
1786025437,9721352,4.028,robot_1,0.423,-1.912
1786025437,9760997,4.028,robot_0,3.723,-2.378
1786025437,9779910,4.028,robot_2,-2.232,2.279
1786025437,209767333,4.228,robot_1,0.469,-1.951
1786025437,209805850,4.228,robot_0,3.770,-2.405
1786025437,209825909,4.228,robot_2,-2.188,2.264
1786025437,429395826,4.448,robot_1,0.519,-1.994
1786025437,429430995,4.448,robot_0,3.781,-2.411
1786025437,429446581,4.448,robot_2,-2.149,2.252
1786025437,629663300,4.648,robot_1,0.564,-2.033
1786025437,629719117,4.648,robot_0,3.834,-2.435
1786025437,629734836,4.648,robot_2,-2.149,2.252
1786025437,830364395,4.849,robot_1,0.609,-2.071
1786025437,830402943,4.849,robot_0,3.889,-2.458
1786025437,830420023,4.849,robot_2,-2.125,2.253
1786025438,50461921,5.069,robot_1,0.620,-2.080
1786025438,50491341,5.069,robot_0,3.950,-2.484
1786025438,50506197,5.069,robot_2,-2.060,2.260
1786025438,269631578,5.288,robot_1,0.660,-2.123
1786025438,269661700,5.288,robot_0,4.011,-2.510
1786025438,269698250,5.288,robot_2,-1.995,2.269
1786025438,490772700,5.509,robot_1,0.705,-2.171
1786025438,490815448,5.509,robot_0,4.071,-2.537
1786025438,490836134,5.509,robot_2,-1.972,2.272
1786025438,709972678,5.729,robot_1,0.750,-2.220
1786025438,710012513,5.729,robot_0,4.103,-2.550
1786025438,710030834,5.729,robot_2,-1.972,2.272
1786025438,928849384,5.947,robot_1,0.794,-2.268
1786025438,928869742,5.947,robot_0,4.102,-2.550
1786025438,928878836,5.947,robot_2,-1.972,2.272
1786025439,130478432,6.149,robot_1,0.802,-2.276
1786025439,130515790,6.149,robot_0,4.103,-2.550
1786025439,130534833,6.149,robot_2,-1.972,2.272
1786025439,349387051,6.368,robot_1,0.802,-2.276
1786025439,349409771,6.368,robot_0,4.104,-2.551
1786025439,349419522,6.368,robot_2,-1.972,2.271
1786025439,550103023,6.569,robot_1,0.803,-2.278
1786025439,550149642,6.569,robot_0,4.104,-2.551
1786025439,550170325,6.569,robot_2,-1.972,2.271
1786025439,769051313,6.788,robot_1,0.818,-2.333
1786025439,769073942,6.788,robot_0,4.104,-2.551
1786025439,769082697,6.788,robot_2,-1.971,2.271
