stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788355825,669326795,robot_2,56,0.000,1.000,0.500,1.500
1788355825,669364557,robot_2,66,1.000,1.000,1.500,1.500
1788355825,669429379,robot_1,3,-5.000,-2.000,-4.500,-1.500
1788355825,669454153,robot_1,4,-5.000,-1.000,-4.500,-0.500
1788355825,669483659,robot_1,13,-4.000,-2.000,-3.500,-1.500
1788355825,669518428,robot_1,14,-4.000,-1.000,-3.500,-0.500
1788355825,669559586,robot_0,43,-1.000,-2.000,-0.500,-1.500
1788355825,669576384,robot_0,44,-1.000,-1.000,-0.500,-0.500
1788355825,669596133,robot_0,53,0.000,-2.000,0.500,-1.500
1788355825,669618305,robot_0,54,0.000,-1.000,0.500,-0.500
1788355835,381847827,robot_2,55,0.000,0.000,0.500,0.500
1788355835,381906154,robot_2,65,1.000,0.000,1.500,0.500
1788355837,106522528,robot_1,24,-3.000,-1.000,-2.500,-0.500
1788355838,128900928,robot_1,23,-3.000,-2.000,-2.500,-1.500
1788355839,813427950,robot_0,33,-2.000,-2.000,-1.500,-1.500
1788355840,234157047,robot_2,67,1.000,2.000,1.500,2.500
1788355841,503008625,robot_2,76,2.000,1.000,2.500,1.500
1788355841,503054914,robot_2,77,2.000,2.000,2.500,2.500
1788355843,62355989,robot_0,42,-1.000,-3.000,-0.500,-2.500
1788355845,785187553,robot_0,52,0.000,-3.000,0.500,-2.500
1788355845,995966696,robot_1,15,-4.000,0.000,-3.500,0.500
1788355846,416046364,robot_2,78,2.000,3.000,2.500,3.500
1788355846,830716024,robot_1,25,-3.000,0.000,-2.500,0.500
1788355847,660146596,robot_0,41,-1.000,-4.000,-0.500,-3.500
1788355848,100280800,robot_2,87,3.000,2.000,3.500,2.500
1788355848,100333453,robot_2,88,3.000,3.000,3.500,3.500
1788355848,100555967,robot_0,51,0.000,-4.000,0.500,-3.500
1788355850,756425845,robot_1,16,-4.000,1.000,-3.500,1.500
1788355854,786138897,robot_1,17,-4.000,2.000,-3.500,2.500
1788355856,320930300,robot_0,61,1.000,-4.000,1.500,-3.500
1788355857,795339730,robot_0,62,1.000,-3.000,1.500,-2.500
1788355859,83081360,robot_1,18,-4.000,3.000,-3.500,3.500
1788355862,29644591,robot_2,75,2.000,0.000,2.500,0.500
1788355862,29726508,robot_1,27,-3.000,2.000,-2.500,2.500
1788355862,29751979,robot_1,28,-3.000,3.000,-2.500,3.500
1788355863,260857580,robot_0,63,1.000,-2.000,1.500,-1.500
1788355866,470904026,robot_2,74,2.000,-1.000,2.500,-0.500
1788355870,781975257,robot_2,73,2.000,-2.000,2.500,-1.500
1788355873,746799696,robot_0,45,-1.000,0.000,-0.500,0.500
1788355874,570612436,robot_2,72,2.000,-3.000,2.500,-2.500
1788355874,976592513,robot_2,94,4.000,-1.000,4.500,-0.500
1788355874,976731318,robot_1,38,-2.000,3.000,-1.500,3.500
1788355877,946091730,robot_0,35,-2.000,0.000,-1.500,0.500
1788355878,585630582,robot_0,46,-1.000,1.000,-0.500,1.500
1788355879,226399064,robot_0,36,-2.000,1.000,-1.500,1.500
1788355879,652102696,robot_1,37,-2.000,2.000,-1.500,2.500
1788355884,448848917,robot_0,83,3.000,-2.000,3.500,-1.500
1788355887,878507232,robot_1,48,-1.000,3.000,-0.500,3.500
1788355889,632921898,robot_1,47,-1.000,2.000,-0.500,2.500
1788355896,761242002,robot_1,57,0.000,2.000,0.500,2.500
1788355896,761263613,robot_1,58,0.000,3.000,0.500,3.500
1788355912,511447987,robot_1,34,-2.000,-1.000,-1.500,-0.500
