stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788355938,905812184,2.595,robot_2,-3.295,-0.841
1788355938,906066074,2.595,robot_1,-1.166,-1.091
1788355938,906210680,2.595,robot_0,4.339,2.664
1788355940,174155717,3.863,robot_2,-3.295,-0.841
1788355940,174305112,3.863,robot_1,-1.166,-1.091
1788355940,174383883,3.863,robot_0,4.339,2.664
1788355948,13695360,11.702,robot_2,-3.295,-0.841
1788355948,13829707,11.703,robot_1,-1.166,-1.091
1788355948,13901852,11.703,robot_0,4.339,2.664
1788355948,251830427,11.941,robot_2,-3.303,-0.843
1788355948,251998266,11.941,robot_1,-1.167,-1.092
1788355948,252078709,11.941,robot_0,4.328,2.650
1788355948,446691769,12.135,robot_2,-3.346,-0.853
1788355948,446830756,12.136,robot_1,-1.167,-1.093
1788355948,446913112,12.136,robot_0,4.300,2.614
1788355948,662935964,12.352,robot_2,-3.380,-0.861
1788355948,663059892,12.352,robot_1,-1.203,-1.128
1788355948,663137221,12.352,robot_0,4.263,2.568
1788355948,894345041,12.583,robot_2,-3.410,-0.869
1788355948,894490090,12.583,robot_1,-1.217,-1.142
1788355948,894592731,12.583,robot_0,4.248,2.549
1788355949,100364759,12.789,robot_2,-3.421,-0.872
1788355949,100560226,12.789,robot_1,-1.250,-1.170
1788355949,100663602,12.789,robot_0,4.246,2.547
1788355949,312456315,13.001,robot_2,-3.466,-0.887
1788355949,312611015,13.001,robot_1,-1.288,-1.204
1788355949,312699603,13.001,robot_0,4.235,2.526
1788355949,523439734,13.212,robot_2,-3.487,-0.895
1788355949,524717938,13.214,robot_1,-1.326,-1.237
1788355949,525695690,13.214,robot_0,4.215,2.486
1788355949,729555063,13.418,robot_2,-3.507,-0.904
1788355949,729644679,13.418,robot_1,-1.338,-1.248
1788355949,729692131,13.418,robot_0,4.190,2.434
1788355949,959685185,13.648,robot_2,-3.552,-0.927
1788355949,959788975,13.648,robot_1,-1.376,-1.277
1788355949,959847488,13.649,robot_0,4.169,2.389
1788355950,170442939,13.859,robot_2,-3.600,-0.951
1788355950,170581954,13.859,robot_1,-1.405,-1.299
1788355950,170644312,13.859,robot_0,4.152,2.354
1788355950,375448607,14.064,robot_2,-3.604,-0.954
1788355950,375577472,14.064,robot_1,-1.436,-1.321
1788355950,375635228,14.064,robot_0,4.134,2.318
1788355950,600012320,14.289,robot_2,-3.621,-0.965
1788355950,600123684,14.289,robot_1,-1.438,-1.323
1788355950,600182239,14.289,robot_0,4.113,2.277
1788355950,801662802,14.490,robot_2,-3.665,-0.997
1788355950,801907809,14.491,robot_1,-1.470,-1.341
1788355950,801956084,14.491,robot_0,4.095,2.245
1788355951,31321965,14.720,robot_2,-3.698,-1.022
1788355951,31445911,14.720,robot_1,-1.499,-1.356
1788355951,31667347,14.720,robot_0,4.076,2.211
1788355951,257581972,14.946,robot_2,-3.714,-1.034
1788355951,257744078,14.946,robot_1,-1.501,-1.357
1788355951,257827047,14.947,robot_0,4.062,2.188
1788355951,464240666,15.153,robot_2,-3.727,-1.044
1788355951,464394314,15.153,robot_1,-1.501,-1.357
1788355951,464468331,15.153,robot_0,4.049,2.166
1788355951,681302098,15.370,robot_2,-3.765,-1.075
1788355951,681434476,15.370,robot_1,-1.501,-1.358
1788355951,681517165,15.370,robot_0,4.011,2.105
1788355952,23140313,15.712,robot_2,-3.766,-1.075
1788355952,23308043,15.712,robot_1,-1.501,-1.358
1788355952,23381437,15.712,robot_0,3.986,2.064
1788355952,230743310,15.919,robot_2,-3.766,-1.075
1788355952,230859649,15.920,robot_1,-1.501,-1.358
1788355952,230910394,15.920,robot_0,3.952,2.011
1788355952,431998795,16.121,robot_2,-3.766,-1.075
1788355952,432088975,16.121,robot_1,-1.501,-1.359
1788355952,432122770,16.121,robot_0,3.927,1.970
1788355952,644893851,16.334,robot_2,-3.767,-1.075
1788355952,645054891,16.334,robot_1,-1.505,-1.357
1788355952,645134816,16.334,robot_0,3.905,1.936
1788355952,861726243,16.550,robot_2,-3.770,-1.104
1788355952,861833046,16.551,robot_1,-1.557,-1.321
1788355952,862110039,16.551,robot_0,3.880,1.898
1788355953,95083035,16.784,robot_2,-3.772,-1.150
1788355953,95158396,16.784,robot_1,-1.595,-1.291
1788355953,95188641,16.784,robot_0,3.862,1.871
1788355953,295150357,16.984,robot_2,-3.772,-1.173
1788355953,295292564,16.984,robot_1,-1.609,-1.281
1788355953,295361254,16.984,robot_0,3.835,1.832
1788355953,497146513,17.186,robot_2,-3.768,-1.233
1788355953,497290151,17.186,robot_1,-1.610,-1.280
1788355953,497362073,17.186,robot_0,3.800,1.783
1788355953,702734765,17.391,robot_2,-3.767,-1.249
1788355953,702852798,17.392,robot_1,-1.632,-1.251
1788355953,702915721,17.392,robot_0,3.766,1.734
1788355953,916823239,17.606,robot_2,-3.767,-1.249
1788355953,916936286,17.606,robot_1,-1.654,-1.212
1788355953,916994252,17.606,robot_0,3.733,1.688
1788355954,126451590,17.815,robot_2,-3.767,-1.251
1788355954,126609399,17.815,robot_1,-1.669,-1.170
1788355954,126692740,17.815,robot_0,3.709,1.653
1788355954,335281756,18.024,robot_2,-3.740,-1.295
1788355954,335427001,18.024,robot_1,-1.683,-1.109
1788355954,335524068,18.024,robot_0,3.685,1.619
1788355954,556221446,18.245,robot_2,-3.702,-1.349
1788355954,556315040,18.245,robot_1,-1.692,-1.060
1788355954,556371859,18.245,robot_0,3.660,1.583
1788355954,773476445,18.462,robot_2,-3.687,-1.370
1788355954,773564940,18.462,robot_1,-1.699,-1.007
1788355954,773602847,18.462,robot_0,3.634,1.547
1788355954,980458776,18.669,robot_2,-3.687,-1.371
1788355954,980611066,18.669,robot_1,-1.705,-0.948
1788355954,980705378,18.669,robot_0,3.611,1.514
1788355955,184083533,18.873,robot_2,-3.688,-1.371
1788355955,184198346,18.873,robot_1,-1.711,-0.885
1788355955,184270133,18.873,robot_0,3.587,1.480
1788355955,384849691,19.074,robot_2,-3.688,-1.371
1788355955,384953981,19.074,robot_1,-1.716,-0.825
1788355955,385021787,19.074,robot_0,3.555,1.433
1788355955,610898703,19.300,robot_2,-3.688,-1.372
1788355955,610974175,19.300,robot_1,-1.722,-0.764
1788355955,611015038,19.300,robot_0,3.519,1.382
1788355955,831482725,19.520,robot_2,-3.688,-1.372
1788355955,831647852,19.520,robot_1,-1.727,-0.720
1788355955,831737191,19.520,robot_0,3.482,1.329
1788355956,50349194,19.739,robot_2,-3.688,-1.373
1788355956,50441893,19.739,robot_1,-1.737,-0.661
1788355956,50498718,19.739,robot_0,3.455,1.290
1788355956,306613184,19.995,robot_2,-3.688,-1.373
1788355956,306743953,19.995,robot_1,-1.741,-0.643
1788355956,306824430,19.996,robot_0,3.445,1.275
1788355956,510318075,20.199,robot_2,-3.688,-1.373
1788355956,510411586,20.199,robot_1,-1.752,-0.584
1788355956,510461950,20.199,robot_0,3.411,1.226
1788355956,731607301,20.420,robot_2,-3.687,-1.374
1788355956,731722528,20.420,robot_1,-1.765,-0.520
1788355956,731781932,20.420,robot_0,3.379,1.180
1788355956,943149014,20.632,robot_2,-3.687,-1.374
1788355956,943270896,20.632,robot_1,-1.773,-0.478
1788355956,943339643,20.632,robot_0,3.361,1.154
1788355957,146055318,20.835,robot_2,-3.687,-1.374
1788355957,146220825,20.835,robot_1,-1.783,-0.429
1788355957,146296160,20.835,robot_0,3.331,1.110
1788355957,366321639,21.055,robot_2,-3.687,-1.374
1788355957,366416035,21.055,robot_1,-1.793,-0.382
1788355957,366458304,21.055,robot_0,3.290,1.050
1788355957,570758835,21.259,robot_2,-3.686,-1.374
1788355957,570862757,21.260,robot_1,-1.807,-0.331
1788355957,570985523,21.260,robot_0,3.259,1.006
1788355957,783227518,21.472,robot_2,-3.686,-1.375
1788355957,783345257,21.472,robot_1,-1.824,-0.267
1788355957,783463643,21.472,robot_0,3.221,0.952
1788355957,983354905,21.672,robot_2,-3.685,-1.375
1788355957,983477601,21.672,robot_1,-1.834,-0.228
1788355957,983571065,21.672,robot_0,3.203,0.926
1788355958,183413163,21.872,robot_2,-3.685,-1.374
1788355958,183521151,21.872,robot_1,-1.845,-0.189
1788355958,183573926,21.872,robot_0,3.177,0.888
1788355958,383797114,22.073,robot_2,-3.685,-1.374
1788355958,383926600,22.073,robot_1,-1.857,-0.151
1788355958,384001800,22.073,robot_0,3.143,0.839
1788355958,602675697,22.291,robot_2,-3.689,-1.364
1788355958,602775029,22.291,robot_1,-1.874,-0.104
1788355958,602841803,22.292,robot_0,3.118,0.803
1788355958,828271414,22.517,robot_2,-3.706,-1.318
1788355958,828413859,22.517,robot_1,-1.897,-0.041
1788355958,828524377,22.517,robot_0,3.079,0.746
1788355959,32902757,22.722,robot_2,-3.720,-1.267
1788355959,33073683,22.722,robot_1,-1.909,-0.007
1788355959,33158003,22.722,robot_0,3.053,0.709
1788355959,246717339,22.936,robot_2,-3.733,-1.206
1788355959,247750233,22.936,robot_1,-1.930,0.046
1788355959,247864820,22.937,robot_0,3.028,0.673
1788355959,469211536,23.158,robot_2,-3.747,-1.141
1788355959,469379550,23.158,robot_1,-1.954,0.107
1788355959,469446125,23.158,robot_0,2.990,0.619
1788355959,673388334,23.362,robot_2,-3.756,-1.098
1788355959,676463124,23.365,robot_1,-1.971,0.152
1788355959,676647372,23.365,robot_0,2.970,0.589
1788355959,896038414,23.585,robot_2,-3.765,-1.050
1788355959,896127433,23.585,robot_1,-1.997,0.218
1788355959,896172241,23.585,robot_0,2.942,0.550
1788355960,106958771,23.796,robot_2,-3.768,-1.009
1788355960,107037234,23.796,robot_1,-2.008,0.246
1788355960,107074717,23.796,robot_0,2.925,0.525
1788355960,332284301,24.021,robot_2,-3.770,-0.952
1788355960,332461771,24.021,robot_1,-2.022,0.281
1788355960,332591765,24.021,robot_0,2.904,0.494
1788355960,533642583,24.222,robot_2,-3.770,-0.910
1788355960,533748222,24.222,robot_1,-2.033,0.307
1788355960,533802456,24.223,robot_0,2.888,0.471
1788355960,744779887,24.434,robot_2,-3.771,-0.847
1788355960,744935806,24.434,robot_1,-2.049,0.345
1788355960,745021574,24.434,robot_0,2.864,0.436
1788355960,960978136,24.650,robot_2,-3.771,-0.781
1788355960,961046665,24.650,robot_1,-2.066,0.386
1788355960,961076226,24.650,robot_0,2.836,0.396
1788355961,162087858,24.851,robot_2,-3.771,-0.728
1788355961,162168645,24.851,robot_1,-2.082,0.423
1788355961,162201075,24.851,robot_0,2.802,0.347
1788355961,376971837,25.066,robot_2,-3.771,-0.725
1788355961,377072849,25.066,robot_1,-2.094,0.450
1788355961,377124843,25.066,robot_0,2.783,0.319
1788355961,588087403,25.277,robot_2,-3.771,-0.725
1788355961,588203379,25.277,robot_1,-2.120,0.507
1788355961,588261012,25.277,robot_0,2.759,0.285
1788355961,799064826,25.490,robot_2,-3.774,-0.715
1788355961,801755422,25.491,robot_1,-2.140,0.553
1788355961,801860404,25.491,robot_0,2.732,0.246
1788355962,17080440,25.706,robot_2,-3.804,-0.655
1788355962,17246655,25.706,robot_1,-2.158,0.595
1788355962,17337215,25.706,robot_0,2.698,0.197
1788355962,235705205,25.924,robot_2,-3.835,-0.597
1788355962,235819960,25.925,robot_1,-2.176,0.635
1788355962,235873652,25.925,robot_0,2.673,0.161
1788355962,447610622,26.136,robot_2,-3.845,-0.578
1788355962,447689313,26.136,robot_1,-2.183,0.652
1788355962,447752732,26.136,robot_0,2.665,0.149
1788355962,648613154,26.337,robot_2,-3.872,-0.529
1788355962,648691610,26.337,robot_1,-2.207,0.707
1788355962,648743692,26.337,robot_0,2.642,0.116
1788355962,850226636,26.539,robot_2,-3.876,-0.521
1788355962,850366012,26.539,robot_1,-2.231,0.762
1788355962,850450928,26.539,robot_0,2.618,0.081
1788355963,67261989,26.756,robot_2,-3.890,-0.501
1788355963,67350827,26.756,robot_1,-2.241,0.783
1788355963,67406408,26.756,robot_0,2.601,0.057
1788355963,268081795,26.957,robot_2,-3.924,-0.452
1788355963,268182637,26.957,robot_1,-2.257,0.820
1788355963,268244644,26.957,robot_0,2.576,0.020
1788355963,481525469,27.170,robot_2,-3.955,-0.407
1788355963,481823159,27.171,robot_1,-2.274,0.859
1788355963,481931419,27.171,robot_0,2.548,-0.020
1788355963,915700748,27.604,robot_2,-3.956,-0.406
1788355963,915815972,27.605,robot_1,-2.276,0.864
1788355963,915875677,27.605,robot_0,2.543,-0.027
1788355964,134037473,27.823,robot_2,-3.970,-0.389
1788355964,134170077,27.823,robot_1,-2.299,0.918
