stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788359841,784620447,2.004,robot_0,-2.552,3.898
1788359841,784675242,2.004,robot_1,3.702,-4.145
1788359841,784714632,2.004,robot_2,-3.777,2.765
1788359842,78552070,2.298,robot_0,-2.552,3.898
1788359842,78588580,2.298,robot_1,3.702,-4.145
1788359842,78605485,2.298,robot_2,-3.777,2.765
1788359843,887268698,4.107,robot_0,-2.552,3.898
1788359843,887324382,4.107,robot_1,3.702,-4.145
1788359843,887353899,4.107,robot_2,-3.777,2.765
1788359844,106805357,4.326,robot_0,-2.552,3.898
1788359844,106841462,4.326,robot_1,3.698,-4.109
1788359844,106857626,4.326,robot_2,-3.762,2.773
1788359844,307025297,4.527,robot_0,-2.552,3.898
1788359844,307078628,4.527,robot_1,3.693,-4.071
1788359844,307108476,4.527,robot_2,-3.709,2.801
1788359844,526304279,4.746,robot_0,-2.545,3.890
1788359844,526336382,4.746,robot_1,3.692,-4.044
1788359844,526350743,4.746,robot_2,-3.697,2.807
1788359844,747172785,4.967,robot_0,-2.498,3.848
1788359844,747223297,4.967,robot_1,3.691,-3.985
1788359844,747252531,4.967,robot_2,-3.697,2.807
1788359844,967007179,5.187,robot_0,-2.486,3.838
1788359844,967043049,5.187,robot_1,3.692,-3.971
1788359844,967063922,5.187,robot_2,-3.696,2.807
1788359845,186516312,5.406,robot_0,-2.438,3.809
1788359845,186548687,5.406,robot_1,3.698,-3.907
1788359845,186563362,5.406,robot_2,-3.696,2.807
1788359845,386898809,5.606,robot_0,-2.386,3.779
1788359845,386951575,5.607,robot_1,3.700,-3.892
1788359845,386979795,5.607,robot_2,-3.692,2.816
1788359845,606789939,5.826,robot_0,-2.335,3.749
1788359845,606882028,5.826,robot_1,3.710,-3.841
1788359845,606908936,5.826,robot_2,-3.678,2.878
1788359845,826348593,6.046,robot_0,-2.323,3.743
1788359845,826397832,6.046,robot_1,3.718,-3.804
1788359845,826424071,6.046,robot_2,-3.666,2.943
1788359846,26798637,6.246,robot_0,-2.269,3.719
1788359846,26855124,6.246,robot_1,3.719,-3.803
1788359846,26882732,6.246,robot_2,-3.655,3.002
1788359846,227238322,6.447,robot_0,-2.251,3.711
1788359846,227295369,6.447,robot_1,3.733,-3.779
1788359846,227324186,6.447,robot_2,-3.644,3.061
1788359846,446954975,6.667,robot_0,-2.251,3.710
1788359846,447014558,6.667,robot_1,3.769,-3.722
1788359846,447042569,6.667,robot_2,-3.632,3.126
1788359846,647195466,6.867,robot_0,-2.208,3.705
1788359846,647255569,6.867,robot_1,3.802,-3.672
1788359846,647283813,6.867,robot_2,-3.627,3.158
1788359846,866869122,7.086,robot_0,-2.163,3.702
1788359846,866914049,7.086,robot_1,3.816,-3.651
1788359846,866926911,7.086,robot_2,-3.626,3.158
1788359847,86161667,7.306,robot_0,-2.136,3.703
1788359847,86197480,7.306,robot_1,3.816,-3.650
1788359847,86212004,7.306,robot_2,-3.630,3.196
1788359847,286538589,7.506,robot_0,-2.080,3.709
1788359847,286575137,7.506,robot_1,3.850,-3.622
1788359847,286589136,7.506,robot_2,-3.640,3.255
1788359847,486818798,7.706,robot_0,-2.071,3.710
1788359847,486852790,7.706,robot_1,3.885,-3.596
1788359847,486866322,7.706,robot_2,-3.651,3.314
1788359847,706241418,7.926,robot_0,-2.012,3.722
1788359847,706276659,7.926,robot_1,3.904,-3.585
1788359847,706290670,7.926,robot_2,-3.654,3.334
1788359847,906328440,8.126,robot_0,-1.954,3.736
1788359847,906363538,8.126,robot_1,3.957,-3.557
1788359847,906377019,8.126,robot_2,-3.654,3.334
1788359848,106439412,8.326,robot_0,-1.902,3.747
1788359848,106472554,8.326,robot_1,4.011,-3.531
1788359848,106485603,8.326,robot_2,-3.654,3.334
1788359848,306667236,8.526,robot_0,-1.893,3.750
1788359848,306703190,8.526,robot_1,4.065,-3.504
1788359848,306716821,8.526,robot_2,-3.654,3.334
1788359848,506810867,8.726,robot_0,-1.839,3.768
1788359848,506867093,8.726,robot_1,4.117,-3.478
1788359848,506891554,8.726,robot_2,-3.686,3.364
1788359848,726628693,8.946,robot_0,-1.777,3.790
1788359848,726661237,8.946,robot_1,4.126,-3.473
1788359848,726673944,8.946,robot_2,-3.720,3.392
1788359848,928003153,9.148,robot_0,-1.720,3.810
1788359848,928039283,9.148,robot_1,4.126,-3.473
1788359848,928053348,9.148,robot_2,-3.738,3.403
1788359849,146959479,9.367,robot_0,-1.658,3.832
1788359849,147018636,9.367,robot_1,4.126,-3.474
1788359849,147045268,9.367,robot_2,-3.795,3.436
1788359849,366336565,9.586,robot_0,-1.596,3.854
1788359849,366369706,9.586,robot_1,4.126,-3.474
1788359849,366383750,9.586,robot_2,-3.853,3.468
1788359849,567059976,9.787,robot_0,-1.539,3.874
1788359849,567094108,9.787,robot_1,4.126,-3.474
1788359849,567106937,9.787,robot_2,-3.905,3.497
1788359849,786880660,10.006,robot_0,-1.477,3.896
1788359849,786914027,10.006,robot_1,4.127,-3.474
1788359849,786926963,10.006,robot_2,-3.963,3.530
1788359850,6351742,10.226,robot_0,-1.415,3.918
1788359850,6382897,10.226,robot_1,4.127,-3.474
