stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788359841,784653374,robot_0,28,-3.000,3.000,-2.500,3.500
1788359841,784666579,robot_0,29,-3.000,4.000,-2.500,4.500
1788359841,784685708,robot_1,80,3.000,-5.000,3.500,-4.500
1788359841,784693395,robot_1,81,3.000,-4.000,3.500,-3.500
1788359841,784701729,robot_1,90,4.000,-5.000,4.500,-4.500
1788359841,784708210,robot_1,91,4.000,-4.000,4.500,-3.500
1788359841,784723330,robot_2,7,-5.000,2.000,-4.500,2.500
1788359841,784730377,robot_2,8,-5.000,3.000,-4.500,3.500
1788359841,784737243,robot_2,17,-4.000,2.000,-3.500,2.500
1788359841,784743804,robot_2,18,-4.000,3.000,-3.500,3.500
1788359845,606847394,robot_0,38,-2.000,3.000,-1.500,3.500
1788359846,866903757,robot_0,39,-2.000,4.000,-1.500,4.500
1788359850,207003520,robot_0,48,-1.000,3.000,-0.500,3.500
1788359850,427335225,robot_0,49,-1.000,4.000,-0.500,4.500
1788359856,786332076,robot_1,71,2.000,-4.000,2.500,-3.500
1788359859,506761531,robot_2,16,-4.000,1.000,-3.500,1.500
1788359863,727338564,robot_2,15,-4.000,0.000,-3.500,0.500
1788359863,947227937,robot_1,70,2.000,-5.000,2.500,-4.500
1788359865,627673474,robot_2,25,-3.000,0.000,-2.500,0.500
1788359867,726898779,robot_2,14,-4.000,-1.000,-3.500,-0.500
1788359868,147167429,robot_2,24,-3.000,-1.000,-2.500,-0.500
1788359871,547159954,robot_2,13,-4.000,-2.000,-3.500,-1.500
1788359871,547177419,robot_2,23,-3.000,-2.000,-2.500,-1.500
1788359881,426383977,robot_2,26,-3.000,1.000,-2.500,1.500
1788359882,486235822,robot_1,82,3.000,-3.000,3.500,-2.500
1788359882,486245363,robot_1,92,4.000,-3.000,4.500,-2.500
1788359885,227437238,robot_2,36,-2.000,1.000,-1.500,1.500
1788359886,86755564,robot_2,27,-3.000,2.000,-2.500,2.500
1788359886,506708678,robot_2,37,-2.000,2.000,-1.500,2.500
1788359893,527134386,robot_2,35,-2.000,0.000,-1.500,0.500
1788359898,407066064,robot_2,45,-1.000,0.000,-0.500,0.500
1788359898,626938016,robot_2,34,-2.000,-1.000,-1.500,-0.500
1788359899,266599558,robot_2,44,-1.000,-1.000,-0.500,-0.500
1788359903,726358916,robot_2,54,0.000,-1.000,0.500,-0.500
1788359904,987357403,robot_2,43,-1.000,-2.000,-0.500,-1.500
1788359904,987375854,robot_2,53,0.000,-2.000,0.500,-1.500
1788359908,606844889,robot_2,63,1.000,-2.000,1.500,-1.500
1788359910,966465720,robot_2,62,1.000,-3.000,1.500,-2.500
1788359911,166902131,robot_2,52,0.000,-3.000,0.500,-2.500
1788359913,686900454,robot_2,72,2.000,-3.000,2.500,-2.500
1788359913,686917096,robot_2,73,2.000,-2.000,2.500,-1.500
1788359920,886529501,robot_1,61,1.000,-4.000,1.500,-3.500
1788359925,266332426,robot_1,51,0.000,-4.000,0.500,-3.500
1788359929,486884978,robot_1,42,-1.000,-3.000,-0.500,-2.500
1788359929,906953362,robot_1,41,-1.000,-4.000,-0.500,-3.500
1788359933,926582018,robot_1,32,-2.000,-3.000,-1.500,-2.500
1788359934,786472556,robot_1,33,-2.000,-2.000,-1.500,-1.500
1788359938,326261147,robot_1,22,-3.000,-3.000,-2.500,-2.500
1788359951,227211858,robot_1,12,-4.000,-3.000,-3.500,-2.500
1788359951,227229149,robot_1,21,-3.000,-4.000,-2.500,-3.500
1788359951,886829404,robot_1,11,-4.000,-4.000,-3.500,-3.500
1788359957,146592779,robot_1,2,-5.000,-3.000,-4.500,-2.500
1788359957,786271226,robot_1,3,-5.000,-2.000,-4.500,-1.500
1788359982,366792983,robot_1,1,-5.000,-4.000,-4.500,-3.500
1788359982,586223526,robot_0,46,-1.000,1.000,-0.500,1.500
1788359988,26386339,robot_0,55,0.000,0.000,0.500,0.500
1788359993,746226174,robot_0,64,1.000,-1.000,1.500,-0.500
1788360022,447368353,robot_1,10,-4.000,-5.000,-3.500,-4.500
1788360022,447389404,robot_1,20,-3.000,-5.000,-2.500,-4.500
1788360039,686336503,robot_0,40,-1.000,-5.000,-0.500,-4.500
1788360040,106738625,robot_0,50,0.000,-5.000,0.500,-4.500
1788360052,766344390,robot_0,31,-2.000,-4.000,-1.500,-3.500
1788360093,667070864,robot_0,60,1.000,-5.000,1.500,-4.500
1788360124,547471665,robot_1,47,-1.000,2.000,-0.500,2.500
1788360131,766364328,robot_1,56,0.000,1.000,0.500,1.500
1788360138,506771225,robot_1,65,1.000,0.000,1.500,0.500
1788360154,586443564,robot_1,74,2.000,-1.000,2.500,-0.500
1788360154,586454159,robot_1,75,2.000,0.000,2.500,0.500
1788360160,708988335,robot_1,84,3.000,-1.000,3.500,-0.500
1788360161,767017029,robot_1,83,3.000,-2.000,3.500,-1.500
