task,prompt,prompt_text,generation,seed,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,1,1001,S_20260830_150648,False,299.886,98.0,4,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260830_150648.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150648/robots_3/run_20260901_003115
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,1,1002,S_20260830_150648,False,299.83,100.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260830_150648.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150648/robots_3/run_20260901_003623
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,1,1003,S_20260830_150648,False,299.919,100.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260830_150648.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150648/robots_3/run_20260901_004131
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,1,1004,S_20260830_150648,False,299.788,98.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260830_150648.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150648/robots_3/run_20260901_004639
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,1,1005,S_20260830_150648,False,299.826,96.0,2,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260830_150648.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150648/robots_3/run_20260901_005147
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,2,1001,S_20260830_150706,False,299.816,100.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260830_150706.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150706/robots_3/run_20260901_005655
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,2,1002,S_20260830_150706,False,299.798,98.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260830_150706.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150706/robots_3/run_20260901_010203
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,2,1003,S_20260830_150706,False,299.853,100.0,2,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260830_150706.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150706/robots_3/run_20260901_010710
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,2,1004,S_20260830_150706,False,299.843,100.0,3,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260830_150706.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150706/robots_3/run_20260901_011218
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,2,1005,S_20260830_150706,False,299.828,99.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260830_150706.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150706/robots_3/run_20260901_011726
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,3,1001,S_20260830_150716,False,299.838,100.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260830_150716.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150716/robots_3/run_20260901_012234
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,3,1002,S_20260830_150716,False,299.794,100.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260830_150716.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150716/robots_3/run_20260901_012742
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,3,1003,S_20260830_150716,False,299.83,99.0,4,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260830_150716.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150716/robots_3/run_20260901_013250
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,3,1004,S_20260830_150716,False,299.78,98.0,2,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260830_150716.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150716/robots_3/run_20260901_013758
exploration,1,Explore the environment continuously to maximize area coverage while avoiding obstacles.,3,1005,S_20260830_150716,False,299.83,100.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260830_150716.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150716/robots_3/run_20260901_014306
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",1,1001,S_20260830_150728,False,299.892,98.0,3,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260830_150728.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150728/robots_3/run_20260901_014813
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",1,1002,S_20260830_150728,False,299.898,96.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260830_150728.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150728/robots_3/run_20260901_015321
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",1,1003,S_20260830_150728,False,299.824,100.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260830_150728.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150728/robots_3/run_20260901_015829
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",1,1004,S_20260830_150728,False,299.812,98.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260830_150728.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150728/robots_3/run_20260901_020337
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",1,1005,S_20260830_150728,False,299.846,92.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260830_150728.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150728/robots_3/run_20260901_020845
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",2,1001,S_20260830_150744,False,299.817,100.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260830_150744.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150744/robots_3/run_20260901_021353
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",2,1002,S_20260830_150744,False,299.822,98.0,5,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260830_150744.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150744/robots_3/run_20260901_021901
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",2,1003,S_20260830_150744,False,299.817,97.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260830_150744.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150744/robots_3/run_20260901_022409
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",2,1004,S_20260830_150744,False,299.897,99.0,3,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260830_150744.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150744/robots_3/run_20260901_022916
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",2,1005,S_20260830_150744,False,299.847,100.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260830_150744.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150744/robots_3/run_20260901_023424
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",3,1001,S_20260830_150756,False,299.768,99.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260830_150756.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150756/robots_3/run_20260901_023932
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",3,1002,S_20260830_150756,False,299.83,98.0,2,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260830_150756.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150756/robots_3/run_20260901_024440
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",3,1003,S_20260830_150756,False,299.895,99.0,3,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260830_150756.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150756/robots_3/run_20260901_024948
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",3,1004,S_20260830_150756,False,299.804,100.0,3,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260830_150756.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150756/robots_3/run_20260901_025456
exploration,2,"As a member of a team of three robots, explore the environment and avoid obstacles.",3,1005,S_20260830_150756,False,299.737,99.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260830_150756.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150756/robots_3/run_20260901_030004
exploration,3,Explore the area while maximizing the coverage.,1,1001,S_20260830_150814,False,299.865,100.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_1/S_20260830_150814.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260830_150814/robots_3/run_20260901_030512
