stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1786014884,715744189,2.108,robot_1,-3.779,-0.888
1786014884,715797257,2.108,robot_2,0.973,1.382
1786014884,715824359,2.108,robot_0,-0.109,-0.793
1786014886,364109061,3.757,robot_1,-3.779,-0.888
1786014886,364130985,3.757,robot_2,0.973,1.382
1786014886,364138417,3.757,robot_0,-0.109,-0.793
1786014886,564155253,3.957,robot_1,-3.779,-0.888
1786014886,564217111,3.957,robot_2,0.999,1.368
1786014886,564244010,3.957,robot_0,-0.111,-0.793
1786014886,783599047,4.176,robot_1,-3.755,-0.885
1786014886,783635985,4.176,robot_2,1.057,1.336
1786014886,783657037,4.176,robot_0,-0.167,-0.790
1786014886,984498889,4.377,robot_1,-3.698,-0.881
1786014886,984521704,4.377,robot_2,1.108,1.308
1786014886,984529825,4.377,robot_0,-0.227,-0.786
1786014887,202968845,4.595,robot_1,-3.691,-0.881
1786014887,202990828,4.595,robot_2,1.116,1.304
1786014887,202999280,4.595,robot_0,-0.287,-0.783
1786014887,403851199,4.796,robot_1,-3.691,-0.881
1786014887,403871445,4.796,robot_2,1.142,1.293
1786014887,403879546,4.796,robot_0,-0.347,-0.780
1786014887,624416881,5.017,robot_1,-3.691,-0.881
1786014887,624449177,5.017,robot_2,1.196,1.271
1786014887,624464019,5.017,robot_0,-0.412,-0.777
1786014887,824597880,5.217,robot_1,-3.690,-0.882
1786014887,824620951,5.217,robot_2,1.205,1.267
1786014887,824630146,5.217,robot_0,-0.432,-0.776
1786014888,44172379,5.437,robot_1,-3.690,-0.882
1786014888,44215959,5.437,robot_2,1.265,1.250
1786014888,44240151,5.437,robot_0,-0.478,-0.778
1786014888,264236713,5.657,robot_1,-3.690,-0.882
1786014888,264257448,5.657,robot_2,1.329,1.232
1786014888,264265175,5.657,robot_0,-0.522,-0.780
1786014888,482996507,5.875,robot_1,-3.689,-0.883
1786014888,483017785,5.875,robot_2,1.371,1.221
1786014888,483025435,5.875,robot_0,-0.549,-0.784
1786014888,684050740,6.076,robot_1,-3.689,-0.883
1786014888,684088440,6.077,robot_2,1.371,1.221
1786014888,684106630,6.077,robot_0,-0.608,-0.795
1786014888,903239941,6.296,robot_1,-3.689,-0.883
1786014888,903262452,6.296,robot_2,1.371,1.222
1786014888,903273515,6.296,robot_0,-0.673,-0.807
1786014889,124171073,6.517,robot_1,-3.688,-0.883
1786014889,124207546,6.517,robot_2,1.401,1.229
1786014889,124224800,6.517,robot_0,-0.699,-0.811
1786014889,324437061,6.717,robot_1,-3.688,-0.883
1786014889,324471937,6.717,robot_2,1.452,1.242
1786014889,324487632,6.717,robot_0,-0.737,-0.822
1786014889,544343030,6.937,robot_1,-3.687,-0.883
1786014889,544378081,6.937,robot_2,1.465,1.247
1786014889,544394429,6.937,robot_0,-0.800,-0.841
1786014889,763574482,7.156,robot_1,-3.687,-0.883
1786014889,763601642,7.156,robot_2,1.524,1.273
1786014889,763612323,7.156,robot_0,-0.862,-0.860
