stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788187818,319929466,robot_0,16,-4.000,1.000,-3.500,1.500
1788187818,319974700,robot_0,17,-4.000,2.000,-3.500,2.500
1788187818,320031088,robot_0,26,-3.000,1.000,-2.500,1.500
1788187818,320064649,robot_0,27,-3.000,2.000,-2.500,2.500
1788187818,320140965,robot_2,37,-2.000,2.000,-1.500,2.500
1788187818,320207589,robot_1,47,-1.000,2.000,-0.500,2.500
1788187818,320237127,robot_1,48,-1.000,3.000,-0.500,3.500
1788187818,320267107,robot_1,57,0.000,2.000,0.500,2.500
1788187818,320295726,robot_1,58,0.000,3.000,0.500,3.500
1788187830,416739588,robot_0,6,-5.000,1.000,-4.500,1.500
1788187830,416762893,robot_0,7,-5.000,2.000,-4.500,2.500
1788187830,416832442,robot_1,59,0.000,4.000,0.500,4.500
1788187831,900237800,robot_2,28,-3.000,3.000,-2.500,3.500
1788187832,119228421,robot_2,18,-4.000,3.000,-3.500,3.500
1788187833,383234503,robot_1,68,1.000,3.000,1.500,3.500
1788187833,383265076,robot_1,69,1.000,4.000,1.500,4.500
1788187834,925080083,robot_0,15,-4.000,0.000,-3.500,0.500
1788187837,906917814,robot_1,78,2.000,3.000,2.500,3.500
1788187838,126825347,robot_1,79,2.000,4.000,2.500,4.500
1788187838,364349312,robot_0,25,-3.000,0.000,-2.500,0.500
1788187840,45211288,robot_0,14,-4.000,-1.000,-3.500,-0.500
1788187840,245256629,robot_0,24,-3.000,-1.000,-2.500,-0.500
1788187842,984142534,robot_1,88,3.000,3.000,3.500,3.500
1788187845,268063409,robot_0,23,-3.000,-2.000,-2.500,-1.500
1788187845,470424540,robot_0,34,-2.000,-1.000,-1.500,-0.500
1788187846,166286899,robot_0,33,-2.000,-2.000,-1.500,-1.500
1788187847,210358261,robot_1,77,2.000,2.000,2.500,2.500
1788187847,210377811,robot_1,87,3.000,2.000,3.500,2.500
1788187851,4942471,robot_0,32,-2.000,-3.000,-1.500,-2.500
1788187851,4988479,robot_2,67,1.000,2.000,1.500,2.500
1788187851,213697219,robot_1,86,3.000,1.000,3.500,1.500
1788187851,434700855,robot_1,76,2.000,1.000,2.500,1.500
1788187852,489878596,robot_0,42,-1.000,-3.000,-0.500,-2.500
1788187852,489906079,robot_0,43,-1.000,-2.000,-0.500,-1.500
1788187855,461218715,robot_1,75,2.000,0.000,2.500,0.500
1788187855,461251837,robot_1,85,3.000,0.000,3.500,0.500
1788187856,300511745,robot_0,41,-1.000,-4.000,-0.500,-3.500
1788187859,479542589,robot_1,74,2.000,-1.000,2.500,-0.500
1788187859,699170235,robot_1,84,3.000,-1.000,3.500,-0.500
1788187861,585806854,robot_0,51,0.000,-4.000,0.500,-3.500
1788187861,786526280,robot_0,52,0.000,-3.000,0.500,-2.500
1788187863,675429725,robot_1,73,2.000,-2.000,2.500,-1.500
1788187864,526650817,robot_1,83,3.000,-2.000,3.500,-1.500
1788187867,507395313,robot_0,53,0.000,-2.000,0.500,-1.500
1788187868,338269882,robot_1,72,2.000,-3.000,2.500,-2.500
1788187868,539691279,robot_1,3,-5.000,-2.000,-4.500,-1.500
1788187868,539716033,robot_1,4,-5.000,-1.000,-4.500,-0.500
1788187871,859109287,robot_0,44,-1.000,-1.000,-0.500,-0.500
1788187876,314171641,robot_0,45,-1.000,0.000,-0.500,0.500
1788187876,744221168,robot_0,35,-2.000,0.000,-1.500,0.500
1788187880,503331494,robot_0,36,-2.000,1.000,-1.500,1.500
1788187880,503359409,robot_0,46,-1.000,1.000,-0.500,1.500
