stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788189113,99806108,2.085,robot_2,-3.777,2.765
1788189113,99877460,2.085,robot_0,-2.552,3.898
1788189113,99901025,2.085,robot_1,3.702,-4.145
1788189113,329293034,2.314,robot_2,-3.777,2.765
1788189113,329341247,2.315,robot_0,-2.552,3.898
1788189113,329359183,2.315,robot_1,3.702,-4.145
1788189115,936787183,4.922,robot_2,-3.777,2.765
1788189115,936861886,4.922,robot_0,-2.552,3.898
1788189115,936893861,4.922,robot_1,3.702,-4.145
1788189116,157768020,5.143,robot_2,-3.777,2.765
1788189116,157844761,5.143,robot_0,-2.552,3.899
1788189116,157879216,5.143,robot_1,3.702,-4.145
1788189116,376862218,5.362,robot_2,-3.777,2.765
1788189116,376935403,5.362,robot_0,-2.552,3.899
1788189116,376968813,5.362,robot_1,3.702,-4.145
1788189116,590870657,5.576,robot_2,-3.777,2.765
1788189116,590928455,5.576,robot_0,-2.552,3.899
1788189116,590951189,5.576,robot_1,3.702,-4.145
1788189116,791794999,5.777,robot_2,-3.777,2.765
1788189116,791855487,5.777,robot_0,-2.552,3.899
1788189116,791879023,5.777,robot_1,3.702,-4.145
1788189117,1941135,5.987,robot_2,-3.777,2.765
1788189117,2028686,5.987,robot_0,-2.552,3.899
1788189117,2066513,5.987,robot_1,3.702,-4.145
1788189117,202311380,6.187,robot_2,-3.776,2.765
1788189117,202392695,6.188,robot_0,-2.552,3.899
1788189117,202426567,6.188,robot_1,3.701,-4.139
1788189117,420403824,6.406,robot_2,-3.776,2.765
1788189117,420447382,6.406,robot_0,-2.540,3.870
1788189117,420464060,6.406,robot_1,3.701,-4.139
1788189117,632615163,6.618,robot_2,-3.776,2.764
1788189117,632657787,6.618,robot_0,-2.526,3.835
1788189117,632674252,6.618,robot_1,3.697,-4.104
1788189117,833052119,6.818,robot_2,-3.775,2.764
1788189117,833103873,6.818,robot_0,-2.511,3.798
1788189117,833132323,6.818,robot_1,3.690,-4.052
1788189118,35755106,7.021,robot_2,-3.775,2.764
1788189118,35822485,7.021,robot_0,-2.499,3.764
1788189118,35851243,7.021,robot_1,3.686,-4.016
1788189118,254899095,7.240,robot_2,-3.774,2.764
1788189118,254946960,7.240,robot_0,-2.484,3.722
1788189118,254965021,7.240,robot_1,3.680,-3.953
1788189118,474832919,7.460,robot_2,-3.774,2.764
1788189118,474894301,7.460,robot_0,-2.469,3.678
1788189118,474919344,7.460,robot_1,3.674,-3.887
1788189118,680029235,7.665,robot_2,-3.773,2.764
1788189118,680088496,7.665,robot_0,-2.451,3.624
1788189118,680111481,7.665,robot_1,3.669,-3.833
1788189118,899362211,7.885,robot_2,-3.773,2.765
1788189118,899404671,7.885,robot_0,-2.435,3.576
1788189118,899418947,7.885,robot_1,3.666,-3.789
