stamp_sec,stamp_nsec,robot,x,y
1784123477,253819055,robot_5,1.250,-3.250
1784123477,253850733,robot_8,1.250,-0.250
1784123477,253862747,robot_1,3.500,-1.750
1784123477,253873312,robot_6,-3.250,1.250
1784123477,253884424,robot_4,-0.250,1.250
1784123477,253895375,robot_9,-1.750,2.750
1784123477,253905298,robot_0,-3.250,3.500
1784123477,253915608,robot_3,2.750,3.500
1784123477,253926092,robot_2,-1.750,-3.250
1784123477,253936053,robot_7,-3.250,-1.750
1784123478,660868983,robot_5,1.250,-3.250
1784123478,660888981,robot_8,1.250,-0.250
1784123478,660895568,robot_1,3.500,-1.750
1784123478,660901563,robot_6,-3.250,1.250
1784123478,660906828,robot_4,-0.250,1.250
1784123478,660912359,robot_9,-1.750,2.750
1784123478,660917495,robot_0,-3.250,3.500
1784123478,660922684,robot_3,2.750,3.500
1784123478,660928274,robot_2,-1.750,-3.250
1784123478,660933516,robot_7,-3.250,-1.750
1784123478,861927462,robot_5,1.263,-3.250
1784123478,861948770,robot_8,1.263,-0.250
1784123478,861955805,robot_1,3.513,-1.750
1784123478,861961339,robot_6,-3.250,1.250
1784123478,861966541,robot_4,-0.237,1.250
1784123478,861971902,robot_9,-1.737,2.750
1784123478,861977058,robot_0,-3.237,3.500
1784123478,861982467,robot_3,2.763,3.500
1784123478,861987460,robot_2,-1.737,-3.250
1784123478,861992285,robot_7,-3.237,-1.750
1784123479,81600239,robot_5,1.289,-3.250
1784123479,81619047,robot_8,1.289,-0.250
1784123479,81625841,robot_1,3.539,-1.750
1784123479,81631579,robot_6,-3.250,1.250
1784123479,81636757,robot_4,-0.211,1.250
1784123479,81642529,robot_9,-1.711,2.750
1784123479,81647515,robot_0,-3.211,3.500
1784123479,81652663,robot_3,2.789,3.500
1784123479,81657716,robot_2,-1.711,-3.250
1784123479,81663214,robot_7,-3.211,-1.750
1784123479,301813064,robot_5,1.316,-3.250
1784123479,301834011,robot_8,1.316,-0.250
1784123479,301841166,robot_1,3.566,-1.750
1784123479,301847934,robot_6,-3.250,1.249
1784123479,301853229,robot_4,-0.184,1.250
1784123479,301858898,robot_9,-1.684,2.750
1784123479,301864634,robot_0,-3.184,3.500
1784123479,301870499,robot_3,2.816,3.500
1784123479,301876072,robot_2,-1.684,-3.250
1784123479,301881262,robot_7,-3.184,-1.750
1784123479,520517879,robot_5,1.342,-3.250
1784123479,520536249,robot_8,1.342,-0.250
1784123479,520542892,robot_1,3.592,-1.750
1784123479,520548290,robot_6,-3.249,1.249
1784123479,520553408,robot_4,-0.158,1.250
1784123479,520558947,robot_9,-1.658,2.750
1784123479,520563957,robot_0,-3.158,3.500
1784123479,520569343,robot_3,2.842,3.500
1784123479,520574417,robot_2,-1.658,-3.250
1784123479,520579529,robot_7,-3.158,-1.750
1784123479,722576820,robot_5,1.366,-3.250
1784123479,722599463,robot_8,1.366,-0.250
1784123479,722608863,robot_1,3.616,-1.750
1784123479,722616923,robot_6,-3.249,1.249
1784123479,722624320,robot_4,-0.134,1.250
1784123479,722631516,robot_9,-1.634,2.750
1784123479,722638537,robot_0,-3.134,3.500
1784123479,722645318,robot_3,2.857,3.500
1784123479,722652633,robot_2,-1.634,-3.250
1784123479,722660266,robot_7,-3.134,-1.750
1784123479,940416892,robot_5,1.393,-3.250
1784123479,940435697,robot_8,1.369,-0.250
1784123479,940442196,robot_1,3.643,-1.750
1784123479,940447702,robot_6,-3.249,1.248
1784123479,940452909,robot_4,-0.107,1.250
1784123479,940458473,robot_9,-1.607,2.750
1784123479,940463887,robot_0,-3.107,3.500
1784123479,940469184,robot_3,2.857,3.500
1784123479,940474186,robot_2,-1.631,-3.250
1784123479,940479242,robot_7,-3.107,-1.750
1784123480,141367730,robot_5,1.417,-3.250
1784123480,141389223,robot_8,1.369,-0.250
1784123480,141395887,robot_1,3.667,-1.750
1784123480,141401206,robot_6,-3.249,1.248
1784123480,141406439,robot_4,-0.083,1.250
1784123480,141411722,robot_9,-1.583,2.750
1784123480,141423692,robot_0,-3.083,3.500
1784123480,141429586,robot_3,2.857,3.500
1784123480,141434778,robot_2,-1.631,-3.250
1784123480,141442276,robot_7,-3.083,-1.750
1784123480,360873213,robot_5,1.443,-3.250
1784123480,360892475,robot_8,1.369,-0.250
1784123480,360899822,robot_1,3.693,-1.750
1784123480,360904767,robot_6,-3.249,1.248
1784123480,360910100,robot_4,-0.057,1.250
1784123480,360915809,robot_9,-1.557,2.750
1784123480,360921199,robot_0,-3.057,3.500
1784123480,360926558,robot_3,2.857,3.501
1784123480,360931487,robot_2,-1.631,-3.250
1784123480,360936703,robot_7,-3.057,-1.750
1784123480,581447264,robot_5,1.469,-3.250
1784123480,581466525,robot_8,1.369,-0.250
1784123480,581473105,robot_1,3.719,-1.750
1784123480,581478894,robot_6,-3.249,1.248
1784123480,581484008,robot_4,-0.031,1.250
1784123480,581489520,robot_9,-1.531,2.750
1784123480,581495087,robot_0,-3.031,3.500
1784123480,581500138,robot_3,2.857,3.501
1784123480,581505267,robot_2,-1.631,-3.249
1784123480,581510288,robot_7,-3.031,-1.750
1784123480,782327686,robot_5,1.493,-3.250
1784123480,782346693,robot_8,1.369,-0.250
1784123480,782353426,robot_1,3.743,-1.750
1784123480,782359352,robot_6,-3.248,1.248
1784123480,782364769,robot_4,-0.007,1.250
1784123480,782375395,robot_9,-1.507,2.750
1784123480,782380716,robot_0,-3.007,3.500
1784123480,782385810,robot_3,2.857,3.501
1784123480,782390827,robot_2,-1.631,-3.249
1784123480,782396517,robot_7,-3.007,-1.750
1784123481,253788,robot_5,1.520,-3.250
1784123481,273460,robot_8,1.368,-0.251
1784123481,281072,robot_1,3.770,-1.750
1784123481,287286,robot_6,-3.248,1.248
