stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1785397726,810092758,robot_1,60,1.000,-5.000,1.500,-4.500
1785397726,810107924,robot_0,44,-1.000,-1.000,-0.500,-0.500
1785397726,810120168,robot_2,47,-1.000,2.000,-0.500,2.500
1785397728,453804429,robot_0,34,-2.000,-1.000,-1.500,-0.500
1785397729,473648405,robot_0,33,-2.000,-2.000,-1.500,-1.500
1785397729,473660706,robot_2,46,-1.000,1.000,-0.500,1.500
1785397729,894365098,robot_2,36,-2.000,1.000,-1.500,1.500
1785397733,273502507,robot_0,23,-3.000,-2.000,-2.500,-1.500
1785397734,935020802,robot_0,22,-3.000,-3.000,-2.500,-2.500
1785397736,13744673,robot_2,45,-1.000,0.000,-0.500,0.500
1785397738,974726333,robot_1,61,1.000,-4.000,1.500,-3.500
1785397742,954728566,robot_1,62,1.000,-3.000,1.500,-2.500
1785397743,374680382,robot_2,54,0.000,-1.000,0.500,-0.500
1785397743,814526596,robot_2,53,0.000,-2.000,0.500,-1.500
1785397746,773447975,robot_1,63,1.000,-2.000,1.500,-1.500
1785397747,413481869,robot_2,52,0.000,-3.000,0.500,-2.500
1785397755,514387689,robot_0,43,-1.000,-2.000,-0.500,-1.500
1785397757,834202520,robot_2,70,2.000,-5.000,2.500,-4.500
1785397764,613737727,robot_0,55,0.000,0.000,0.500,0.500
1785397766,294352136,robot_2,71,2.000,-4.000,2.500,-3.500
1785397769,14527588,robot_0,56,0.000,1.000,0.500,1.500
1785397769,434917153,robot_0,66,1.000,1.000,1.500,1.500
1785397773,874135029,robot_1,13,-4.000,-2.000,-3.500,-1.500
1785397773,874167986,robot_0,67,1.000,2.000,1.500,2.500
1785397775,573405878,robot_0,77,2.000,2.000,2.500,2.500
1785397777,274215638,robot_1,3,-5.000,-2.000,-4.500,-1.500
1785397778,113571757,robot_0,78,2.000,3.000,2.500,3.500
1785397782,534121050,robot_1,2,-5.000,-3.000,-4.500,-2.500
1785397783,814401370,robot_0,79,2.000,4.000,2.500,4.500
1785397785,314065909,robot_1,12,-4.000,-3.000,-3.500,-2.500
1785397786,374220675,robot_0,69,1.000,4.000,1.500,4.500
1785397788,313293251,robot_0,68,1.000,3.000,1.500,3.500
1785397790,193249390,robot_2,64,1.000,-1.000,1.500,-0.500
1785397799,674710742,robot_0,65,1.000,0.000,1.500,0.500
1785397802,854115830,robot_2,35,-2.000,0.000,-1.500,0.500
1785397806,873803097,robot_1,73,2.000,-2.000,2.500,-1.500
1785397810,273637290,robot_1,83,3.000,-2.000,3.500,-1.500
1785397814,75130211,robot_1,92,4.000,-3.000,4.500,-2.500
1785397818,333549646,robot_1,82,3.000,-3.000,3.500,-2.500
1785397833,334119069,robot_1,93,4.000,-2.000,4.500,-1.500
1785397837,534204783,robot_0,32,-2.000,-3.000,-1.500,-2.500
1785397859,14650095,robot_1,72,2.000,-3.000,2.500,-2.500
1785397892,554134997,robot_0,14,-4.000,-1.000,-3.500,-0.500
1785397894,234489239,robot_0,4,-5.000,-1.000,-4.500,-0.500
1785397895,955040960,robot_0,5,-5.000,0.000,-4.500,0.500
1785397900,833245838,robot_0,16,-4.000,1.000,-3.500,1.500
1785397904,614154047,robot_0,17,-4.000,2.000,-3.500,2.500
1785397908,453602854,robot_0,28,-3.000,3.000,-2.500,3.500
1785397912,254103780,robot_1,6,-5.000,1.000,-4.500,1.500
1785397912,673806820,robot_0,29,-3.000,4.000,-2.500,4.500
1785397915,833664459,robot_1,7,-5.000,2.000,-4.500,2.500
1785397917,514599272,robot_0,38,-2.000,3.000,-1.500,3.500
1785397919,613377670,robot_1,18,-4.000,3.000,-3.500,3.500
1785397920,853054864,robot_2,37,-2.000,2.000,-1.500,2.500
1785397924,214046706,robot_1,19,-4.000,4.000,-3.500,4.500
1785397929,894962123,robot_0,39,-2.000,4.000,-1.500,4.500
1785397934,334719779,robot_0,49,-1.000,4.000,-0.500,4.500
1785397942,573964302,robot_2,15,-4.000,0.000,-3.500,0.500
1785397995,394791488,robot_2,24,-3.000,-1.000,-2.500,-0.500
