stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1786010886,292688604,2.099,robot_2,-3.295,-0.841
1786010886,292770329,2.099,robot_1,-1.166,-1.091
1786010886,292814241,2.100,robot_0,4.339,2.664
1786010887,481535555,3.288,robot_2,-3.295,-0.841
1786010887,481565504,3.288,robot_1,-1.166,-1.091
1786010887,481578432,3.288,robot_0,4.339,2.664
1786010887,681726388,3.488,robot_2,-3.325,-0.848
1786010887,681755100,3.488,robot_1,-1.185,-1.115
1786010887,681766948,3.488,robot_0,4.321,2.640
1786010887,901814422,3.709,robot_2,-3.389,-0.862
1786010887,901845990,3.709,robot_1,-1.227,-1.166
1786010887,901863009,3.709,robot_0,4.279,2.589
1786010888,120737302,3.927,robot_2,-3.454,-0.877
1786010888,120756893,3.927,robot_1,-1.268,-1.217
1786010888,120764903,3.927,robot_0,4.238,2.537
1786010888,321828756,4.129,robot_2,-3.512,-0.890
1786010888,321863330,4.129,robot_1,-1.306,-1.264
1786010888,321875525,4.129,robot_0,4.201,2.490
1786010888,542385622,4.349,robot_2,-3.561,-0.901
1786010888,542408406,4.349,robot_1,-1.348,-1.315
1786010888,542416528,4.349,robot_0,4.160,2.439
1786010888,761854820,4.569,robot_2,-3.583,-0.902
1786010888,761884777,4.569,robot_1,-1.389,-1.366
1786010888,761899853,4.569,robot_0,4.118,2.387
1786010888,963180948,4.770,robot_2,-3.643,-0.908
1786010888,963219347,4.770,robot_1,-1.427,-1.413
1786010888,963237126,4.770,robot_0,4.081,2.340
1786010889,181495172,4.988,robot_2,-3.708,-0.915
1786010889,181519103,4.988,robot_1,-1.469,-1.464
1786010889,181528349,4.988,robot_0,4.040,2.288
1786010889,382393449,5.189,robot_2,-3.768,-0.922
1786010889,382422969,5.189,robot_1,-1.507,-1.510
1786010889,382438915,5.189,robot_0,4.002,2.242
1786010889,602473091,5.409,robot_2,-3.833,-0.929
1786010889,602529534,5.409,robot_1,-1.548,-1.562
1786010889,602553935,5.409,robot_0,3.961,2.190
1786010889,821308840,5.628,robot_2,-3.899,-0.936
1786010889,821329595,5.628,robot_1,-1.590,-1.613
1786010889,821336978,5.628,robot_0,3.920,2.138
1786010890,21614546,5.828,robot_2,-3.959,-0.942
1786010890,21647496,5.828,robot_1,-1.611,-1.640
1786010890,21662778,5.828,robot_0,3.883,2.091
1786010890,221852779,6.029,robot_2,-4.018,-0.948
1786010890,221898214,6.029,robot_1,-1.623,-1.661
1786010890,221911685,6.029,robot_0,3.845,2.045
1786010890,442010393,6.249,robot_2,-4.084,-0.955
1786010890,442033024,6.249,robot_1,-1.659,-1.716
1786010890,442040524,6.249,robot_0,3.804,1.993
1786010890,661866575,6.469,robot_2,-4.150,-0.962
1786010890,661901447,6.469,robot_1,-1.694,-1.772
1786010890,661918261,6.469,robot_0,3.763,1.941
1786010890,862900176,6.670,robot_2,-4.187,-0.966
1786010890,862941017,6.670,robot_1,-1.706,-1.791
1786010890,862960479,6.670,robot_0,3.737,1.909
1786010891,81977866,6.889,robot_2,-4.215,-0.972
1786010891,82001996,6.889,robot_1,-1.732,-1.825
1786010891,82010190,6.889,robot_0,3.737,1.909
1786010891,302092867,7.109,robot_2,-4.272,-0.984
1786010891,302125317,7.109,robot_1,-1.773,-1.877
1786010891,302136583,7.109,robot_0,3.738,1.909
1786010891,521647635,7.328,robot_2,-4.275,-0.985
1786010891,521671814,7.328,robot_1,-1.815,-1.928
1786010891,521680970,7.328,robot_0,3.738,1.909
1786010891,722261281,7.529,robot_2,-4.275,-0.985
1786010891,722290943,7.529,robot_1,-1.853,-1.975
1786010891,722301948,7.529,robot_0,3.738,1.908
1786010891,942448930,7.749,robot_2,-4.275,-0.984
1786010891,942495412,7.749,robot_1,-1.894,-2.026
1786010891,942543098,7.749,robot_0,3.738,1.908
1786010892,162197108,7.969,robot_2,-4.276,-0.984
1786010892,162220809,7.969,robot_1,-1.936,-2.077
1786010892,162228417,7.969,robot_0,3.738,1.907
1786010892,382380789,8.189,robot_2,-4.276,-0.984
1786010892,382403570,8.189,robot_1,-1.977,-2.129
