stamp_sec,stamp_nsec,robot,x,y
1784801181,355425040,robot_1,0.232,0.713
1784801181,355459055,robot_4,0.232,-0.713
1784801181,355472796,robot_0,0.750,-0.000
1784801181,355479591,robot_3,-0.607,-0.441
1784801181,355490879,robot_2,-0.607,0.441
1784801182,613404350,robot_1,0.232,0.713
1784801182,613441020,robot_4,0.232,-0.713
1784801182,613462140,robot_0,0.750,0.000
1784801182,613475550,robot_3,-0.607,-0.441
1784801182,613488511,robot_2,-0.607,0.441
1784801182,813620563,robot_1,0.241,0.742
1784801182,813646126,robot_4,0.241,-0.742
1784801182,813654384,robot_0,0.780,0.000
1784801182,813661765,robot_3,-0.631,-0.459
1784801182,813668436,robot_2,-0.631,0.458
1784801183,32341424,robot_1,0.253,0.779
1784801183,32359836,robot_4,0.253,-0.779
1784801183,32366450,robot_0,0.819,0.000
1784801183,32372608,robot_3,-0.663,-0.481
1784801183,32378060,robot_2,-0.663,0.481
1784801183,233040577,robot_1,0.272,0.836
1784801183,233074867,robot_4,0.257,-0.792
1784801183,233093271,robot_0,0.879,0.000
1784801183,233106810,robot_3,-0.711,-0.517
1784801183,233118593,robot_2,-0.711,0.517
1784801183,451943195,robot_1,0.292,0.899
1784801183,451969451,robot_4,0.278,-0.840
1784801183,451979956,robot_0,0.945,-0.000
1784801183,451989880,robot_3,-0.765,-0.555
1784801183,451995982,robot_2,-0.765,0.555
1784801183,652540257,robot_1,0.311,0.956
1784801183,652569935,robot_4,0.303,-0.894
1784801183,652582767,robot_0,1.005,-0.000
1784801183,652606649,robot_3,-0.813,-0.591
1784801183,652616256,robot_2,-0.813,0.591
1784801183,872290670,robot_1,0.331,1.019
1784801183,872338807,robot_4,0.330,-0.954
1784801183,872352014,robot_0,1.071,-0.000
1784801183,872379834,robot_3,-0.867,-0.630
1784801183,872391660,robot_2,-0.866,0.630
1784801184,72508013,robot_1,0.350,1.076
1784801184,72525915,robot_4,0.355,-1.009
1784801184,72540852,robot_0,1.131,-0.000
1784801184,72547558,robot_3,-0.915,-0.665
1784801184,72553017,robot_2,-0.915,0.665
1784801184,292799111,robot_1,0.370,1.138
1784801184,292826723,robot_4,0.383,-1.069
1784801184,292838831,robot_0,1.197,-0.000
1784801184,292849626,robot_3,-0.968,-0.704
1784801184,292858373,robot_2,-0.953,0.692
1784801184,512430240,robot_1,0.390,1.201
1784801184,512452949,robot_4,0.410,-1.129
1784801184,512460829,robot_0,1.263,-0.000
1784801184,512467374,robot_3,-1.022,-0.742
1784801184,512481677,robot_2,-0.972,0.710
1784801184,731576977,robot_1,0.411,1.264
1784801184,731598733,robot_4,0.438,-1.189
1784801184,731606226,robot_0,1.329,-0.000
1784801184,731612615,robot_3,-1.075,-0.781
1784801184,731618543,robot_2,-1.021,0.754
1784801184,951424628,robot_1,0.431,1.327
1784801184,951446612,robot_4,0.465,-1.249
1784801184,951454858,robot_0,1.395,-0.000
1784801184,951461859,robot_3,-1.129,-0.820
1784801184,951468734,robot_2,-1.070,0.798
1784801185,151702833,robot_1,0.450,1.384
1784801185,151724683,robot_4,0.490,-1.303
1784801185,151732320,robot_0,1.455,-0.000
1784801185,151739035,robot_3,-1.177,-0.855
1784801185,151745479,robot_2,-1.114,0.839
1784801185,372219049,robot_1,0.470,1.447
1784801185,372239693,robot_4,0.518,-1.363
1784801185,372246722,robot_0,1.505,0.000
1784801185,372260193,robot_3,-1.231,-0.894
1784801185,372265901,robot_2,-1.163,0.883
1784801185,591334042,robot_1,0.490,1.509
1784801185,591355187,robot_4,0.545,-1.423
1784801185,591363672,robot_0,1.501,0.003
1784801185,591369521,robot_3,-1.284,-0.933
1784801185,591375748,robot_2,-1.198,0.915
1784801185,792094277,robot_1,0.509,1.566
1784801185,792116529,robot_4,0.570,-1.478
1784801185,792124445,robot_0,1.496,0.008
1784801185,792131084,robot_3,-1.333,-0.968
1784801185,792136842,robot_2,-1.198,0.915
