stamp_sec,stamp_nsec,robot,x,y
1784888796,341773710,robot_1,-0.375,0.650
1784888796,341826231,robot_0,0.750,-0.000
1784888796,341853516,robot_2,-0.375,-0.650
1784888797,609791001,robot_1,-0.375,0.650
1784888797,609817351,robot_0,0.750,0.000
1784888797,609826816,robot_2,-0.375,-0.650
1784888798,806808008,robot_1,-0.375,0.650
1784888798,806829705,robot_0,0.750,0.000
1784888798,806838140,robot_2,-0.375,-0.650
1784888799,7272949,robot_1,-0.390,0.676
1784888799,7312466,robot_0,0.780,0.000
1784888799,7327888,robot_2,-0.377,-0.653
1784888799,226223490,robot_1,-0.423,0.733
1784888799,226245397,robot_0,0.846,0.000
1784888799,226254023,robot_2,-0.409,-0.703
1784888799,427512087,robot_1,-0.453,0.785
1784888799,427551783,robot_0,0.906,0.000
1784888799,427570031,robot_2,-0.442,-0.754
1784888799,646499146,robot_1,-0.476,0.825
1784888799,646519665,robot_0,0.944,-0.000
1784888799,646537383,robot_2,-0.478,-0.809
1784888799,847518753,robot_1,-0.476,0.826
1784888799,847561215,robot_0,0.944,-0.001
1784888799,847579153,robot_2,-0.511,-0.859
1784888800,67083197,robot_1,-0.473,0.826
1784888800,67123575,robot_0,0.943,-0.004
1784888800,67141043,robot_2,-0.547,-0.915
1784888800,287567669,robot_1,-0.468,0.827
1784888800,287621907,robot_0,0.977,-0.025
1784888800,287640263,robot_2,-0.583,-0.970
1784888800,506299410,robot_1,-0.463,0.826
1784888800,506321283,robot_0,1.034,-0.059
1784888800,506338110,robot_2,-0.619,-1.025
1784888800,706857121,robot_1,-0.459,0.826
1784888800,706880912,robot_0,1.086,-0.090
1784888800,706889470,robot_2,-0.652,-1.076
1784888800,927219862,robot_1,-0.456,0.826
1784888800,927259066,robot_0,1.142,-0.124
1784888800,927276060,robot_2,-0.688,-1.131
1784888801,127242709,robot_1,-0.451,0.827
1784888801,127264734,robot_0,1.194,-0.155
1784888801,127272788,robot_2,-0.720,-1.181
1784888801,327286139,robot_1,-0.418,0.855
1784888801,327315879,robot_0,1.245,-0.186
1784888801,327328430,robot_2,-0.753,-1.231
1784888801,547396145,robot_1,-0.364,0.894
1784888801,547435387,robot_0,1.301,-0.220
1784888801,547453290,robot_2,-0.789,-1.287
