stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1785402261,203486869,2.131,robot_2,-0.592,2.195
1785402261,203550141,2.131,robot_1,1.711,-4.277
1785402261,203581668,2.131,robot_0,-0.941,-0.763
1785402261,446686437,2.375,robot_2,-0.592,2.195
1785402261,446722847,2.375,robot_1,1.711,-4.277
1785402261,446740284,2.375,robot_0,-0.941,-0.763
1785402263,807572192,4.735,robot_2,-0.592,2.195
1785402263,807606650,4.735,robot_1,1.711,-4.277
1785402263,807621239,4.735,robot_0,-0.941,-0.763
1785402264,26518914,4.954,robot_2,-0.623,2.177
1785402264,26546315,4.954,robot_1,1.687,-4.300
1785402264,26558824,4.954,robot_0,-0.967,-0.787
1785402264,226996760,5.155,robot_2,-0.675,2.146
1785402264,227027124,5.155,robot_1,1.682,-4.305
1785402264,227041072,5.155,robot_0,-1.011,-0.828
1785402264,427006107,5.355,robot_2,-0.727,2.116
1785402264,427036935,5.355,robot_1,1.681,-4.305
1785402264,427051192,5.355,robot_0,-1.055,-0.869
1785402264,646665803,5.574,robot_2,-0.784,2.083
1785402264,646704466,5.575,robot_1,1.681,-4.305
1785402264,646717205,5.575,robot_0,-1.103,-0.914
1785402264,846705424,5.775,robot_2,-0.836,2.053
1785402264,846747138,5.775,robot_1,1.682,-4.305
1785402264,846769774,5.775,robot_0,-1.147,-0.955
1785402265,47040933,5.975,robot_2,-0.888,2.023
1785402265,47081887,5.975,robot_1,1.686,-4.306
1785402265,47102650,5.975,robot_0,-1.191,-0.995
1785402265,267044805,6.195,robot_2,-0.945,1.990
1785402265,267104387,6.195,robot_1,1.692,-4.305
1785402265,267120543,6.195,robot_0,-1.226,-1.025
1785402265,467505716,6.395,robot_2,-0.997,1.960
1785402265,467537171,6.395,robot_1,1.698,-4.303
1785402265,467552362,6.395,robot_0,-1.268,-1.054
1785402265,686805088,6.615,robot_2,-1.054,1.927
1785402265,686858919,6.615,robot_1,1.704,-4.299
1785402265,686872467,6.615,robot_0,-1.323,-1.090
1785402265,887459856,6.815,robot_2,-1.106,1.897
1785402265,887510804,6.815,robot_1,1.708,-4.291
1785402265,887533742,6.815,robot_0,-1.374,-1.123
1785402266,106827059,7.035,robot_2,-1.163,1.864
1785402266,106862271,7.035,robot_1,1.711,-4.280
1785402266,106879967,7.035,robot_0,-1.429,-1.159
1785402266,326686333,7.254,robot_2,-1.220,1.830
1785402266,326712809,7.255,robot_1,1.712,-4.269
1785402266,326724833,7.255,robot_0,-1.485,-1.194
1785402266,527183021,7.455,robot_2,-1.272,1.800
1785402266,527215656,7.455,robot_1,1.710,-4.258
1785402266,527232122,7.455,robot_0,-1.535,-1.227
1785402266,747054993,7.675,robot_2,-1.329,1.767
1785402266,747090905,7.675,robot_1,1.706,-4.247
1785402266,747108708,7.675,robot_0,-1.591,-1.262
1785402266,947078035,7.875,robot_2,-1.376,1.740
1785402266,947122502,7.875,robot_1,1.702,-4.239
1785402266,947138610,7.875,robot_0,-1.641,-1.295
1785402267,167966124,8.096,robot_2,-1.413,1.717
1785402267,167999762,8.096,robot_1,1.702,-4.239
1785402267,168017048,8.096,robot_0,-1.697,-1.331
1785402267,386379707,8.314,robot_2,-1.461,1.678
1785402267,386405182,8.314,robot_1,1.702,-4.239
1785402267,386415816,8.314,robot_0,-1.752,-1.366
1785402267,606701205,8.535,robot_2,-1.510,1.634
1785402267,606733238,8.535,robot_1,1.702,-4.240
1785402267,606750296,8.535,robot_0,-1.796,-1.394
1785402267,827027535,8.755,robot_2,-1.559,1.589
1785402267,827062104,8.755,robot_1,1.704,-4.238
1785402267,827092964,8.755,robot_0,-1.839,-1.418
1785402268,46673697,8.974,robot_2,-1.607,1.544
1785402268,46703583,8.975,robot_1,1.744,-4.195
1785402268,46721657,8.975,robot_0,-1.900,-1.444
1785402268,266388340,9.194,robot_2,-1.656,1.500
1785402268,266412673,9.194,robot_1,1.789,-4.146
1785402268,266422728,9.194,robot_0,-1.961,-1.469
1785402268,467144101,9.395,robot_2,-1.700,1.459
1785402268,467178467,9.395,robot_1,1.830,-4.103
1785402268,467195033,9.395,robot_0,-1.999,-1.485
1785402268,668106817,9.596,robot_2,-1.744,1.418
1785402268,668134923,9.596,robot_1,1.871,-4.059
1785402268,668150505,9.596,robot_0,-2.015,-1.493
1785402268,886538322,9.814,robot_2,-1.792,1.373
1785402268,886572490,9.814,robot_1,1.916,-4.010
