stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1786007106,517218023,robot_2,14,-4.000,-1.000,-3.500,-0.500
1786007106,517232408,robot_1,33,-2.000,-2.000,-1.500,-1.500
1786007106,517243810,robot_0,97,4.000,2.000,4.500,2.500
1786007110,336461274,robot_2,13,-4.000,-2.000,-3.500,-1.500
1786007110,336508559,robot_0,87,3.000,2.000,3.500,2.500
1786007112,15929718,robot_1,23,-3.000,-2.000,-2.500,-1.500
1786007118,776455577,robot_2,3,-5.000,-2.000,-4.500,-1.500
1786007120,695808779,robot_2,4,-5.000,-1.000,-4.500,-0.500
1786007121,315499722,robot_1,22,-3.000,-3.000,-2.500,-2.500
1786007125,395856304,robot_2,15,-4.000,0.000,-3.500,0.500
1786007129,215967604,robot_2,25,-3.000,0.000,-2.500,0.500
1786007130,257098525,robot_2,26,-3.000,1.000,-2.500,1.500
1786007132,376144904,robot_1,21,-3.000,-4.000,-2.500,-3.500
1786007138,496679439,robot_0,77,2.000,2.000,2.500,2.500
1786007142,736438929,robot_0,76,2.000,1.000,2.500,1.500
1786007143,375777588,robot_0,66,1.000,1.000,1.500,1.500
1786007148,216045348,robot_0,56,0.000,1.000,0.500,1.500
1786007148,635909169,robot_1,34,-2.000,-1.000,-1.500,-0.500
1786007150,96227295,robot_0,55,0.000,0.000,0.500,0.500
1786007153,275372489,robot_0,45,-1.000,0.000,-0.500,0.500
1786007155,395723476,robot_1,24,-3.000,-1.000,-2.500,-0.500
1786007157,276839149,robot_0,44,-1.000,-1.000,-0.500,-0.500
1786007166,775525089,robot_0,35,-2.000,0.000,-1.500,0.500
1786007220,996067866,robot_1,36,-2.000,1.000,-1.500,1.500
1786007222,656109949,robot_0,27,-3.000,2.000,-2.500,2.500
1786007223,295716212,robot_0,17,-4.000,2.000,-3.500,2.500
1786007225,835982111,robot_2,43,-1.000,-2.000,-0.500,-1.500
1786007228,816024844,robot_0,7,-5.000,2.000,-4.500,2.500
1786007230,56368096,robot_2,53,0.000,-2.000,0.500,-1.500
1786007230,456653452,robot_1,46,-1.000,1.000,-0.500,1.500
1786007231,976424163,robot_2,52,0.000,-3.000,0.500,-2.500
1786007234,57287374,robot_2,62,1.000,-3.000,1.500,-2.500
1786007238,276315306,robot_1,54,0.000,-1.000,0.500,-0.500
1786007238,715969797,robot_0,18,-4.000,3.000,-3.500,3.500
1786007243,413438594,robot_1,64,1.000,-1.000,1.500,-0.500
1786007243,614307609,robot_1,63,1.000,-2.000,1.500,-1.500
1786007251,393734358,robot_0,16,-4.000,1.000,-3.500,1.500
1786007253,473532676,robot_1,30,-2.000,-5.000,-1.500,-4.500
