stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788187371,656259709,robot_0,16,-4.000,1.000,-3.500,1.500
1788187371,656299579,robot_0,17,-4.000,2.000,-3.500,2.500
1788187371,656339428,robot_0,26,-3.000,1.000,-2.500,1.500
1788187371,656367623,robot_0,27,-3.000,2.000,-2.500,2.500
1788187371,656436879,robot_2,37,-2.000,2.000,-1.500,2.500
1788187371,656495396,robot_1,47,-1.000,2.000,-0.500,2.500
1788187371,656521317,robot_1,48,-1.000,3.000,-0.500,3.500
1788187371,656547461,robot_1,57,0.000,2.000,0.500,2.500
1788187371,656572259,robot_1,58,0.000,3.000,0.500,3.500
1788187376,632211952,robot_0,7,-5.000,2.000,-4.500,2.500
1788187377,270588827,robot_0,6,-5.000,1.000,-4.500,1.500
1788187378,772807238,robot_1,68,1.000,3.000,1.500,3.500
1788187378,992377271,robot_1,67,1.000,2.000,1.500,2.500
1788187382,349254365,robot_2,25,-3.000,0.000,-2.500,0.500
1788187382,988399173,robot_2,15,-4.000,0.000,-3.500,0.500
1788187385,992292974,robot_1,66,1.000,1.000,1.500,1.500
1788187386,193383430,robot_1,56,0.000,1.000,0.500,1.500
1788187386,627729531,robot_2,14,-4.000,-1.000,-3.500,-0.500
1788187386,627761951,robot_2,24,-3.000,-1.000,-2.500,-0.500
1788187390,661730329,robot_2,23,-3.000,-2.000,-2.500,-1.500
1788187390,661768993,robot_1,46,-1.000,1.000,-0.500,1.500
1788187391,957256178,robot_1,45,-1.000,0.000,-0.500,0.500
1788187391,957330339,robot_1,55,0.000,0.000,0.500,0.500
1788187392,163989192,robot_2,13,-4.000,-2.000,-3.500,-1.500
1788187393,446083535,robot_0,8,-5.000,3.000,-4.500,3.500
1788187395,883494610,robot_1,35,-2.000,0.000,-1.500,0.500
1788187398,46258063,robot_1,34,-2.000,-1.000,-1.500,-0.500
1788187398,46283697,robot_1,44,-1.000,-1.000,-0.500,-0.500
1788187402,287254564,robot_2,36,-2.000,1.000,-1.500,1.500
1788187403,974246566,robot_1,33,-2.000,-2.000,-1.500,-1.500
1788187421,761535646,robot_2,54,0.000,-1.000,0.500,-0.500
1788187424,859644217,robot_2,53,0.000,-2.000,0.500,-1.500
1788187426,487335971,robot_1,32,-2.000,-3.000,-1.500,-2.500
1788187427,300627497,robot_2,63,1.000,-2.000,1.500,-1.500
1788187427,300644742,robot_2,64,1.000,-1.000,1.500,-0.500
1788187427,300677337,robot_1,22,-3.000,-3.000,-2.500,-2.500
1788187430,898687535,robot_2,62,1.000,-3.000,1.500,-2.500
1788187431,522414415,robot_1,12,-4.000,-3.000,-3.500,-2.500
1788187432,822214475,robot_2,72,2.000,-3.000,2.500,-2.500
1788187432,822239094,robot_2,73,2.000,-2.000,2.500,-1.500
1788187436,380552977,robot_1,2,-5.000,-3.000,-4.500,-2.500
1788187437,220702021,robot_1,3,-5.000,-2.000,-4.500,-1.500
1788187438,558865645,robot_2,4,-5.000,-1.000,-4.500,-0.500
1788187438,558890481,robot_2,5,-5.000,0.000,-4.500,0.500
1788187445,607589942,robot_1,1,-5.000,-4.000,-4.500,-3.500
1788187445,607619119,robot_1,11,-4.000,-4.000,-3.500,-3.500
1788187478,972409572,robot_1,21,-3.000,-4.000,-2.500,-3.500
1788187481,927610697,robot_1,20,-3.000,-5.000,-2.500,-4.500
1788187482,128051362,robot_1,10,-4.000,-5.000,-3.500,-4.500
1788187538,651747973,robot_1,28,-3.000,3.000,-2.500,3.500
1788187538,852087641,robot_1,18,-4.000,3.000,-3.500,3.500
1788187550,746318581,robot_1,29,-3.000,4.000,-2.500,4.500
1788187550,965050906,robot_1,19,-4.000,4.000,-3.500,4.500
1788187570,124429695,robot_1,9,-5.000,4.000,-4.500,4.500
1788187595,886749014,robot_1,38,-2.000,3.000,-1.500,3.500
1788187606,17434354,robot_1,39,-2.000,4.000,-1.500,4.500
1788187607,927423876,robot_1,49,-1.000,4.000,-0.500,4.500
1788187623,941150787,robot_1,65,1.000,0.000,1.500,0.500
1788187633,31115817,robot_1,74,2.000,-1.000,2.500,-0.500
