stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788187647,492106983,2.290,robot_1,-3.779,-0.888
1788187647,492218051,2.290,robot_2,0.973,1.382
1788187647,492259102,2.290,robot_0,-0.109,-0.793
1788187647,831821406,2.630,robot_1,-3.779,-0.888
1788187647,831917396,2.630,robot_2,0.973,1.382
1788187647,831968192,2.630,robot_0,-0.109,-0.793
1788187650,479110694,5.277,robot_1,-3.779,-0.888
1788187650,479187905,5.277,robot_2,0.973,1.382
1788187650,479225063,5.277,robot_0,-0.109,-0.793
1788187650,679332491,5.477,robot_1,-3.750,-0.880
1788187650,679412970,5.477,robot_2,0.996,1.370
1788187650,679447357,5.477,robot_0,-0.135,-0.790
1788187650,898629856,5.696,robot_1,-3.686,-0.865
1788187650,898677259,5.696,robot_2,1.007,1.364
1788187650,898696134,5.697,robot_0,-0.200,-0.782
1788187651,107136657,5.905,robot_1,-3.633,-0.852
1788187651,107214772,5.905,robot_2,1.054,1.344
1788187651,107295426,5.905,robot_0,-0.254,-0.776
1788187651,307170041,6.105,robot_1,-3.577,-0.838
1788187651,307247151,6.105,robot_2,1.109,1.322
1788187651,307285468,6.105,robot_0,-0.297,-0.771
1788187651,538504890,6.336,robot_1,-3.570,-0.836
1788187651,538565199,6.336,robot_2,1.157,1.303
1788187651,538604175,6.336,robot_0,-0.337,-0.769
1788187651,758590435,6.556,robot_1,-3.560,-0.836
1788187651,758637129,6.556,robot_2,1.179,1.297
1788187651,758660174,6.556,robot_0,-0.381,-0.771
1788187651,977690840,6.776,robot_1,-3.497,-0.840
1788187651,977745549,6.776,robot_2,1.239,1.278
1788187651,977775841,6.776,robot_0,-0.425,-0.777
1788187652,188141868,6.986,robot_1,-3.482,-0.841
1788187652,188219526,6.986,robot_2,1.244,1.278
1788187652,188266023,6.986,robot_0,-0.468,-0.786
1788187652,408123626,7.206,robot_1,-3.431,-0.851
1788187652,408200124,7.206,robot_2,1.252,1.281
1788187652,408242281,7.206,robot_0,-0.526,-0.799
1788187652,626600564,7.424,robot_1,-3.397,-0.859
1788187652,626650642,7.424,robot_2,1.308,1.283
1788187652,626676675,7.424,robot_0,-0.565,-0.808
1788187652,846214554,7.644,robot_1,-3.396,-0.859
1788187652,846267076,7.644,robot_2,1.324,1.285
1788187652,846294282,7.644,robot_0,-0.608,-0.819
1788187653,47785302,7.846,robot_1,-3.397,-0.858
1788187653,47874879,7.846,robot_2,1.370,1.296
1788187653,47915189,7.846,robot_0,-0.647,-0.829
1788187653,266949786,8.065,robot_1,-3.397,-0.858
1788187653,267042499,8.065,robot_2,1.401,1.303
1788187653,267083567,8.065,robot_0,-0.686,-0.839
1788187653,487203885,8.285,robot_1,-3.397,-0.858
1788187653,487292046,8.285,robot_2,1.428,1.314
1788187653,487344411,8.285,robot_0,-0.749,-0.857
1788187653,701072027,8.499,robot_1,-3.397,-0.858
1788187653,701162831,8.499,robot_2,1.479,1.332
1788187653,701204351,8.499,robot_0,-0.801,-0.872
1788187653,922477149,8.720,robot_1,-3.397,-0.858
1788187653,922540869,8.720,robot_2,1.542,1.354
1788187653,922567595,8.720,robot_0,-0.858,-0.887
1788187654,140890737,8.939,robot_1,-3.397,-0.859
1788187654,140976386,8.939,robot_2,1.561,1.360
1788187654,141032833,8.939,robot_0,-0.900,-0.899
1788187654,356704320,9.155,robot_1,-3.397,-0.859
1788187654,356784681,9.155,robot_2,1.594,1.375
1788187654,356821013,9.155,robot_0,-0.933,-0.908
1788187654,556817602,9.355,robot_1,-3.396,-0.859
1788187654,556907891,9.355,robot_2,1.648,1.401
1788187654,556977729,9.355,robot_0,-0.982,-0.922
1788187654,761251662,9.559,robot_1,-3.396,-0.859
1788187654,761333726,9.559,robot_2,1.694,1.423
1788187654,761372227,9.559,robot_0,-1.031,-0.936
1788187654,961700978,9.760,robot_1,-3.396,-0.859
1788187654,961779935,9.760,robot_2,1.748,1.449
1788187654,961819508,9.760,robot_0,-1.069,-0.947
1788187655,180577663,9.978,robot_1,-3.395,-0.859
1788187655,180657333,9.978,robot_2,1.808,1.478
1788187655,180701201,9.979,robot_0,-1.125,-0.963
1788187655,382320689,10.180,robot_1,-3.395,-0.859
1788187655,382394950,10.180,robot_2,1.859,1.502
1788187655,382432032,10.180,robot_0,-1.179,-0.978
1788187655,601594789,10.399,robot_1,-3.395,-0.859
1788187655,601643406,10.399,robot_2,1.919,1.531
1788187655,601664823,10.399,robot_0,-1.243,-0.997
1788187655,818015169,10.616,robot_1,-3.395,-0.859
1788187655,818086226,10.616,robot_2,1.967,1.554
1788187655,818123025,10.616,robot_0,-1.282,-1.008
1788187656,18737682,10.817,robot_1,-3.394,-0.859
1788187656,18809666,10.817,robot_2,2.021,1.580
1788187656,18846017,10.817,robot_0,-1.328,-1.021
1788187656,237877419,11.036,robot_1,-3.394,-0.859
1788187656,237925457,11.036,robot_2,2.081,1.609
1788187656,237948683,11.036,robot_0,-1.391,-1.039
1788187656,451654037,11.249,robot_1,-3.394,-0.858
1788187656,451706707,11.250,robot_2,2.135,1.635
1788187656,451730380,11.250,robot_0,-1.449,-1.055
1788187656,671258287,11.469,robot_1,-3.394,-0.858
1788187656,671305873,11.469,robot_2,2.195,1.663
1788187656,671340345,11.469,robot_0,-1.512,-1.073
1788187656,888588208,11.686,robot_1,-3.394,-0.858
1788187656,888643732,11.686,robot_2,2.241,1.686
1788187656,888670986,11.686,robot_0,-1.563,-1.088
1788187657,108189711,11.906,robot_1,-3.431,-0.842
1788187657,108251466,11.906,robot_2,2.245,1.687
1788187657,108278866,11.906,robot_0,-1.605,-1.100
1788187657,333630568,12.131,robot_1,-3.467,-0.824
1788187657,333674968,12.131,robot_2,2.251,1.692
1788187657,333695655,12.132,robot_0,-1.643,-1.111
1788187657,553831938,12.352,robot_1,-3.509,-0.797
1788187657,553909553,12.352,robot_2,2.297,1.736
1788187657,553949269,12.352,robot_0,-1.705,-1.129
1788187657,773689446,12.572,robot_1,-3.562,-0.757
1788187657,773770198,12.572,robot_2,2.343,1.783
1788187657,773811562,12.572,robot_0,-1.769,-1.147
1788187657,989752321,12.788,robot_1,-3.605,-0.724
1788187657,989805544,12.788,robot_2,2.380,1.823
1788187657,989824292,12.788,robot_0,-1.816,-1.160
1788187658,209487695,13.007,robot_1,-3.657,-0.684
1788187658,209551432,13.007,robot_2,2.425,1.870
1788187658,209574509,13.007,robot_0,-1.859,-1.173
1788187658,419339615,13.217,robot_1,-3.699,-0.651
1788187658,419408406,13.217,robot_2,2.462,1.910
