task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
delivery,1001,1,1,S_20260806_111544,True,158.527,34.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_1/S_20260806_111544.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260806_111544/robots_3/run_20260811_162355
delivery,1001,1,2,S_20260807_110642,True,363.084,39.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_2/S_20260807_110642.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_110642/robots_3/run_20260811_162638
delivery,1001,1,3,S_20260807_110710,True,165.897,37.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_3/S_20260807_110710.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_110710/robots_3/run_20260811_163246
delivery,1001,2,1,S_20260807_104450,True,86.449,37.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_1/S_20260807_104450.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_104450/robots_3/run_20260811_163537
delivery,1001,2,2,S_20260807_104516,True,140.002,37.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_2/S_20260807_104516.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_104516/robots_3/run_20260811_163708
delivery,1001,2,3,S_20260807_104550,True,266.155,39.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_3/S_20260807_104550.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_104550/robots_3/run_20260811_163933
delivery,1001,3,1,S_20260807_105432,True,137.356,33.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_1/S_20260807_105432.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_105432/robots_3/run_20260811_164404
delivery,1001,3,2,S_20260807_105225,True,193.475,36.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_2/S_20260807_105225.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_105225/robots_3/run_20260811_164625
delivery,1001,3,3,S_20260807_105253,True,127.494,36.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_3/S_20260807_105253.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_105253/robots_3/run_20260811_164943
delivery,1001,4,1,S_20260807_110051,True,222.659,39.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_1/S_20260807_110051.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_110051/robots_3/run_20260811_165155
delivery,1001,4,2,S_20260807_110219,True,145.409,36.0,2,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_2/S_20260807_110219.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_110219/robots_3/run_20260811_165543
delivery,1001,4,3,S_20260807_110246,True,363.969,40.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_3/S_20260807_110246.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_110246/robots_3/run_20260811_165813
delivery,1001,5,1,S_20260807_111551,True,202.216,34.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_1/S_20260807_111551.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_111551/robots_3/run_20260811_170422
delivery,1001,5,2,S_20260807_111433,True,202.105,38.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_2/S_20260807_111433.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_111433/robots_3/run_20260811_170749
delivery,1001,5,3,S_20260807_111455,True,179.232,38.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_3/S_20260807_111455.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260807_111455/robots_3/run_20260811_171117
