stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788276193,121832706,2.098,robot_1,-2.330,-0.722
1788276193,121941680,2.098,robot_0,3.610,-0.286
1788276193,121989784,2.098,robot_2,2.743,0.351
1788276194,515031135,3.491,robot_1,-2.330,-0.722
1788276194,515096591,3.491,robot_0,3.610,-0.286
1788276194,515122921,3.491,robot_2,2.743,0.351
1788276195,968198594,4.944,robot_1,-2.330,-0.722
1788276195,968238135,4.945,robot_0,3.610,-0.286
1788276195,968251329,4.945,robot_2,2.743,0.351
1788276196,168895684,5.145,robot_1,-2.330,-0.722
1788276196,168959420,5.145,robot_0,3.610,-0.286
1788276196,168984344,5.145,robot_2,2.743,0.351
1788276196,387897864,5.364,robot_1,-2.330,-0.722
1788276196,387937822,5.364,robot_0,3.610,-0.286
1788276196,387951183,5.364,robot_2,2.743,0.351
1788276196,598813580,5.575,robot_1,-2.330,-0.722
1788276196,598858725,5.575,robot_0,3.610,-0.286
1788276196,598874410,5.575,robot_2,2.743,0.351
1788276196,818911227,5.795,robot_1,-2.330,-0.722
1788276196,818971282,5.795,robot_0,3.610,-0.286
1788276196,818989934,5.795,robot_2,2.743,0.351
1788276197,67509499,6.044,robot_1,-2.330,-0.722
1788276197,67552975,6.044,robot_0,3.610,-0.286
1788276197,67567321,6.044,robot_2,2.743,0.351
1788276197,286785619,6.263,robot_1,-2.330,-0.722
1788276197,286843358,6.263,robot_0,3.610,-0.286
1788276197,286862064,6.263,robot_2,2.743,0.351
1788276197,506511087,6.483,robot_1,-2.330,-0.722
1788276197,506578551,6.483,robot_0,3.610,-0.286
1788276197,506604176,6.483,robot_2,2.743,0.351
1788276197,711538701,6.688,robot_1,-2.330,-0.722
1788276197,711593677,6.688,robot_0,3.610,-0.286
1788276197,711607130,6.688,robot_2,2.743,0.351
1788276197,912307364,6.889,robot_1,-2.330,-0.722
1788276197,912356893,6.889,robot_0,3.610,-0.286
1788276197,912371285,6.889,robot_2,2.743,0.351
1788276198,162179169,7.138,robot_1,-2.330,-0.722
1788276198,162226799,7.138,robot_0,3.610,-0.286
1788276198,162242477,7.139,robot_2,2.743,0.351
1788276198,362539717,7.339,robot_1,-2.330,-0.722
1788276198,362586991,7.339,robot_0,3.610,-0.286
1788276198,362602030,7.339,robot_2,2.743,0.351
1788276198,581802083,7.558,robot_1,-2.330,-0.722
1788276198,581916620,7.558,robot_0,3.610,-0.286
1788276198,581943037,7.558,robot_2,2.743,0.351
1788276198,799822976,7.776,robot_1,-2.330,-0.722
1788276198,799864494,7.776,robot_0,3.610,-0.286
1788276198,799878297,7.776,robot_2,2.743,0.351
1788276199,20433069,7.997,robot_1,-2.330,-0.722
1788276199,20516730,7.997,robot_0,3.610,-0.286
1788276199,20549675,7.997,robot_2,2.743,0.351
1788276199,234889796,8.211,robot_1,-2.330,-0.722
1788276199,234934470,8.211,robot_0,3.610,-0.286
1788276199,234957376,8.211,robot_2,2.743,0.351
1788276199,435277701,8.412,robot_1,-2.330,-0.722
1788276199,435388208,8.412,robot_0,3.610,-0.286
1788276199,435422923,8.412,robot_2,2.743,0.351
1788276199,636102160,8.612,robot_1,-2.330,-0.722
1788276199,636176357,8.612,robot_0,3.610,-0.286
1788276199,636212212,8.612,robot_2,2.743,0.351
1788276199,841584145,8.818,robot_1,-2.330,-0.722
1788276199,841652238,8.818,robot_0,3.610,-0.286
1788276199,841682525,8.818,robot_2,2.743,0.351
1788276200,59971491,9.036,robot_1,-2.330,-0.722
1788276200,60015065,9.036,robot_0,3.610,-0.286
1788276200,60030698,9.036,robot_2,2.743,0.351
1788276200,261037429,9.237,robot_1,-2.330,-0.722
1788276200,261104109,9.237,robot_0,3.610,-0.286
1788276200,261137604,9.237,robot_2,2.743,0.351
1788276200,472215209,9.448,robot_1,-2.330,-0.722
1788276200,472258638,9.449,robot_0,3.610,-0.286
1788276200,472274084,9.449,robot_2,2.743,0.351
1788276200,673724543,9.650,robot_1,-2.330,-0.722
1788276200,673803075,9.650,robot_0,3.610,-0.286
1788276200,673826866,9.650,robot_2,2.743,0.351
1788276200,895138592,9.871,robot_1,-2.320,-0.717
1788276200,895207562,9.871,robot_0,3.610,-0.286
1788276200,895232644,9.872,robot_2,2.743,0.351
1788276201,111610111,10.088,robot_1,-2.277,-0.691
1788276201,111648760,10.088,robot_0,3.610,-0.286
1788276201,111661480,10.088,robot_2,2.749,0.326
1788276201,332313324,10.309,robot_1,-2.220,-0.658
1788276201,332379850,10.309,robot_0,3.610,-0.286
1788276201,332405954,10.309,robot_2,2.762,0.271
1788276201,547960783,10.524,robot_1,-2.181,-0.635
1788276201,548003582,10.524,robot_0,3.610,-0.286
1788276201,548015458,10.524,robot_2,2.763,0.269
1788276201,748500516,10.725,robot_1,-2.129,-0.605
1788276201,748551544,10.725,robot_0,3.610,-0.286
1788276201,748574842,10.725,robot_2,2.763,0.269
1788276201,949295640,10.926,robot_1,-2.087,-0.580
1788276201,949534620,10.926,robot_0,3.611,-0.287
1788276201,949554263,10.926,robot_2,2.763,0.269
1788276202,161106244,11.137,robot_1,-2.087,-0.580
1788276202,161144219,11.137,robot_0,3.640,-0.300
1788276202,161155358,11.137,robot_2,2.763,0.269
1788276202,381070218,11.357,robot_1,-2.055,-0.561
1788276202,381108062,11.357,robot_0,3.680,-0.319
1788276202,381130877,11.357,robot_2,2.755,0.219
1788276202,584934090,11.561,robot_1,-2.029,-0.545
1788276202,584995674,11.561,robot_0,3.710,-0.334
1788276202,585025024,11.561,robot_2,2.746,0.183
1788276202,804858542,11.781,robot_1,-1.974,-0.509
1788276202,804959248,11.781,robot_0,3.724,-0.341
1788276202,804989899,11.781,robot_2,2.745,0.179
1788276203,24340649,12.001,robot_1,-1.918,-0.474
1788276203,24423319,12.001,robot_0,3.724,-0.340
1788276203,24447324,12.001,robot_2,2.734,0.138
1788276203,225189864,12.201,robot_1,-1.887,-0.454
1788276203,225253121,12.202,robot_0,3.724,-0.340
1788276203,225282772,12.202,robot_2,2.719,0.097
1788276203,444461281,12.421,robot_1,-1.845,-0.426
1788276203,444513833,12.421,robot_0,3.724,-0.339
1788276203,444531074,12.421,robot_2,2.698,0.044
1788276203,693869309,12.670,robot_1,-1.795,-0.392
1788276203,693912066,12.670,robot_0,3.724,-0.339
1788276203,693931560,12.670,robot_2,2.681,0.007
1788276203,914344910,12.891,robot_1,-1.740,-0.355
1788276203,914431200,12.891,robot_0,3.724,-0.338
1788276203,914456751,12.891,robot_2,2.661,-0.032
1788276204,114689631,13.091,robot_1,-1.691,-0.321
1788276204,114762375,13.091,robot_0,3.723,-0.338
1788276204,114796253,13.091,robot_2,2.633,-0.078
1788276204,329952003,13.306,robot_1,-1.651,-0.294
1788276204,330032907,13.306,robot_0,3.723,-0.338
1788276204,330069447,13.306,robot_2,2.610,-0.113
