stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788277033,921363633,robot_0,87,3.000,2.000,3.500,2.500
1788277033,921386438,robot_0,97,4.000,2.000,4.500,2.500
1788277033,921404587,robot_0,98,4.000,3.000,4.500,3.500
1788277033,921437472,robot_1,33,-2.000,-2.000,-1.500,-1.500
1788277033,921452041,robot_1,34,-2.000,-1.000,-1.500,-0.500
1788277033,921466795,robot_1,43,-1.000,-2.000,-0.500,-1.500
1788277033,921480144,robot_1,44,-1.000,-1.000,-0.500,-0.500
1788277033,921509178,robot_2,13,-4.000,-2.000,-3.500,-1.500
1788277033,921521999,robot_2,14,-4.000,-1.000,-3.500,-0.500
1788277033,921535773,robot_2,23,-3.000,-2.000,-2.500,-1.500
1788277033,921548128,robot_2,24,-3.000,-1.000,-2.500,-0.500
1788277046,91031436,robot_0,96,4.000,1.000,4.500,1.500
1788277046,295156776,robot_0,86,3.000,1.000,3.500,1.500
1788277051,906960916,robot_2,12,-4.000,-3.000,-3.500,-2.500
1788277054,810759745,robot_0,85,3.000,0.000,3.500,0.500
1788277055,722865975,robot_2,22,-3.000,-3.000,-2.500,-2.500
1788277056,910534738,robot_0,76,2.000,1.000,2.500,1.500
1788277057,119547996,robot_0,75,2.000,0.000,2.500,0.500
1788277064,424255392,robot_0,74,2.000,-1.000,2.500,-0.500
1788277065,323628883,robot_0,84,3.000,-1.000,3.500,-0.500
1788277070,453790334,robot_0,64,1.000,-1.000,1.500,-0.500
1788277073,22695969,robot_0,73,2.000,-2.000,2.500,-1.500
1788277073,22742162,robot_2,15,-4.000,0.000,-3.500,0.500
1788277073,270398389,robot_0,63,1.000,-2.000,1.500,-1.500
1788277074,772989768,robot_1,45,-1.000,0.000,-0.500,0.500
1788277077,851579587,robot_1,54,0.000,-1.000,0.500,-0.500
1788277078,68763333,robot_1,55,0.000,0.000,0.500,0.500
1788277080,316768584,robot_2,16,-4.000,1.000,-3.500,1.500
1788277081,631182369,robot_0,62,1.000,-3.000,1.500,-2.500
1788277082,708654091,robot_0,53,0.000,-2.000,0.500,-1.500
1788277083,135788531,robot_0,52,0.000,-3.000,0.500,-2.500
1788277084,699548344,robot_1,56,0.000,1.000,0.500,1.500
1788277086,886226806,robot_2,17,-4.000,2.000,-3.500,2.500
1788277087,338095683,robot_1,65,1.000,0.000,1.500,0.500
1788277087,338108775,robot_1,66,1.000,1.000,1.500,1.500
1788277089,425424735,robot_0,51,0.000,-4.000,0.500,-3.500
1788277093,743675407,robot_2,18,-4.000,3.000,-3.500,3.500
1788277094,390139638,robot_1,67,1.000,2.000,1.500,2.500
1788277094,596952960,robot_0,61,1.000,-4.000,1.500,-3.500
1788277097,244592072,robot_1,77,2.000,2.000,2.500,2.500
1788277099,718037200,robot_2,7,-5.000,2.000,-4.500,2.500
1788277103,421077957,robot_1,78,2.000,3.000,2.500,3.500
1788277104,481864876,robot_2,6,-5.000,1.000,-4.500,1.500
1788277106,918438902,robot_1,88,3.000,3.000,3.500,3.500
1788277111,70495763,robot_2,5,-5.000,0.000,-4.500,0.500
1788277129,520371495,robot_0,35,-2.000,0.000,-1.500,0.500
1788277130,158816839,robot_0,46,-1.000,1.000,-0.500,1.500
1788277131,39995268,robot_0,36,-2.000,1.000,-1.500,1.500
1788277133,21121989,robot_2,25,-3.000,0.000,-2.500,0.500
1788277136,166344273,robot_1,83,3.000,-2.000,3.500,-1.500
1788277138,109931430,robot_0,37,-2.000,2.000,-1.500,2.500
1788277139,589551617,robot_2,26,-3.000,1.000,-2.500,1.500
1788277141,89589488,robot_1,72,2.000,-3.000,2.500,-2.500
1788277146,216764998,robot_2,27,-3.000,2.000,-2.500,2.500
1788277160,38186077,robot_0,42,-1.000,-3.000,-0.500,-2.500
1788277165,342400348,robot_0,41,-1.000,-4.000,-0.500,-3.500
1788277191,703479789,robot_2,28,-3.000,3.000,-2.500,3.500
