stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788124765,239952655,2.152,robot_1,1.337,-2.362
1788124765,240048484,2.152,robot_0,-1.303,-2.972
1788124765,240113304,2.152,robot_2,3.216,-3.642
1788124765,498477547,2.411,robot_1,1.337,-2.362
1788124765,498531347,2.411,robot_0,-1.303,-2.972
1788124765,498556643,2.411,robot_2,3.216,-3.642
1788124768,354415619,5.267,robot_1,1.337,-2.362
1788124768,354491841,5.267,robot_0,-1.303,-2.972
1788124768,354532039,5.267,robot_2,3.216,-3.642
1788124768,555623387,5.468,robot_1,1.337,-2.362
1788124768,555729948,5.468,robot_0,-1.303,-2.972
1788124768,555790419,5.468,robot_2,3.216,-3.642
1788124768,774582285,5.687,robot_1,1.337,-2.362
1788124768,774658278,5.687,robot_0,-1.303,-2.972
1788124768,774700999,5.687,robot_2,3.216,-3.642
1788124768,990572859,5.903,robot_1,1.337,-2.362
1788124768,990659536,5.903,robot_0,-1.303,-2.972
1788124768,990700178,5.903,robot_2,3.216,-3.642
1788124769,191275257,6.103,robot_1,1.337,-2.362
1788124769,191345559,6.103,robot_0,-1.303,-2.972
1788124769,191378208,6.103,robot_2,3.216,-3.642
1788124769,393513345,6.306,robot_1,1.337,-2.362
1788124769,393590643,6.306,robot_0,-1.303,-2.972
1788124769,393623763,6.306,robot_2,3.216,-3.642
1788124769,613054249,6.525,robot_1,1.337,-2.362
1788124769,613147521,6.525,robot_0,-1.303,-2.972
1788124769,613196378,6.525,robot_2,3.216,-3.642
1788124769,832001362,6.744,robot_1,1.337,-2.362
1788124769,832069752,6.744,robot_0,-1.303,-2.972
1788124769,832106145,6.744,robot_2,3.216,-3.642
1788124770,40936348,6.953,robot_1,1.337,-2.362
1788124770,41034211,6.953,robot_0,-1.303,-2.972
1788124770,41083464,6.953,robot_2,3.216,-3.642
1788124770,241807635,7.154,robot_1,1.337,-2.362
1788124770,241893933,7.154,robot_0,-1.303,-2.972
1788124770,241940413,7.154,robot_2,3.216,-3.642
1788124770,444404812,7.357,robot_1,1.337,-2.362
1788124770,444504915,7.357,robot_0,-1.303,-2.972
1788124770,444566844,7.357,robot_2,3.216,-3.642
1788124770,664278938,7.576,robot_1,1.337,-2.362
1788124770,664379564,7.576,robot_0,-1.303,-2.972
1788124770,664428267,7.577,robot_2,3.216,-3.642
1788124770,864446816,7.777,robot_1,1.337,-2.362
1788124770,864540739,7.777,robot_0,-1.303,-2.972
1788124770,864592334,7.777,robot_2,3.216,-3.642
1788124771,75291286,7.988,robot_1,1.337,-2.362
1788124771,75762420,7.988,robot_0,-1.303,-2.972
1788124771,75857777,7.988,robot_2,3.216,-3.642
1788124771,291475441,8.204,robot_1,1.337,-2.362
1788124771,291538093,8.204,robot_0,-1.314,-2.973
1788124771,291568206,8.204,robot_2,3.216,-3.642
1788124771,507064746,8.419,robot_1,1.337,-2.362
1788124771,507131297,8.419,robot_0,-1.373,-2.978
1788124771,507167639,8.419,robot_2,3.216,-3.642
1788124771,727985729,8.640,robot_1,1.318,-2.400
1788124771,728074405,8.640,robot_0,-1.390,-2.979
1788124771,728124843,8.640,robot_2,3.266,-3.638
1788124771,946350833,8.858,robot_1,1.295,-2.440
1788124771,946434594,8.859,robot_0,-1.392,-2.980
1788124771,946472598,8.859,robot_2,3.303,-3.635
1788124772,166765779,9.079,robot_1,1.294,-2.443
1788124772,166822167,9.079,robot_0,-1.448,-2.998
1788124772,166846219,9.079,robot_2,3.303,-3.635
1788124772,386195041,9.298,robot_1,1.265,-2.494
1788124772,386250906,9.298,robot_0,-1.475,-3.007
1788124772,386273592,9.298,robot_2,3.303,-3.635
1788124772,598832294,9.511,robot_1,1.236,-2.546
1788124772,598878696,9.511,robot_0,-1.475,-3.007
1788124772,598896287,9.511,robot_2,3.303,-3.636
1788124772,818605158,9.731,robot_1,1.204,-2.604
1788124772,818661566,9.731,robot_0,-1.515,-3.033
1788124772,818682158,9.731,robot_2,3.304,-3.636
1788124773,28303198,9.940,robot_1,1.173,-2.659
