stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788119328,647671809,robot_2,13,-4.000,-2.000,-3.500,-1.500
1788119328,647689697,robot_2,14,-4.000,-1.000,-3.500,-0.500
1788119328,647703623,robot_2,23,-3.000,-2.000,-2.500,-1.500
1788119328,647714862,robot_2,24,-3.000,-1.000,-2.500,-0.500
1788119328,647742339,robot_0,87,3.000,2.000,3.500,2.500
1788119328,647754754,robot_0,97,4.000,2.000,4.500,2.500
1788119328,647765092,robot_0,98,4.000,3.000,4.500,3.500
1788119328,647789073,robot_1,33,-2.000,-2.000,-1.500,-1.500
1788119328,647800654,robot_1,34,-2.000,-1.000,-1.500,-0.500
1788119328,647811926,robot_1,43,-1.000,-2.000,-0.500,-1.500
1788119328,647822935,robot_1,44,-1.000,-1.000,-0.500,-0.500
1788119336,389880246,robot_2,3,-5.000,-2.000,-4.500,-1.500
1788119336,389893384,robot_2,4,-5.000,-1.000,-4.500,-0.500
1788119336,389919780,robot_0,96,4.000,1.000,4.500,1.500
1788119336,602097071,robot_0,86,3.000,1.000,3.500,1.500
1788119341,491604906,robot_2,2,-5.000,-3.000,-4.500,-2.500
1788119341,491629178,robot_2,12,-4.000,-3.000,-3.500,-2.500
1788119341,691702289,robot_0,85,3.000,0.000,3.500,0.500
1788119341,691746619,robot_1,25,-3.000,0.000,-2.500,0.500
1788119341,691763300,robot_1,35,-2.000,0.000,-1.500,0.500
1788119342,513060897,robot_0,76,2.000,1.000,2.500,1.500
1788119342,922502473,robot_0,75,2.000,0.000,2.500,0.500
1788119345,98714914,robot_2,11,-4.000,-4.000,-3.500,-3.500
1788119345,519443916,robot_2,22,-3.000,-3.000,-2.500,-2.500
1788119345,519511826,robot_1,26,-3.000,1.000,-2.500,1.500
1788119345,953569265,robot_2,21,-3.000,-4.000,-2.500,-3.500
1788119346,593302807,robot_0,74,2.000,-1.000,2.500,-0.500
1788119348,754435918,robot_1,16,-4.000,1.000,-3.500,1.500
1788119349,625090314,robot_0,64,1.000,-1.000,1.500,-0.500
1788119350,235486252,robot_1,27,-3.000,2.000,-2.500,2.500
1788119350,447695835,robot_1,17,-4.000,2.000,-3.500,2.500
1788119351,277961476,robot_2,31,-2.000,-4.000,-1.500,-3.500
1788119351,492310004,robot_0,63,1.000,-2.000,1.500,-1.500
1788119351,492330616,robot_0,73,2.000,-2.000,2.500,-1.500
1788119351,712087453,robot_2,20,-3.000,-5.000,-2.500,-4.500
1788119351,931889757,robot_2,30,-2.000,-5.000,-1.500,-4.500
1788119354,236035976,robot_1,18,-4.000,3.000,-3.500,3.500
1788119354,449320892,robot_1,28,-3.000,3.000,-2.500,3.500
1788119354,960416009,robot_2,40,-1.000,-5.000,-0.500,-4.500
1788119354,960432997,robot_2,41,-1.000,-4.000,-0.500,-3.500
1788119356,220365442,robot_0,62,1.000,-3.000,1.500,-2.500
1788119356,642305619,robot_0,53,0.000,-2.000,0.500,-1.500
1788119357,53342495,robot_0,52,0.000,-3.000,0.500,-2.500
1788119361,305882117,robot_0,51,0.000,-4.000,0.500,-3.500
1788119366,725004444,robot_0,50,0.000,-5.000,0.500,-4.500
1788119366,944154081,robot_1,29,-3.000,4.000,-2.500,4.500
1788119367,344962121,robot_1,19,-4.000,4.000,-3.500,4.500
1788119368,586500107,robot_0,61,1.000,-4.000,1.500,-3.500
1788119368,786730886,robot_0,60,1.000,-5.000,1.500,-4.500
1788119373,880550101,robot_0,71,2.000,-4.000,2.500,-3.500
1788119375,734408402,robot_2,32,-2.000,-3.000,-1.500,-2.500
1788119377,875485696,robot_2,42,-1.000,-3.000,-0.500,-2.500
1788119385,24825211,robot_0,54,0.000,-1.000,0.500,-0.500
1788119385,242106400,robot_1,15,-4.000,0.000,-3.500,0.500
1788119389,886057756,robot_0,45,-1.000,0.000,-0.500,0.500
1788119389,886067082,robot_0,55,0.000,0.000,0.500,0.500
1788119394,487140395,robot_0,46,-1.000,1.000,-0.500,1.500
1788119395,107529830,robot_0,36,-2.000,1.000,-1.500,1.500
1788119399,88503196,robot_0,37,-2.000,2.000,-1.500,2.500
1788119405,998592646,robot_2,65,1.000,0.000,1.500,0.500
1788119410,639284614,robot_2,66,1.000,1.000,1.500,1.500
1788119415,460378905,robot_2,77,2.000,2.000,2.500,2.500
1788119420,279031803,robot_2,78,2.000,3.000,2.500,3.500
1788119420,279045411,robot_2,88,3.000,3.000,3.500,3.500
1788119426,378987799,robot_2,79,2.000,4.000,2.500,4.500
1788119431,49918121,robot_2,68,1.000,3.000,1.500,3.500
1788119432,291004767,robot_2,67,1.000,2.000,1.500,2.500
1788119450,890581955,robot_2,72,2.000,-3.000,2.500,-2.500
