stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1788339204,7854600,robot_2,1,-5.000,-4.000,-4.500,-3.500
1788339204,7865719,robot_2,2,-5.000,-3.000,-4.500,-2.500
1788339204,7874424,robot_2,11,-4.000,-4.000,-3.500,-3.500
1788339204,7893402,robot_1,31,-2.000,-4.000,-1.500,-3.500
1788339204,7904143,robot_1,41,-1.000,-4.000,-0.500,-3.500
1788339204,7914380,robot_1,42,-1.000,-3.000,-0.500,-2.500
1788339204,7936252,robot_0,58,0.000,3.000,0.500,3.500
1788339207,87445705,robot_1,32,-2.000,-3.000,-1.500,-2.500
1788339207,291856480,robot_0,57,0.000,2.000,0.500,2.500
1788339207,511686255,robot_2,12,-4.000,-3.000,-3.500,-2.500
1788339208,165995749,robot_0,68,1.000,3.000,1.500,3.500
1788339209,251546833,robot_0,67,1.000,2.000,1.500,2.500
1788339210,929671597,robot_1,43,-1.000,-2.000,-0.500,-1.500
1788339211,360953036,robot_1,33,-2.000,-2.000,-1.500,-1.500
1788339211,562901959,robot_2,21,-3.000,-4.000,-2.500,-3.500
1788339214,279634281,robot_0,78,2.000,3.000,2.500,3.500
1788339219,260489667,robot_1,34,-2.000,-1.000,-1.500,-0.500
1788339220,341146112,robot_1,44,-1.000,-1.000,-0.500,-0.500
1788339223,926598658,robot_0,88,3.000,3.000,3.500,3.500
1788339224,360714542,robot_0,79,2.000,4.000,2.500,4.500
1788339225,681764409,robot_0,89,3.000,4.000,3.500,4.500
1788339226,976508767,robot_1,24,-3.000,-1.000,-2.500,-0.500
1788339227,582167062,robot_1,35,-2.000,0.000,-1.500,0.500
1788339228,413987770,robot_1,25,-3.000,0.000,-2.500,0.500
1788339233,849580261,robot_1,26,-3.000,1.000,-2.500,1.500
1788339234,68444363,robot_1,36,-2.000,1.000,-1.500,1.500
1788339237,780224260,robot_0,77,2.000,2.000,2.500,2.500
1788339238,195238171,robot_0,87,3.000,2.000,3.500,2.500
1788339241,359479155,robot_1,27,-3.000,2.000,-2.500,2.500
1788339242,212545045,robot_1,16,-4.000,1.000,-3.500,1.500
1788339242,660534045,robot_1,17,-4.000,2.000,-3.500,2.500
1788339244,816749723,robot_0,76,2.000,1.000,2.500,1.500
1788339246,77972380,robot_0,86,3.000,1.000,3.500,1.500
1788339249,567356968,robot_1,18,-4.000,3.000,-3.500,3.500
1788339249,567383252,robot_1,28,-3.000,3.000,-2.500,3.500
1788339252,381477827,robot_0,75,2.000,0.000,2.500,0.500
1788339254,67709205,robot_0,85,3.000,0.000,3.500,0.500
1788339257,616699819,robot_2,45,-1.000,0.000,-0.500,0.500
1788339258,951025519,robot_0,74,2.000,-1.000,2.500,-0.500
1788339261,795666926,robot_1,29,-3.000,4.000,-2.500,4.500
1788339265,514195777,robot_1,38,-2.000,3.000,-1.500,3.500
1788339265,725636793,robot_0,73,2.000,-2.000,2.500,-1.500
1788339270,862838162,robot_2,37,-2.000,2.000,-1.500,2.500
1788339271,746462749,robot_0,72,2.000,-3.000,2.500,-2.500
1788339274,390267538,robot_1,39,-2.000,4.000,-1.500,4.500
1788339276,341767679,robot_2,49,-1.000,4.000,-0.500,4.500
1788339279,304587160,robot_1,48,-1.000,3.000,-0.500,3.500
1788339281,612592327,robot_1,47,-1.000,2.000,-0.500,2.500
1788339298,298508362,robot_1,46,-1.000,1.000,-0.500,1.500
