stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1785330584,19679204,robot_2,47,-1.000,2.000,-0.500,2.500
1785330584,19713074,robot_0,44,-1.000,-1.000,-0.500,-0.500
1785330584,19735875,robot_1,60,1.000,-5.000,1.500,-4.500
1785330585,855735179,robot_0,34,-2.000,-1.000,-1.500,-0.500
1785330586,715890883,robot_0,33,-2.000,-2.000,-1.500,-1.500
1785330586,935135353,robot_2,46,-1.000,1.000,-0.500,1.500
1785330587,135281111,robot_2,36,-2.000,1.000,-1.500,1.500
1785330591,979262622,robot_0,32,-2.000,-3.000,-1.500,-2.500
1785330592,399318219,robot_0,22,-3.000,-3.000,-2.500,-2.500
1785330594,738436019,robot_1,61,1.000,-4.000,1.500,-3.500
1785330597,258347390,robot_0,21,-3.000,-4.000,-2.500,-3.500
1785330597,678652974,robot_2,56,0.000,1.000,0.500,1.500
1785330599,972563001,robot_1,62,1.000,-3.000,1.500,-2.500
1785330601,728858581,robot_0,31,-2.000,-4.000,-1.500,-3.500
1785330602,150049682,robot_2,66,1.000,1.000,1.500,1.500
1785330603,448960738,robot_1,63,1.000,-2.000,1.500,-1.500
1785330606,829333346,robot_2,65,1.000,0.000,1.500,0.500
1785330609,168770854,robot_2,55,0.000,0.000,0.500,0.500
1785330610,829957360,robot_1,64,1.000,-1.000,1.500,-0.500
1785330611,49831907,robot_1,54,0.000,-1.000,0.500,-0.500
1785330623,509351499,robot_1,53,0.000,-2.000,0.500,-1.500
1785330628,653410369,robot_1,72,2.000,-3.000,2.500,-2.500
1785330630,352113014,robot_2,67,1.000,2.000,1.500,2.500
1785330635,613774342,robot_2,68,1.000,3.000,1.500,3.500
1785330638,552533320,robot_2,78,2.000,3.000,2.500,3.500
1785330639,392092769,robot_1,73,2.000,-2.000,2.500,-1.500
1785330647,168121435,robot_2,77,2.000,2.000,2.500,2.500
1785330651,564380225,robot_2,87,3.000,2.000,3.500,2.500
1785330660,484363284,robot_1,37,-2.000,2.000,-1.500,2.500
1785330664,644197224,robot_1,38,-2.000,3.000,-1.500,3.500
1785330665,83923360,robot_1,28,-3.000,3.000,-2.500,3.500
1785330666,762699035,robot_2,97,4.000,2.000,4.500,2.500
1785330671,24460077,robot_1,18,-4.000,3.000,-3.500,3.500
1785330675,499873184,robot_1,17,-4.000,2.000,-3.500,2.500
1785330682,480887215,robot_1,16,-4.000,1.000,-3.500,1.500
1785330691,160879736,robot_1,15,-4.000,0.000,-3.500,0.500
1785330700,551011482,robot_1,14,-4.000,-1.000,-3.500,-0.500
1785330703,729874801,robot_0,30,-2.000,-5.000,-1.500,-4.500
1785330704,150446076,robot_1,13,-4.000,-2.000,-3.500,-1.500
1785330708,12150193,robot_1,12,-4.000,-3.000,-3.500,-2.500
1785330710,729796686,robot_2,45,-1.000,0.000,-0.500,0.500
1785330714,91547137,robot_1,23,-3.000,-2.000,-2.500,-1.500
1785330716,31405748,robot_2,43,-1.000,-2.000,-0.500,-1.500
1785330752,750651069,robot_2,79,2.000,4.000,2.500,4.500
1785330766,76478423,robot_0,39,-2.000,4.000,-1.500,4.500
1785330812,986668976,robot_1,71,2.000,-4.000,2.500,-3.500
1785330817,366847626,robot_2,83,3.000,-2.000,3.500,-1.500
1785330818,6137999,robot_2,82,3.000,-3.000,3.500,-2.500
1785330835,885520609,robot_2,93,4.000,-2.000,4.500,-1.500
