stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1786107219,361711554,robot_2,56,0.000,1.000,0.500,1.500
1786107219,361746276,robot_1,14,-4.000,-1.000,-3.500,-0.500
1786107219,361772000,robot_0,44,-1.000,-1.000,-0.500,-0.500
1786107222,46662319,robot_2,66,1.000,1.000,1.500,1.500
1786107224,565259248,robot_2,65,1.000,0.000,1.500,0.500
1786107224,783959455,robot_0,34,-2.000,-1.000,-1.500,-0.500
1786107228,444164120,robot_1,4,-5.000,-1.000,-4.500,-0.500
1786107233,705177127,robot_2,67,1.000,2.000,1.500,2.500
1786107236,24915959,robot_0,54,0.000,-1.000,0.500,-0.500
1786107237,945020971,robot_1,23,-3.000,-2.000,-2.500,-1.500
1786107238,384583361,robot_2,68,1.000,3.000,1.500,3.500
1786107239,425530920,robot_0,64,1.000,-1.000,1.500,-0.500
1786107241,924732831,robot_0,63,1.000,-2.000,1.500,-1.500
1786107242,143741720,robot_1,33,-2.000,-2.000,-1.500,-1.500
1786107243,424671614,robot_1,32,-2.000,-3.000,-1.500,-2.500
1786107245,944866477,robot_0,62,1.000,-3.000,1.500,-2.500
1786107246,584524188,robot_0,72,2.000,-3.000,2.500,-2.500
1786107251,684015545,robot_2,55,0.000,0.000,0.500,0.500
1786107254,184593078,robot_1,13,-4.000,-2.000,-3.500,-1.500
1786107256,884245902,robot_0,73,2.000,-2.000,2.500,-1.500
1786107259,405966010,robot_2,53,0.000,-2.000,0.500,-1.500
1786107265,144913659,robot_0,83,3.000,-2.000,3.500,-1.500
1786107266,625116785,robot_0,82,3.000,-3.000,3.500,-2.500
1786107268,305385665,robot_1,12,-4.000,-3.000,-3.500,-2.500
1786107269,804375688,robot_0,92,4.000,-3.000,4.500,-2.500
1786107271,504915353,robot_1,22,-3.000,-3.000,-2.500,-2.500
1786107275,704320383,robot_1,31,-2.000,-4.000,-1.500,-3.500
1786107280,184064765,robot_1,30,-2.000,-5.000,-1.500,-4.500
1786107283,84790126,robot_2,78,2.000,3.000,2.500,3.500
1786107286,523628965,robot_2,79,2.000,4.000,2.500,4.500
1786107292,445275721,robot_2,69,1.000,4.000,1.500,4.500
1786107304,284009635,robot_2,77,2.000,2.000,2.500,2.500
1786107322,804903726,robot_0,52,0.000,-3.000,0.500,-2.500
1786107331,524357093,robot_0,61,1.000,-4.000,1.500,-3.500
1786107333,845029424,robot_0,71,2.000,-4.000,2.500,-3.500
1786107335,764837953,robot_0,70,2.000,-5.000,2.500,-4.500
1786107341,644623126,robot_2,43,-1.000,-2.000,-0.500,-1.500
1786107354,943814157,robot_1,21,-3.000,-4.000,-2.500,-3.500
1786107361,444741975,robot_1,20,-3.000,-5.000,-2.500,-4.500
1786107365,845281608,robot_0,60,1.000,-5.000,1.500,-4.500
1786107394,864818798,robot_0,45,-1.000,0.000,-0.500,0.500
1786107396,324764735,robot_0,35,-2.000,0.000,-1.500,0.500
1786107430,324585205,robot_2,76,2.000,1.000,2.500,1.500
1786107444,664444841,robot_0,24,-3.000,-1.000,-2.500,-0.500
1786107483,925212265,robot_1,3,-5.000,-2.000,-4.500,-1.500
1786107486,484480142,robot_2,87,3.000,2.000,3.500,2.500
1786107490,344986393,robot_2,97,4.000,2.000,4.500,2.500
1786107506,644546632,robot_2,57,0.000,2.000,0.500,2.500
1786107510,623991843,robot_2,47,-1.000,2.000,-0.500,2.500
1786107513,963777553,robot_2,36,-2.000,1.000,-1.500,1.500
1786107516,524922839,robot_2,37,-2.000,2.000,-1.500,2.500
