stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788218557,21619225,2.068,robot_0,3.610,-0.286
1788218557,21708812,2.068,robot_2,2.743,0.351
1788218557,21760381,2.068,robot_1,-2.330,-0.722
1788218558,506401785,3.553,robot_0,3.610,-0.286
1788218558,506456603,3.553,robot_2,2.743,0.351
1788218558,506485832,3.553,robot_1,-2.330,-0.722
1788218558,725647482,3.772,robot_0,3.609,-0.286
1788218558,725686662,3.772,robot_2,2.743,0.351
1788218558,725703330,3.772,robot_1,-2.299,-0.704
1788218558,945112755,3.991,robot_0,3.609,-0.286
1788218558,945143662,3.991,robot_2,2.743,0.351
1788218558,945156516,3.991,robot_1,-2.242,-0.671
1788218559,158862819,4.205,robot_0,3.609,-0.286
1788218559,158897233,4.205,robot_2,2.743,0.349
1788218559,158913252,4.205,robot_1,-2.190,-0.640
1788218559,379533062,4.426,robot_0,3.609,-0.286
1788218559,379590880,4.426,robot_2,2.731,0.293
1788218559,379609752,4.426,robot_1,-2.133,-0.607
1788218559,593610365,4.640,robot_0,3.609,-0.286
1788218559,593641706,4.640,robot_2,2.715,0.235
1788218559,593655149,4.640,robot_1,-2.081,-0.577
1788218559,793720241,4.840,robot_0,3.609,-0.286
1788218559,793751429,4.840,robot_2,2.698,0.178
1788218559,793763755,4.840,robot_1,-2.030,-0.546
1788218559,994453609,5.041,robot_0,3.609,-0.285
1788218559,994506448,5.041,robot_2,2.681,0.120
1788218559,994534284,5.041,robot_1,-1.978,-0.516
1788218560,200140354,5.246,robot_0,3.609,-0.285
1788218560,200175001,5.246,robot_2,2.665,0.065
1788218560,200189713,5.246,robot_1,-1.929,-0.487
1788218560,401073301,5.447,robot_0,3.610,-0.286
1788218560,401128067,5.447,robot_2,2.648,0.008
1788218560,401156149,5.447,robot_1,-1.877,-0.457
1788218560,618993168,5.665,robot_0,3.610,-0.287
1788218560,619030322,5.665,robot_2,2.631,-0.050
1788218560,619041724,5.665,robot_1,-1.825,-0.427
1788218560,819116732,5.865,robot_0,3.611,-0.289
1788218560,819155481,5.865,robot_2,2.614,-0.107
1788218560,819179185,5.865,robot_1,-1.773,-0.396
1788218561,39133272,6.085,robot_0,3.612,-0.290
1788218561,39165864,6.085,robot_2,2.596,-0.171
1788218561,39177604,6.085,robot_1,-1.716,-0.363
1788218561,246720849,6.293,robot_0,3.614,-0.292
1788218561,246757499,6.293,robot_2,2.580,-0.225
1788218561,246771380,6.293,robot_1,-1.667,-0.334
1788218561,447335341,6.494,robot_0,3.614,-0.292
1788218561,447388841,6.494,robot_2,2.563,-0.283
1788218561,447413770,6.494,robot_1,-1.615,-0.304
1788218561,661096083,6.707,robot_0,3.614,-0.292
1788218561,661138322,6.707,robot_2,2.546,-0.341
1788218561,661151942,6.707,robot_1,-1.564,-0.274
1788218561,880506779,6.927,robot_0,3.613,-0.292
1788218561,880545080,6.927,robot_2,2.528,-0.404
1788218561,880559193,6.927,robot_1,-1.507,-0.240
1788218562,100171992,7.146,robot_0,3.613,-0.292
1788218562,100204759,7.146,robot_2,2.509,-0.467
1788218562,100215349,7.146,robot_1,-1.450,-0.207
1788218562,300239080,7.346,robot_0,3.612,-0.292
1788218562,300272895,7.347,robot_2,2.492,-0.525
1788218562,300282310,7.347,robot_1,-1.398,-0.177
1788218562,520155487,7.566,robot_0,3.612,-0.292
1788218562,520193780,7.566,robot_2,2.474,-0.588
1788218562,520207807,7.566,robot_1,-1.341,-0.143
1788218562,729519793,7.776,robot_0,3.612,-0.292
1788218562,729549491,7.776,robot_2,2.456,-0.649
1788218562,729567021,7.776,robot_1,-1.287,-0.112
1788218562,929928828,7.976,robot_0,3.611,-0.292
1788218562,929962751,7.976,robot_2,2.439,-0.706
1788218562,929974685,7.976,robot_1,-1.235,-0.081
1788218563,150284431,8.197,robot_0,3.611,-0.293
1788218563,150324967,8.197,robot_2,2.420,-0.770
1788218563,150340193,8.197,robot_1,-1.178,-0.048
1788218563,350972714,8.397,robot_0,3.648,-0.316
1788218563,351062400,8.397,robot_2,2.404,-0.827
1788218563,351083795,8.397,robot_1,-1.126,-0.018
1788218563,570492635,8.617,robot_0,3.703,-0.353
1788218563,570537771,8.617,robot_2,2.385,-0.890
1788218563,570553203,8.617,robot_1,-1.069,0.016
1788218563,779543321,8.826,robot_0,3.756,-0.387
1788218563,779579254,8.826,robot_2,2.367,-0.951
1788218563,779591676,8.826,robot_1,-1.015,0.048
1788218563,980291190,9.027,robot_0,3.806,-0.420
1788218563,980367557,9.027,robot_2,2.350,-1.009
1788218563,980436908,9.027,robot_1,-0.963,0.078
1788218564,199825370,9.246,robot_0,3.861,-0.456
1788218564,199855533,9.246,robot_2,2.332,-1.072
1788218564,199867799,9.246,robot_1,-0.906,0.111
1788218564,399980262,9.446,robot_0,3.912,-0.488
1788218564,400040742,9.446,robot_2,2.315,-1.129
1788218564,400068667,9.446,robot_1,-0.854,0.142
1788218564,611617738,9.658,robot_0,3.962,-0.521
1788218564,611657153,9.658,robot_2,2.298,-1.187
1788218564,611675482,9.658,robot_1,-0.802,0.172
1788218564,811932715,9.858,robot_0,3.986,-0.537
1788218564,811983146,9.858,robot_2,2.281,-1.245
1788218564,812015940,9.858,robot_1,-0.751,0.202
1788218565,31324148,10.078,robot_0,3.986,-0.537
1788218565,31355533,10.078,robot_2,2.263,-1.308
1788218565,31368718,10.078,robot_1,-0.694,0.236
1788218565,242045856,10.288,robot_0,3.987,-0.537
1788218565,242077826,10.288,robot_2,2.246,-1.366
1788218565,242089304,10.288,robot_1,-0.642,0.266
1788218565,461559857,10.508,robot_0,3.987,-0.536
1788218565,461597707,10.508,robot_2,2.227,-1.429
1788218565,461616394,10.508,robot_1,-0.585,0.299
1788218565,673705103,10.720,robot_0,3.987,-0.536
1788218565,673738246,10.720,robot_2,2.210,-1.486
1788218565,673751268,10.720,robot_1,-0.533,0.330
1788218565,873806178,10.920,robot_0,3.988,-0.537
1788218565,873843097,10.920,robot_2,2.193,-1.544
1788218565,873856846,10.920,robot_1,-0.481,0.360
1788218566,74356579,11.121,robot_0,3.988,-0.583
1788218566,74410014,11.121,robot_2,2.177,-1.602
1788218566,74434418,11.121,robot_1,-0.430,0.390
1788218566,294196161,11.340,robot_0,3.984,-0.649
1788218566,294243132,11.340,robot_2,2.158,-1.665
1788218566,294260641,11.340,robot_1,-0.373,0.423
1788218566,494292075,11.541,robot_0,3.980,-0.709
1788218566,494351324,11.541,robot_2,2.141,-1.722
1788218566,494395209,11.541,robot_1,-0.321,0.454
1788218566,714215678,11.760,robot_0,3.975,-0.775
1788218566,714250183,11.760,robot_2,2.123,-1.786
1788218566,714263408,11.760,robot_1,-0.264,0.487
1788218566,933650995,11.980,robot_0,3.970,-0.841
1788218566,933686374,11.980,robot_2,2.104,-1.849
1788218566,933699660,11.980,robot_1,-0.207,0.520
1788218567,134121347,12.180,robot_0,3.966,-0.901
1788218567,134184288,12.180,robot_2,2.087,-1.907
1788218567,134212123,12.180,robot_1,-0.155,0.551
1788218567,334517546,12.381,robot_0,3.962,-0.960
1788218567,334567729,12.381,robot_2,2.070,-1.964
1788218567,334589196,12.381,robot_1,-0.103,0.581
1788218567,534620398,12.581,robot_0,3.957,-1.020
1788218567,534680345,12.581,robot_2,2.053,-2.022
1788218567,534707679,12.581,robot_1,-0.052,0.611
1788218567,745298796,12.792,robot_0,3.953,-1.080
1788218567,745356834,12.792,robot_2,2.037,-2.079
1788218567,745384264,12.792,robot_1,0.000,0.642
1788218567,964880941,13.011,robot_0,3.948,-1.146
1788218567,964918478,13.011,robot_2,2.018,-2.143
1788218567,964933049,13.011,robot_1,0.057,0.675
1788218568,175898290,13.222,robot_0,3.944,-1.209
1788218568,175957792,13.222,robot_2,2.000,-2.203
1788218568,175985542,13.222,robot_1,0.111,0.707
1788218568,395170648,13.441,robot_0,3.939,-1.275
1788218568,395226615,13.441,robot_2,1.982,-2.267
1788218568,395253318,13.441,robot_1,0.168,0.740
1788218568,614648250,13.661,robot_0,3.934,-1.340
1788218568,614685067,13.661,robot_2,1.963,-2.330
1788218568,614699606,13.661,robot_1,0.225,0.774
1788218568,815221368,13.861,robot_0,3.930,-1.400
1788218568,815277487,13.862,robot_2,1.946,-2.388
1788218568,815303005,13.862,robot_1,0.277,0.804
1788218569,35070517,14.081,robot_0,3.925,-1.466
1788218569,35128403,14.081,robot_2,1.928,-2.451
1788218569,35161175,14.081,robot_1,0.334,0.837
1788218569,255495883,14.302,robot_0,3.920,-1.532
1788218569,255555193,14.302,robot_2,1.909,-2.514
1788218569,255580352,14.302,robot_1,0.391,0.871
1788218569,474730590,14.521,robot_0,3.915,-1.598
1788218569,474777537,14.521,robot_2,1.891,-2.578
1788218569,474796280,14.521,robot_1,0.448,0.904
1788218569,695166129,14.741,robot_0,3.910,-1.663
1788218569,695252654,14.741,robot_2,1.872,-2.641
1788218569,695280000,14.742,robot_1,0.505,0.937
1788218569,914468608,14.961,robot_0,3.906,-1.729
1788218569,914501846,14.961,robot_2,1.853,-2.704
1788218569,914521674,14.961,robot_1,0.562,0.971
1788218570,136007721,15.182,robot_0,3.901,-1.795
1788218570,136055719,15.182,robot_2,1.835,-2.768
1788218570,136076053,15.182,robot_1,0.619,1.004
1788218570,354851042,15.401,robot_0,3.896,-1.861
1788218570,354888560,15.401,robot_2,1.816,-2.831
1788218570,354902256,15.401,robot_1,0.676,1.037
1788218570,555673405,15.602,robot_0,3.892,-1.921
1788218570,555745054,15.602,robot_2,1.799,-2.888
1788218570,555786028,15.602,robot_1,0.728,1.068
1788218570,774794105,15.821,robot_0,3.887,-1.987
1788218570,774830475,15.821,robot_2,1.781,-2.952
1788218570,774843785,15.821,robot_1,0.785,1.101
1788218570,994146957,16.040,robot_0,3.882,-2.052
1788218570,994187586,16.040,robot_2,1.762,-3.015
1788218570,994202417,16.040,robot_1,0.842,1.134
1788218571,194347133,16.241,robot_0,3.878,-2.112
1788218571,194383281,16.241,robot_2,1.745,-3.073
1788218571,194396648,16.241,robot_1,0.893,1.165
1788218571,394375528,16.441,robot_0,3.873,-2.172
1788218571,394404807,16.441,robot_2,1.729,-3.130
1788218571,394417510,16.441,robot_1,0.945,1.195
1788218571,614825962,16.661,robot_0,3.868,-2.238
1788218571,614862350,16.661,robot_2,1.710,-3.194
1788218571,614875754,16.661,robot_1,1.002,1.228
1788218571,834829716,16.881,robot_0,3.864,-2.304
1788218571,834888368,16.881,robot_2,1.691,-3.257
1788218571,834915483,16.881,robot_1,1.059,1.262
1788218572,55001664,17.101,robot_0,3.859,-2.370
1788218572,55040655,17.101,robot_2,1.673,-3.320
1788218572,55053927,17.101,robot_1,1.116,1.295
1788218572,274798449,17.321,robot_0,3.854,-2.435
1788218572,274843387,17.321,robot_2,1.654,-3.384
1788218572,274858999,17.321,robot_1,1.173,1.328
1788218572,475037128,17.521,robot_0,3.850,-2.495
1788218572,475092789,17.521,robot_2,1.637,-3.441
1788218572,475115027,17.521,robot_1,1.225,1.359
1788218572,675148340,17.721,robot_0,3.845,-2.555
1788218572,675187964,17.721,robot_2,1.621,-3.499
1788218572,675199376,17.721,robot_1,1.277,1.389
1788218572,894222521,17.940,robot_0,3.840,-2.621
1788218572,894264872,17.940,robot_2,1.602,-3.562
1788218572,894278807,17.941,robot_1,1.333,1.422
1788218573,114799174,18.161,robot_0,3.836,-2.687
1788218573,114850379,18.161,robot_2,1.583,-3.625
1788218573,114859241,18.161,robot_1,1.390,1.456
1788218573,334353321,18.381,robot_0,3.831,-2.753
1788218573,334421026,18.381,robot_2,1.565,-3.689
1788218573,334467058,18.381,robot_1,1.447,1.489
1788218573,534539691,18.581,robot_0,3.826,-2.812
1788218573,534590401,18.581,robot_2,1.548,-3.746
1788218573,534609537,18.581,robot_1,1.499,1.519
1788218573,754334573,18.801,robot_0,3.822,-2.878
1788218573,754375621,18.801,robot_2,1.529,-3.810
1788218573,754388524,18.801,robot_1,1.556,1.553
1788218573,955145109,19.001,robot_0,3.817,-2.938
1788218573,955184798,19.001,robot_2,1.513,-3.867
1788218573,955196285,19.001,robot_1,1.608,1.583
1788218574,155276798,19.202,robot_0,3.813,-2.998
1788218574,155331193,19.202,robot_2,1.496,-3.925
1788218574,155353283,19.202,robot_1,1.660,1.613
1788218574,355493316,19.402,robot_0,3.808,-3.058
1788218574,355569407,19.402,robot_2,1.479,-3.982
1788218574,355597064,19.402,robot_1,1.711,1.644
1788218574,574795292,19.621,robot_0,3.804,-3.124
1788218574,574836178,19.621,robot_2,1.460,-4.046
1788218574,574851286,19.621,robot_1,1.768,1.677
1788218574,774821504,19.821,robot_0,3.799,-3.183
1788218574,774865838,19.821,robot_2,1.445,-4.098
1788218574,774881949,19.821,robot_1,1.820,1.707
1788218574,975157556,20.021,robot_0,3.795,-3.243
1788218574,975220777,20.021,robot_2,1.444,-4.102
1788218574,975261687,20.021,robot_1,1.872,1.738
1788218575,194180711,20.240,robot_0,3.790,-3.309
1788218575,194216274,20.240,robot_2,1.444,-4.103
1788218575,194227874,20.240,robot_1,1.929,1.771
1788218575,394893897,20.441,robot_0,3.786,-3.369
1788218575,394950527,20.441,robot_2,1.445,-4.103
1788218575,394974500,20.441,robot_1,1.981,1.801
1788218575,615058114,20.661,robot_0,3.781,-3.435
1788218575,615094652,20.661,robot_2,1.445,-4.103
1788218575,615108180,20.661,robot_1,2.038,1.835
1788218575,834609331,20.881,robot_0,3.776,-3.501
1788218575,834664323,20.881,robot_2,1.445,-4.104
1788218575,834685439,20.881,robot_1,2.095,1.868
1788218576,34798408,21.081,robot_0,3.772,-3.560
1788218576,34830161,21.081,robot_2,1.445,-4.104
1788218576,34843195,21.081,robot_1,2.146,1.898
1788218576,235435624,21.282,robot_0,3.767,-3.620
1788218576,235503111,21.282,robot_2,1.445,-4.105
1788218576,235530969,21.282,robot_1,2.198,1.928
1788218576,454510026,21.501,robot_0,3.763,-3.686
1788218576,454552455,21.501,robot_2,1.422,-4.104
1788218576,454562297,21.501,robot_1,2.255,1.962
1788218576,664227371,21.710,robot_0,3.758,-3.749
1788218576,664276888,21.711,robot_2,1.360,-4.096
1788218576,664294893,21.711,robot_1,2.310,1.994
1788218576,864396490,21.911,robot_0,3.754,-3.809
1788218576,864437089,21.911,robot_2,1.301,-4.087
1788218576,864463840,21.911,robot_1,2.361,2.024
1788218577,83996631,22.130,robot_0,3.749,-3.875
1788218577,84035473,22.130,robot_2,1.235,-4.076
1788218577,84050683,22.130,robot_1,2.418,2.057
1788218577,284051619,22.330,robot_0,3.744,-3.934
1788218577,284086005,22.330,robot_2,1.176,-4.067
1788218577,284098978,22.330,robot_1,2.470,2.088
1788218577,484508467,22.531,robot_0,3.740,-3.994
1788218577,484543918,22.531,robot_2,1.117,-4.057
1788218577,484556984,22.531,robot_1,2.522,2.118
