stamp_sec,stamp_nsec,robot,x,y
1785163114,605596510,robot_1,-0.375,0.650
1785163114,605629611,robot_0,0.750,-0.000
1785163114,605644338,robot_2,-0.375,-0.650
1785163115,964282658,robot_1,-0.375,0.650
1785163115,964326436,robot_0,0.750,0.000
1785163115,964343600,robot_2,-0.375,-0.650
1785163117,206427486,robot_1,-0.375,0.650
1785163117,206454980,robot_0,0.750,0.000
1785163117,206466004,robot_2,-0.375,-0.650
1785163117,406923062,robot_1,-0.375,0.650
1785163117,406953867,robot_0,0.780,0.000
1785163117,406966738,robot_2,-0.390,-0.675
1785163117,607177689,robot_1,-0.391,0.683
1785163117,607220656,robot_0,0.840,0.000
1785163117,607244588,robot_2,-0.420,-0.727
1785163117,826014086,robot_1,-0.417,0.743
1785163117,826047912,robot_0,0.906,-0.000
1785163117,826077678,robot_2,-0.453,-0.785
1785163118,26731471,robot_1,-0.440,0.798
1785163118,26766678,robot_0,0.966,-0.000
1785163118,26785143,robot_2,-0.483,-0.837
1785163118,226742626,robot_1,-0.464,0.854
1785163118,226769554,robot_0,1.026,-0.000
1785163118,226791219,robot_2,-0.513,-0.889
1785163118,445522064,robot_1,-0.490,0.914
1785163118,445541531,robot_0,1.092,-0.000
1785163118,445548782,robot_2,-0.546,-0.946
1785163118,645629001,robot_1,-0.506,0.952
1785163118,645648385,robot_0,1.151,-0.000
1785163118,645656171,robot_2,-0.574,-0.995
1785163118,845641300,robot_1,-0.506,0.952
1785163118,845661434,robot_0,1.160,-0.000
1785163118,845669477,robot_2,-0.595,-1.029
1785163119,46566156,robot_1,-0.509,0.970
1785163119,46587890,robot_0,1.160,0.000
1785163119,46605391,robot_2,-0.618,-1.059
1785163119,246798032,robot_1,-0.514,1.029
1785163119,246855584,robot_0,1.159,0.002
1785163119,246871099,robot_2,-0.645,-1.084
1785163119,466745743,robot_1,-0.517,1.095
1785163119,466771878,robot_0,1.159,0.003
1785163119,466780054,robot_2,-0.679,-1.104
1785163119,687856961,robot_1,-0.519,1.161
1785163119,687880676,robot_0,1.157,0.004
1785163119,687888281,robot_2,-0.717,-1.117
1785163119,906154806,robot_1,-0.522,1.227
1785163119,906181362,robot_0,1.152,0.004
1785163119,906189132,robot_2,-0.761,-1.122
1785163120,106221472,robot_1,-0.524,1.278
1785163120,106245086,robot_0,1.147,0.003
1785163120,106254427,robot_2,-0.801,-1.120
1785163120,326388906,robot_1,-0.524,1.279
1785163120,326411095,robot_0,1.147,0.003
1785163120,326420672,robot_2,-0.844,-1.113
1785163120,526393998,robot_1,-0.522,1.292
1785163120,526415349,robot_0,1.147,0.003
1785163120,526422831,robot_2,-0.882,-1.101
1785163120,745773196,robot_1,-0.504,1.354
