stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1786033513,912642839,robot_1,73,2.000,-2.000,2.500,-1.500
1786033513,912679625,robot_0,16,-4.000,1.000,-3.500,1.500
1786033513,912706987,robot_2,25,-3.000,0.000,-2.500,0.500
1786033521,845151149,robot_2,15,-4.000,0.000,-3.500,0.500
1786033525,644686856,robot_1,63,1.000,-2.000,1.500,-1.500
1786033527,965152672,robot_1,64,1.000,-1.000,1.500,-0.500
1786033529,24761654,robot_2,24,-3.000,-1.000,-2.500,-0.500
1786033530,924563149,robot_1,54,0.000,-1.000,0.500,-0.500
1786033534,105185949,robot_2,34,-2.000,-1.000,-1.500,-0.500
1786033534,324441302,robot_2,35,-2.000,0.000,-1.500,0.500
1786033535,824433605,robot_1,44,-1.000,-1.000,-0.500,-0.500
1786033538,345694970,robot_1,45,-1.000,0.000,-0.500,0.500
1786033543,224769036,robot_1,46,-1.000,1.000,-0.500,1.500
1786033549,344623773,robot_1,47,-1.000,2.000,-0.500,2.500
1786033549,784382451,robot_1,37,-2.000,2.000,-1.500,2.500
1786033555,624934387,robot_1,36,-2.000,1.000,-1.500,1.500
1786033565,364777026,robot_0,23,-3.000,-2.000,-2.500,-1.500
1786033566,625370492,robot_0,33,-2.000,-2.000,-1.500,-1.500
1786033572,804951976,robot_0,43,-1.000,-2.000,-0.500,-1.500
1786033577,865032148,robot_0,53,0.000,-2.000,0.500,-1.500
1786033603,964071144,robot_0,62,1.000,-3.000,1.500,-2.500
1786033611,765183216,robot_1,52,0.000,-3.000,0.500,-2.500
1786033611,765249024,robot_2,26,-3.000,1.000,-2.500,1.500
1786033613,704573194,robot_1,42,-1.000,-3.000,-0.500,-2.500
1786033642,744275792,robot_0,55,0.000,0.000,0.500,0.500
1786033649,104870676,robot_1,22,-3.000,-3.000,-2.500,-2.500
1786033658,724692843,robot_0,65,1.000,0.000,1.500,0.500
1786033663,344668284,robot_0,66,1.000,1.000,1.500,1.500
1786033666,265031026,robot_0,56,0.000,1.000,0.500,1.500
1786033667,724975964,robot_0,57,0.000,2.000,0.500,2.500
1786033675,125094499,robot_0,67,1.000,2.000,1.500,2.500
1786033688,22710031,robot_2,30,-2.000,-5.000,-1.500,-4.500
1786033714,94351362,robot_1,5,-5.000,0.000,-4.500,0.500
1786033749,212950200,robot_1,14,-4.000,-1.000,-3.500,-0.500
1786033749,852897004,robot_1,4,-5.000,-1.000,-4.500,-0.500
1786033771,372610556,robot_0,51,0.000,-4.000,0.500,-3.500
1786033774,733362484,robot_0,50,0.000,-5.000,0.500,-4.500
1786033775,792969061,robot_1,77,2.000,2.000,2.500,2.500
1786033779,354095395,robot_1,87,3.000,2.000,3.500,2.500
1786033787,52856297,robot_1,78,2.000,3.000,2.500,3.500
1786033788,993270149,robot_1,68,1.000,3.000,1.500,3.500
1786033802,552441674,robot_1,97,4.000,2.000,4.500,2.500
1786033805,533945244,robot_0,40,-1.000,-5.000,-0.500,-4.500
1786033814,213228038,robot_1,96,4.000,1.000,4.500,1.500
1786033828,93530945,robot_1,86,3.000,1.000,3.500,1.500
1786034072,113555365,robot_1,79,2.000,4.000,2.500,4.500
