stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1788172335,854131202,1.970,robot_0,4.339,2.664
1788172335,854210227,1.970,robot_2,-3.295,-0.841
1788172335,854266274,1.970,robot_1,-1.166,-1.091
1788172337,517544567,3.633,robot_0,4.339,2.664
1788172337,517593897,3.633,robot_2,-3.295,-0.841
1788172337,517612378,3.633,robot_1,-1.166,-1.091
1788172337,717942242,3.834,robot_0,4.339,2.663
1788172337,717999200,3.834,robot_2,-3.296,-0.841
1788172337,718034161,3.834,robot_1,-1.185,-1.115
1788172337,937511155,4.053,robot_0,4.339,2.664
1788172337,937563161,4.053,robot_2,-3.305,-0.845
1788172337,937588749,4.053,robot_1,-1.227,-1.166
1788172338,150062632,4.266,robot_0,4.339,2.664
1788172338,150092677,4.266,robot_2,-3.357,-0.870
1788172338,150105830,4.266,robot_1,-1.251,-1.195
1788172338,370101266,4.486,robot_0,4.330,2.621
1788172338,370137949,4.486,robot_2,-3.384,-0.884
1788172338,370149594,4.486,robot_1,-1.272,-1.218
1788172338,579923630,4.696,robot_0,4.322,2.569
1788172338,579989078,4.696,robot_2,-3.427,-0.912
1788172338,580024065,4.696,robot_1,-1.316,-1.262
1788172338,780399912,4.896,robot_0,4.316,2.529
1788172338,780457090,4.896,robot_2,-3.470,-0.940
1788172338,780481101,4.896,robot_1,-1.359,-1.305
1788172338,999410938,5.115,robot_0,4.304,2.487
1788172338,999457457,5.115,robot_2,-3.484,-0.950
1788172338,999473351,5.115,robot_1,-1.394,-1.338
1788172339,210228622,5.326,robot_0,4.286,2.449
1788172339,210284950,5.326,robot_2,-3.532,-0.989
1788172339,210310493,5.326,robot_1,-1.433,-1.367
1788172339,430396243,5.546,robot_0,4.257,2.412
1788172339,430453623,5.546,robot_2,-3.542,-0.997
1788172339,430478803,5.546,robot_1,-1.489,-1.402
1788172339,630551568,5.746,robot_0,4.218,2.374
1788172339,630594336,5.746,robot_2,-3.576,-1.030
1788172339,630612376,5.746,robot_1,-1.524,-1.422
1788172339,831229949,5.947,robot_0,4.172,2.334
1788172339,831297846,5.947,robot_2,-3.600,-1.055
1788172339,831313796,5.947,robot_1,-1.564,-1.438
1788172340,39459081,6.155,robot_0,4.132,2.300
1788172340,39526935,6.155,robot_2,-3.600,-1.055
1788172340,39541379,6.155,robot_1,-1.603,-1.448
1788172340,257955577,6.374,robot_0,4.098,2.273
1788172340,257987295,6.374,robot_2,-3.615,-1.080
1788172340,257998250,6.374,robot_1,-1.668,-1.459
1788172340,458214025,6.574,robot_0,4.051,2.239
1788172340,458252560,6.574,robot_2,-3.640,-1.135
1788172340,458266518,6.574,robot_1,-1.715,-1.465
1788172340,674588443,6.790,robot_0,4.010,2.210
1788172340,674672605,6.790,robot_2,-3.663,-1.188
1788172340,674729365,6.790,robot_1,-1.761,-1.469
1788172340,875280089,6.991,robot_0,3.977,2.188
1788172340,875336853,6.991,robot_2,-3.667,-1.197
1788172340,875364719,6.991,robot_1,-1.821,-1.474
1788172341,94503917,7.210,robot_0,3.920,2.154
1788172341,94550686,7.210,robot_2,-3.668,-1.200
1788172341,94575037,7.210,robot_1,-1.887,-1.478
1788172341,295148374,7.411,robot_0,3.880,2.129
1788172341,295198238,7.411,robot_2,-3.674,-1.253
1788172341,295222869,7.411,robot_1,-1.939,-1.482
1788172341,513699143,7.629,robot_0,3.838,2.105
1788172341,513734432,7.629,robot_2,-3.676,-1.285
1788172341,513748300,7.629,robot_1,-1.983,-1.484
1788172341,724547709,7.840,robot_0,3.783,2.074
1788172341,724592850,7.840,robot_2,-3.673,-1.321
1788172341,724615063,7.840,robot_1,-2.045,-1.487
1788172341,924666925,8.040,robot_0,3.731,2.044
1788172341,924728034,8.040,robot_2,-3.667,-1.381
1788172341,924754323,8.040,robot_1,-2.105,-1.490
1788172342,144827154,8.260,robot_0,3.674,2.011
1788172342,144881474,8.261,robot_2,-3.660,-1.446
1788172342,144905681,8.261,robot_1,-2.169,-1.494
1788172342,364458677,8.480,robot_0,3.617,1.978
1788172342,364510939,8.480,robot_2,-3.652,-1.512
1788172342,364535854,8.480,robot_1,-2.176,-1.494
1788172342,574062800,8.690,robot_0,3.581,1.958
1788172342,574120871,8.690,robot_2,-3.646,-1.572
1788172342,574146897,8.690,robot_1,-2.176,-1.494
1788172342,774244283,8.890,robot_0,3.544,1.938
1788172342,774299471,8.890,robot_2,-3.639,-1.634
1788172342,774323358,8.890,robot_1,-2.176,-1.494
1788172342,993853779,9.110,robot_0,3.506,1.916
1788172342,993888933,9.110,robot_2,-3.632,-1.700
1788172342,993909467,9.110,robot_1,-2.176,-1.494
1788172343,194278888,9.310,robot_0,3.471,1.897
1788172343,194330746,9.310,robot_2,-3.625,-1.759
1788172343,194354383,9.310,robot_1,-2.176,-1.494
1788172343,415143305,9.531,robot_0,3.419,1.870
1788172343,415198736,9.531,robot_2,-3.618,-1.818
1788172343,415222651,9.531,robot_1,-2.176,-1.494
1788172343,627290174,9.743,robot_0,3.366,1.842
1788172343,627360364,9.743,robot_2,-3.617,-1.827
1788172343,627395199,9.743,robot_1,-2.176,-1.494
1788172343,847988850,9.964,robot_0,3.308,1.811
1788172343,848056048,9.964,robot_2,-3.604,-1.889
1788172343,848073080,9.964,robot_1,-2.177,-1.493
1788172344,83134461,10.199,robot_0,3.267,1.789
1788172344,83190323,10.199,robot_2,-3.596,-1.921
1788172344,83204627,10.199,robot_1,-2.177,-1.493
1788172344,303496076,10.419,robot_0,3.228,1.769
1788172344,303557875,10.419,robot_2,-3.581,-1.973
1788172344,303581413,10.419,robot_1,-2.177,-1.493
1788172344,522784501,10.638,robot_0,3.189,1.748
1788172344,522823266,10.638,robot_2,-3.562,-2.036
1788172344,522835847,10.638,robot_1,-2.177,-1.493
1788172344,733841082,10.850,robot_0,3.153,1.729
1788172344,733880872,10.850,robot_2,-3.545,-2.094
1788172344,733894263,10.850,robot_1,-2.178,-1.493
1788172344,953377281,11.069,robot_0,3.114,1.709
1788172344,953412818,11.069,robot_2,-3.526,-2.157
1788172344,953424229,11.069,robot_1,-2.178,-1.493
1788172345,170357748,11.286,robot_0,3.079,1.690
1788172345,170393002,11.286,robot_2,-3.518,-2.185
1788172345,170405550,11.286,robot_1,-2.178,-1.493
1788172345,390312011,11.506,robot_0,3.039,1.669
1788172345,390349827,11.506,robot_2,-3.518,-2.185
1788172345,390362288,11.506,robot_1,-2.179,-1.493
1788172345,590926353,11.707,robot_0,2.986,1.641
1788172345,590989611,11.707,robot_2,-3.518,-2.185
1788172345,591020764,11.707,robot_1,-2.179,-1.493
1788172345,792862410,11.909,robot_0,2.935,1.615
1788172345,792920652,11.909,robot_2,-3.493,-2.213
1788172345,792945953,11.909,robot_1,-2.179,-1.493
1788172346,12845805,12.129,robot_0,2.881,1.586
1788172346,12881177,12.129,robot_2,-3.459,-2.247
1788172346,12892980,12.129,robot_1,-2.180,-1.493
1788172346,226601981,12.342,robot_0,2.845,1.567
1788172346,226655970,12.342,robot_2,-3.459,-2.247
1788172346,226679955,12.342,robot_1,-2.180,-1.494
1788172346,426824394,12.542,robot_0,2.796,1.542
1788172346,426878064,12.543,robot_2,-3.460,-2.247
1788172346,426901599,12.543,robot_1,-2.180,-1.494
1788172346,655368929,12.771,robot_0,2.741,1.512
1788172346,655425551,12.771,robot_2,-3.423,-2.259
1788172346,655451111,12.771,robot_1,-2.180,-1.494
1788172346,873673880,12.989,robot_0,2.683,1.482
1788172346,873705682,12.989,robot_2,-3.368,-2.273
