stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1784651151,439466615,robot_1,45,-1.000,0.000,-0.500,0.500
1784651151,439490637,robot_0,55,0.000,0.000,0.500,0.500
1784651151,439507638,robot_2,44,-1.000,-1.000,-0.500,-0.500
1784651155,501298637,robot_0,54,0.000,-1.000,0.500,-0.500
1784651158,283064825,robot_0,64,1.000,-1.000,1.500,-0.500
1784651159,323563308,robot_2,34,-2.000,-1.000,-1.500,-0.500
1784651162,230718909,robot_0,63,1.000,-2.000,1.500,-1.500
1784651164,29520173,robot_2,24,-3.000,-1.000,-2.500,-0.500
1784651165,955027411,robot_0,73,2.000,-2.000,2.500,-1.500
1784651169,542232570,robot_1,46,-1.000,1.000,-0.500,1.500
1784651173,600761077,robot_1,47,-1.000,2.000,-0.500,2.500
1784651174,223351369,robot_1,37,-2.000,2.000,-1.500,2.500
