stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1784124280,600858280,robot_3,78,2.000,3.000,2.500,3.500
1784124280,600872164,robot_5,61,1.000,-4.000,1.500,-3.500
1784124280,600883090,robot_7,13,-4.000,-2.000,-3.500,-1.500
1784124280,600893584,robot_1,83,3.000,-2.000,3.500,-1.500
1784124280,600904629,robot_2,31,-2.000,-4.000,-1.500,-3.500
1784124280,600915100,robot_4,46,-1.000,1.000,-0.500,1.500
1784124280,600925460,robot_8,64,1.000,-1.000,1.500,-0.500
1784124280,600936069,robot_6,16,-4.000,1.000,-3.500,1.500
1784124280,600945915,robot_0,18,-4.000,3.000,-3.500,3.500
1784124280,600956165,robot_9,37,-2.000,2.000,-1.500,2.500
1784124284,347037262,robot_7,23,-3.000,-2.000,-2.500,-1.500
1784124284,347061988,robot_4,56,0.000,1.000,0.500,1.500
1784124284,347084966,robot_0,28,-3.000,3.000,-2.500,3.500
1784124286,426255544,robot_1,93,4.000,-2.000,4.500,-1.500
1784124288,128033465,robot_8,65,1.000,0.000,1.500,0.500
1784124288,547204947,robot_5,71,2.000,-4.000,2.500,-3.500
1784124289,605761110,robot_3,87,3.000,2.000,3.500,2.500
1784124291,89140139,robot_9,47,-1.000,2.000,-0.500,2.500
1784124291,926776728,robot_6,17,-4.000,2.000,-3.500,2.500
1784124292,345688784,robot_2,30,-2.000,-5.000,-1.500,-4.500
1784124292,546440380,robot_7,33,-2.000,-2.000,-1.500,-1.500
1784124292,546464095,robot_4,66,1.000,1.000,1.500,1.500
1784124292,546489382,robot_0,38,-2.000,3.000,-1.500,3.500
1784124293,589558829,robot_1,92,4.000,-3.000,4.500,-2.500
1784124294,630188366,robot_5,72,2.000,-3.000,2.500,-2.500
1784124297,788918558,robot_2,20,-3.000,-5.000,-2.500,-4.500
1784124299,488433205,robot_2,21,-3.000,-4.000,-2.500,-3.500
1784124301,588274587,robot_3,86,3.000,1.000,3.500,1.500
1784124302,193509838,robot_6,8,-5.000,3.000,-4.500,3.500
1784124302,613214792,robot_7,43,-1.000,-2.000,-0.500,-1.500
1784124303,233593333,robot_5,82,3.000,-3.000,3.500,-2.500
1784124303,872051262,robot_4,76,2.000,1.000,2.500,1.500
1784124306,388734971,robot_9,55,0.000,0.000,0.500,0.500
1784124306,789837234,robot_3,96,4.000,1.000,4.500,1.500
1784124307,867422280,robot_4,77,2.000,2.000,2.500,2.500
1784124309,969707340,robot_7,44,-1.000,-1.000,-0.500,-0.500
1784124310,170287692,robot_2,22,-3.000,-3.000,-2.500,-2.500
1784124314,369300377,robot_3,97,4.000,2.000,4.500,2.500
1784124316,669654152,robot_7,54,0.000,-1.000,0.500,-0.500
1784124317,90476770,robot_8,67,1.000,2.000,1.500,2.500
1784124317,307997829,robot_0,36,-2.000,1.000,-1.500,1.500
1784124327,777629478,robot_0,45,-1.000,0.000,-0.500,0.500
1784124329,38168512,robot_8,68,1.000,3.000,1.500,3.500
1784124329,257778074,robot_2,14,-4.000,-1.000,-3.500,-0.500
1784124337,358422707,robot_2,4,-5.000,-1.000,-4.500,-0.500
1784124341,807926174,robot_8,79,2.000,4.000,2.500,4.500
1784124343,969718002,robot_2,5,-5.000,0.000,-4.500,0.500
1784124347,550290638,robot_9,57,0.000,2.000,0.500,2.500
1784124348,408212243,robot_0,53,0.000,-2.000,0.500,-1.500
1784124349,869040151,robot_2,15,-4.000,0.000,-3.500,0.500
1784124367,807716332,robot_0,63,1.000,-2.000,1.500,-1.500
1784124370,329937704,robot_2,7,-5.000,2.000,-4.500,2.500
1784124376,90236302,robot_0,73,2.000,-2.000,2.500,-1.500
1784124398,920789755,robot_6,12,-4.000,-3.000,-3.500,-2.500
1784124402,258711765,robot_7,27,-3.000,2.000,-2.500,2.500
1784124412,398711105,robot_0,62,1.000,-3.000,1.500,-2.500
1784124413,638306282,robot_0,52,0.000,-3.000,0.500,-2.500
1784124422,533522391,robot_4,32,-2.000,-3.000,-1.500,-2.500
1784124427,549310095,robot_7,6,-5.000,1.000,-4.500,1.500
1784124446,60722056,robot_8,69,1.000,4.000,1.500,4.500
1784124447,312230970,robot_0,35,-2.000,0.000,-1.500,0.500
1784124479,641326312,robot_2,70,2.000,-5.000,2.500,-4.500
1784124514,661243431,robot_0,19,-4.000,4.000,-3.500,4.500
1784124518,478251502,robot_0,29,-3.000,4.000,-2.500,4.500
