stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1784651123,361013909,robot_1,45,-1.000,0.000,-0.500,0.500
1784651123,361032979,robot_0,55,0.000,0.000,0.500,0.500
1784651123,361045862,robot_2,44,-1.000,-1.000,-0.500,-0.500
1784651126,709365864,robot_0,54,0.000,-1.000,0.500,-0.500
1784651127,148491953,robot_0,64,1.000,-1.000,1.500,-0.500
1784651129,451230516,robot_2,43,-1.000,-2.000,-0.500,-1.500
1784651131,951425451,robot_1,35,-2.000,0.000,-1.500,0.500
1784651133,192958271,robot_0,65,1.000,0.000,1.500,0.500
1784651137,170376773,robot_1,36,-2.000,1.000,-1.500,1.500
1784651137,170436377,robot_2,53,0.000,-2.000,0.500,-1.500
1784651137,830087007,robot_1,46,-1.000,1.000,-0.500,1.500
