time_s,coverage_pct
0.628,0.000
1.128,0.000
1.628,0.000
2.128,0.000
2.628,3.529
3.128,3.529
3.628,3.529
4.128,4.706
4.628,4.706
5.128,4.706
5.628,4.706
6.128,4.706
6.628,4.706
7.128,4.706
7.628,4.706
8.128,4.706
8.628,4.706
9.128,4.706
9.628,4.706
10.128,5.882
10.628,5.882
11.128,7.059
11.628,7.059
12.128,8.235
12.628,9.412
13.128,9.412
13.628,9.412
14.128,9.412
14.628,9.412
15.128,10.588
15.628,10.588
16.130,10.588
16.630,10.588
17.130,10.588
17.630,10.588
18.128,10.588
18.540,10.588
