stamp_sec,stamp_nsec,robot,x,y
1784110981,208346023,robot_6,-3.250,1.250
1784110981,208374338,robot_7,-3.250,-1.750
1784110981,208385906,robot_5,1.250,-3.250
1784110981,208396071,robot_4,-0.250,1.250
1784110981,208406579,robot_2,-1.750,-3.250
1784110981,208416782,robot_9,-1.750,2.750
1784110981,208426062,robot_8,1.250,-0.250
1784110981,208436356,robot_1,3.500,-1.750
1784110981,208446274,robot_3,2.750,3.500
1784110981,208457745,robot_0,-3.250,3.500
1784110982,598287962,robot_6,-3.250,1.250
1784110982,598307179,robot_7,-3.250,-1.750
1784110982,598314586,robot_5,1.250,-3.250
1784110982,598320623,robot_4,-0.250,1.250
1784110982,598325911,robot_2,-1.750,-3.250
1784110982,598331901,robot_9,-1.750,2.750
1784110982,598337988,robot_8,1.250,-0.250
1784110982,598343383,robot_1,3.500,-1.750
1784110982,598349727,robot_3,2.750,3.500
1784110982,598355447,robot_0,-3.250,3.500
1784110982,817297419,robot_6,-3.225,1.250
1784110982,817316903,robot_7,-3.225,-1.750
1784110982,817323107,robot_5,1.275,-3.250
1784110982,817329049,robot_4,-0.225,1.250
1784110982,817334326,robot_2,-1.725,-3.250
1784110982,817339337,robot_9,-1.725,2.750
1784110982,817344153,robot_8,1.275,-0.250
1784110982,817349359,robot_1,3.525,-1.750
1784110982,817354593,robot_3,2.775,3.500
1784110982,817360103,robot_0,-3.225,3.500
1784110983,17680996,robot_6,-3.185,1.250
1784110983,17698676,robot_7,-3.185,-1.750
1784110983,17705300,robot_5,1.315,-3.250
1784110983,17710808,robot_4,-0.185,1.250
1784110983,17716205,robot_2,-1.685,-3.250
1784110983,17721489,robot_9,-1.685,2.750
1784110983,17726889,robot_8,1.315,-0.250
1784110983,17732023,robot_1,3.565,-1.750
1784110983,17736995,robot_3,2.815,3.500
1784110983,17742050,robot_0,-3.185,3.500
1784110983,218191882,robot_6,-3.145,1.250
1784110983,218213593,robot_7,-3.145,-1.750
1784110983,218220334,robot_5,1.355,-3.250
1784110983,218226820,robot_4,-0.145,1.250
1784110983,218232129,robot_2,-1.645,-3.250
1784110983,218237746,robot_9,-1.645,2.750
1784110983,218243286,robot_8,1.355,-0.250
1784110983,218248504,robot_1,3.605,-1.750
1784110983,218253617,robot_3,2.855,3.500
1784110983,218258557,robot_0,-3.145,3.500
1784110983,437013783,robot_6,-3.101,1.250
1784110983,437031628,robot_7,-3.101,-1.750
1784110983,437038998,robot_5,1.399,-3.250
