stamp_sec,key,entity_a_bump_direction,entity_b_bump_direction,entity_a_event,entity_b_event
10,"('robot_0', 'robot_6')",back,left,EV_rotate_counterclockwise,EV_rotate_counterclockwise
16,"('robot_0', 'robot_9')",left,right,EV_move_forward,EV_move_forward
51,"('robot_6', 'robot_9')",front,right,EV_rotate_counterclockwise,EV_move_forward
62,"('robot_6', 'robot_9')",right,right,EV_rotate_clockwise,EV_move_forward
65,"('robot_6', 'robot_9')",left,right,EV_move_forward,EV_move_forward
85,"('robot_7', 'robot_9')",back,left,EV_move_forward,EV_rotate_counterclockwise
88,"('robot_7', 'robot_9')",front,back,EV_move_forward,none
91,"('robot_3', 'robot_5')",right,right,EV_rotate_clockwise,EV_move_forward
97,"('robot_3', 'robot_5')",right,right,EV_rotate_clockwise,EV_move_forward
101,"('robot_4', 'robot_7')",left,back,EV_rotate_counterclockwise,EV_full_rotate
101,"('robot_6', 'robot_8')",back,back,EV_rotate_counterclockwise,EV_full_rotate
108,"('robot_7', 'robot_9')",front,front,EV_move_forward,EV_move_forward
116,"('robot_4', 'robot_9')",left,back,EV_move_forward,EV_rotate_counterclockwise
119,"('robot_3', 'robot_5')",back,left,EV_rotate_clockwise,EV_move_forward
124,"('robot_3', 'robot_5')",left,left,EV_move_forward,EV_move_forward
128,"('robot_6', 'robot_7')",right,right,EV_move_forward,EV_rotate_counterclockwise
129,"('robot_4', 'robot_9')",left,left,EV_move_forward,EV_rotate_counterclockwise
162,"('robot_1', 'robot_6')",back,back,EV_move_forward,none
174,"('robot_0', 'robot_8')",back,right,none,EV_move_forward
175,"('robot_3', 'robot_9')",right,back,EV_move_forward,EV_rotate_clockwise
181,"('robot_2', 'robot_5')",left,right,EV_rotate_counterclockwise,EV_rotate_clockwise
189,"('robot_0', 'robot_8')",left,right,EV_rotate_clockwise,EV_rotate_clockwise
191,"('robot_0', 'robot_8')",back,front,EV_rotate_clockwise,EV_rotate_counterclockwise
192,"('robot_8', 'cylinder2::link::collision')",right,,CONTACT_RECOVERY,
192,"('robot_0', 'robot_8')",back,right,CONTACT_RECOVERY,CONTACT_RECOVERY
192,"('robot_4', 'robot_6')",back,back,EV_move_forward,EV_move_forward
197,"('robot_4', 'robot_7')",front,right,EV_rotate_clockwise,EV_move_forward
199,"('robot_8', 'cylinder2::link::collision')",right,,none,
210,"('robot_2', 'robot_6')",front,left,EV_move_forward,EV_move_forward
226,"('robot_1', 'robot_8')",left,front,EV_rotate_counterclockwise,EV_move_forward
230,"('robot_0', 'robot_1')",front,front,EV_move_forward,EV_move_forward
230,"('robot_1', 'robot_8')",front,right,CONTACT_RECOVERY,none
231,"('robot_8', 'cylinder2::link::collision')",right,,CONTACT_RECOVERY,
232,"('robot_7', 'robot_9')",back,right,EV_rotate_clockwise,EV_move_forward
237,"('robot_8', 'cylinder2::link::collision')",left,,EV_rotate_clockwise,
243,"('robot_1', 'robot_8')",front,left,EV_move_forward,EV_move_forward
245,"('robot_1', 'robot_8')",front,left,EV_rotate_clockwise,EV_rotate_counterclockwise
249,"('robot_1', 'robot_8')",left,left,EV_move_forward,EV_move_forward
252,"('robot_3', 'robot_7')",back,right,EV_rotate_clockwise,EV_move_forward
252,"('robot_1', 'robot_8')",back,back,EV_rotate_clockwise,none
255,"('robot_1', 'robot_8')",back,back,EV_rotate_clockwise,EV_rotate_counterclockwise
258,"('robot_0', 'robot_1')",right,right,EV_rotate_clockwise,EV_rotate_counterclockwise
276,"('robot_2', 'robot_7')",left,right,EV_move_forward,EV_rotate_counterclockwise
277,"('robot_3', 'robot_9')",left,front,EV_move_forward,none
281,"('robot_3', 'robot_9')",right,front,none,EV_move_forward
284,"('robot_6', 'robot_9')",right,left,EV_move_forward,EV_move_forward
285,"('robot_3', 'robot_9')",right,left,none,CONTACT_RECOVERY
288,"('robot_6', 'robot_9')",right,right,EV_rotate_clockwise,CONTACT_RECOVERY
290,"('robot_3', 'robot_9')",left,right,CONTACT_RECOVERY,EV_rotate_counterclockwise
291,"('robot_6', 'robot_9')",right,right,EV_move_forward,CONTACT_RECOVERY
