stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1784110497,935941991,robot_1,83,3.000,-2.000,3.500,-1.500
1784110497,935957093,robot_0,18,-4.000,3.000,-3.500,3.500
1784110497,935968592,robot_4,46,-1.000,1.000,-0.500,1.500
1784110497,935980276,robot_5,61,1.000,-4.000,1.500,-3.500
1784110497,935993389,robot_6,16,-4.000,1.000,-3.500,1.500
1784110497,936003814,robot_9,37,-2.000,2.000,-1.500,2.500
1784110497,936014282,robot_3,78,2.000,3.000,2.500,3.500
1784110497,936024920,robot_8,64,1.000,-1.000,1.500,-0.500
1784110497,936035441,robot_2,31,-2.000,-4.000,-1.500,-3.500
1784110497,936045961,robot_7,13,-4.000,-2.000,-3.500,-1.500
1784110502,732758394,robot_1,82,3.000,-3.000,3.500,-2.500
1784110502,732774735,robot_0,28,-3.000,3.000,-2.500,3.500
1784110502,934578257,robot_4,45,-1.000,0.000,-0.500,0.500
1784110503,352315054,robot_4,55,0.000,0.000,0.500,0.500
1784110503,772417343,robot_7,12,-4.000,-3.000,-3.500,-2.500
1784110503,993586566,robot_0,27,-3.000,2.000,-2.500,2.500
1784110505,672698365,robot_5,60,1.000,-5.000,1.500,-4.500
1784110505,872973742,robot_8,65,1.000,0.000,1.500,0.500
1784110506,92783360,robot_1,92,4.000,-3.000,4.500,-2.500
1784110506,293182109,robot_6,17,-4.000,2.000,-3.500,2.500
1784110506,512005952,robot_2,21,-3.000,-4.000,-2.500,-3.500
1784110511,553223384,robot_9,38,-2.000,3.000,-1.500,3.500
1784110511,955113683,robot_3,68,1.000,3.000,1.500,3.500
1784110512,595051629,robot_2,20,-3.000,-5.000,-2.500,-4.500
1784110514,494573938,robot_4,54,0.000,-1.000,0.500,-0.500
1784110514,494627663,robot_8,66,1.000,1.000,1.500,1.500
1784110515,754135436,robot_6,7,-5.000,2.000,-4.500,2.500
1784110520,794756238,robot_3,77,2.000,2.000,2.500,2.500
1784110521,453882936,robot_4,53,0.000,-2.000,0.500,-1.500
1784110522,93390839,robot_4,63,1.000,-2.000,1.500,-1.500
1784110522,93421212,robot_9,39,-2.000,4.000,-1.500,4.500
1784110523,772596865,robot_7,14,-4.000,-1.000,-3.500,-0.500
1784110526,297659090,robot_3,87,3.000,2.000,3.500,2.500
1784110526,935343184,robot_5,62,1.000,-3.000,1.500,-2.500
1784110527,353913213,robot_7,4,-5.000,-1.000,-4.500,-0.500
1784110529,653904476,robot_1,72,2.000,-3.000,2.500,-2.500
1784110533,212585104,robot_3,97,4.000,2.000,4.500,2.500
1784110535,715448911,robot_6,6,-5.000,1.000,-4.500,1.500
1784110536,794431270,robot_0,29,-3.000,4.000,-2.500,4.500
1784110538,466512862,robot_8,35,-2.000,0.000,-1.500,0.500
1784110539,926737187,robot_7,5,-5.000,0.000,-4.500,0.500
1784110540,144296429,robot_1,73,2.000,-2.000,2.500,-1.500
1784110547,947401412,robot_2,22,-3.000,-3.000,-2.500,-2.500
1784110548,163629397,robot_5,43,-1.000,-2.000,-0.500,-1.500
1784110548,163678981,robot_2,32,-2.000,-3.000,-1.500,-2.500
1784110549,244651864,robot_8,34,-2.000,-1.000,-1.500,-0.500
1784110552,224213982,robot_5,44,-1.000,-1.000,-0.500,-0.500
1784110553,695295707,robot_6,15,-4.000,0.000,-3.500,0.500
1784110556,32354600,robot_0,36,-2.000,1.000,-1.500,1.500
1784110556,453742719,robot_2,33,-2.000,-2.000,-1.500,-1.500
1784110557,312933460,robot_4,56,0.000,1.000,0.500,1.500
1784110562,173812697,robot_8,23,-3.000,-2.000,-2.500,-1.500
1784110566,614662133,robot_4,47,-1.000,2.000,-0.500,2.500
1784110573,122463103,robot_5,57,0.000,2.000,0.500,2.500
1784110575,24019774,robot_5,67,1.000,2.000,1.500,2.500
1784110582,242539053,robot_8,3,-5.000,-2.000,-4.500,-1.500
1784110603,587550798,robot_4,19,-4.000,4.000,-3.500,4.500
1784110607,943774866,robot_3,79,2.000,4.000,2.500,4.500
1784110630,562177764,robot_8,2,-5.000,-3.000,-4.500,-2.500
1784110655,392691447,robot_9,49,-1.000,4.000,-0.500,4.500
1784110659,171727653,robot_9,48,-1.000,3.000,-0.500,3.500
1784110680,630280782,robot_0,30,-2.000,-5.000,-1.500,-4.500
1784110718,744040170,robot_5,69,1.000,4.000,1.500,4.500
